&   DEFLUENCIAS ANTERIORES AO INICIO DO ESTUDO
&
&
&        Mont Jus TpJ   di hi m df hf m     defluencia
&X       XXX  XXX  X    XX XX X XX XX X     XXXXXXXXXX
DEFANT     2    4  H    13 00 0  F                 427
DEFANT     4    6  H    13 00 0  F                1069
DEFANT     6    7  H    13 00 0  F                 327
DEFANT     7    8  H    13 00 0  F                 291
DEFANT     8    9  H    13 00 0  F                 366
DEFANT     9   10  H    13 00 0  F                 377
DEFANT    10   11  H    13 00 0  F                 453
DEFANT    11   12  H    13 00 0  F                 642
DEFANT    12   17  H    13 00 0  F                 818
DEFANT    14   15  H    13 00 0  F                  40
DEFANT    15   16  H    13 00 0  F                  94
DEFANT    16   17  H    11 00 0  F                  75
DEFANT    16   17  H    12 00 0  F                  79
DEFANT    16   17  H    13 00 0  F                  90
DEFANT    17   18  H    13 00 0  F                1072
DEFANT    18   34  H    13 00 0  F                 994
DEFANT    20   21  H    13 00 0  F                 151
DEFANT    21   24  H    13 00 0  F                  92
DEFANT    24   31  H    13 00 0  F                 104
DEFANT    25   26  H    13 00 0  F                  53
DEFANT    26   27  H    13 00 0  F                 194
DEFANT    27   28  H    13 00 0  F                 204
DEFANT    28   31  H    13 00 0  F                 273
DEFANT    29  203  H    13 00 0  F                 165
DEFANT    30   31  H    13 00 0  F                 761
DEFANT    31   32  H    13 00 0  F                 585
DEFANT    32   33  H    13 00 0  F                 927
DEFANT    33   34  H    13 00 0  F                2074
DEFANT    34   45  H    13 00 0  F                3073
DEFANT    37   38  H    13 00 0  F                 317
DEFANT    38   39  H    13 00 0  F                 411
DEFANT    39   40  H    13 00 0  F                 551
DEFANT    40   42  H    13 00 0  F                 354
DEFANT    42   43  H    13 00 0  F                 320
DEFANT    43   45  H    13 00 0  F                 206
DEFANT    45   46  H    13 00 0  F                3600
DEFANT    46   66  H    12 00 0  F                3944
DEFANT    46   66  H    13 00 0  F                3927
DEFANT    47   48  H    13 00 0  F                  72
DEFANT    48   49  H    13 00 0  F                  67
DEFANT    49  249  H    13 00 0  F                 107
DEFANT    50   51  H    13 00 0  F                 158
DEFANT    51   52  H    13 00 0  F                 138
DEFANT    52   61  H    13 00 0  F                 152
DEFANT    57   61  H    13 00 0  F                  80
DEFANT    61   62  H    13 00 0  F                 574
DEFANT    62   63  H    13 00 0  F                 557
DEFANT    63   66  H    12 00 0  F                 670
DEFANT    63   66  H    13 00 0  F                 663
DEFANT    71   72  H    13 00 0  F                  62
DEFANT    72   73  H    13 00 0  F                  62
DEFANT    73   77  H    13 00 0  F                  15
DEFANT    74   76  H    13 00 0  F                 348
DEFANT    76   77  H    13 00 0  F                 450
DEFANT    77   78  H    13 00 0  F                 484
DEFANT    78   82  H    13 00 0  F                 482
DEFANT    82   83  H    13 00 0  F                 505
DEFANT    86   91  H    13 00 0  F                 238
DEFANT    89   90  H    13 00 0  F                  13
DEFANT    90   91  H    13 00 0  F                  44
DEFANT    91   92  H    13 00 0  F                 315
DEFANT    92  103  H    13 00 0  F                 721
DEFANT    93   94  H    13 00 0  F                  64
DEFANT    94  103  H    13 00 0  F                  84
DEFANT    97   98  H    13 00 0  F                   4
DEFANT    98   99  H    13 00 0  F                   8
DEFANT   101  102  H    13 00 0  F                  45
DEFANT   107   37  H    12 00 0  F                 190
DEFANT   110  111  H    13 00 0  F                  13
DEFANT   111  112  H    13 00 0  F                 155
DEFANT   112  113  H    13 00 0  F                 167
DEFANT   113  114  H    13 00 0  F                 314
DEFANT   120  123  H    11 00 0  F                   4
