<BEGIN>;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ID;Name;Average productivity ((MW/(m3/s))/m);Number of tailrace polynomials;Head loss (1 if percentage of net head or 2 if given in meters);Head loss;Forebay level as function of reservoir volume coefficient F0;Forebay level as function of reservoir volume coefficient F1;Forebay level as function of reservoir volume coefficient F2;Forebay level as function of reservoir volume coefficient F3;Forebay level as function of reservoir volume coefficient F4;Tailrace level as function of total outflow: T0 of polymial 1;Tailrace level as function of total outflow: T1 of polymial 1;Tailrace level as function of total outflow: T2 of polymial 1;Tailrace level as function of total outflow: T3 of polymial 1;Tailrace level as function of total outflow: T4 of polymial 1;Tailrace level as function of total outflow: T0 of polymial 2;Tailrace level as function of total outflow: T1 of polymial 2;Tailrace level as function of total outflow: T2 of polymial 2;Tailrace level as function of total outflow: T3 of polymial 2;Tailrace level as function of total outflow: T4 of polymial 2;Tailrace level as function of total outflow: T0 of polymial 3;Tailrace level as function of total outflow: T1 of polymial 3;Tailrace level as function of total outflow: T2 of polymial 3;Tailrace level as function of total outflow: T3 of polymial 3;Tailrace level as function of total outflow: T4 of polymial 3;Tailrace level as function of total outflow: T0 of polymial 4;Tailrace level as function of total outflow: T1 of polymial 4;Tailrace level as function of total outflow: T2 of polymial 4;Tailrace level as function of total outflow: T3 of polymial 4;Tailrace level as function of total outflow: T4 of polymial 4;Tailrace level as function of total outflow: T0 of polymial 5;Tailrace level as function of total outflow: T1 of polymial 5;Tailrace level as function of total outflow: T2 of polymial 5;Tailrace level as function of total outflow: T3 of polymial 5;Tailrace level as function of total outflow: T4 of polymial 5;Tailrace level as function of total outflow: T0 of polymial 6;Tailrace level as function of total outflow: T1 of polymial 6;Tailrace level as function of total outflow: T2 of polymial 6;Tailrace level as function of total outflow: T3 of polymial 6;Tailrace level as function of total outflow: T4 of polymial 6;Maximum spillage (m3/s);Number of volume points for the HPF;Number of turbine discharge points for the HPF;Number of spillage points for the HPF;Range of volume around the initial reservoir volume in percentage
66;ITAIPU;0.009045;1;2;1.29;164.0489;0.004806744;-1.89E-07;4.21E-12;-3.77E-17;89.58085;1.47E-03;-2.22E-08;2.31E-13;-9.10E-19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;72000;17;17;5;10
275;TUCURUI;0.009065;1;2;0.9;31.78443;0.002392409;-6.75E-08;1.05E-12;-6.35E-18;2.673949;0.000741457;-2.22E-08;4.08E-13;-2.87E-18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100000;17;17;5;10
288;BELO MONTE;0.009074;1;2;2.62;77.37574;0.009358076;-2.10E-06;2.79E-10;-1.47E-14;2.839302;0.000110578;9.49E-09;-3.61E-13;3.89E-18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50000;17;17;5;100
285;JIRAU;0.009163;2;2;0.15;66.35479;0.02068722;-8.28E-06;1.92E-09;-1.84E-13;70.5;6.62E-06;4.65E-09;-7.06E-14;3.69E-19;71.26332;3.18E-06;4.07E-09;-5.77E-14;2.90E-19;0.00E+00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50000;17;17;5;100
287;STO ANTONIO;0.008868;1;2;0.18;54.71656;0.02040813;-1.38E-05;5.25E-09;-7.47E-13;43.87762;0.00076423;-1.72E-08;2.75E-13;-1.96E-18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50000;17;17;5;100
34;I. SOLTEIRA;0.008655;1;2;0.56;293.9248;0.00360059;-1.85E-07;5.88E-12;-7.50E-17;279.9539;4.27E-05;4.25E-08;-3.10E-12;6.56E-17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37905;17;17;5;10
178;XINGO;0.009014;1;2;0.84;1.37E+02;0.00E+00;0.00E+00;0.00E+00;0;10.03861;0.006665461;-2.45E-06;4.56E-10;-3.14E-14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33312;17;17;5;100
175;P.AFONSO 4;0.009097;1;2;0.89;251.163;0;0;0.00E+00;0.00E+00;1.29E+02;2.08E-03;-5.27E-08;6.66E-13;2.23E-17;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0;0;0;0;0;17400;17;17;5;100
31;ITUMBIARA;0.009014;1;2;0.76;471.1648;0.00728054;-5.61E-07;2.60E-11;-4.85E-16;433;0.00159584;-8.18E-08;3.17E-12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16000;17;17;5;10
229;TELES PIRES;0.009035;1;2;0.86;196.3366;0.108697;-0.000246831;2.67E-07;-1.05E-10;160.7414;0.001121487;7.13E-10;-2.16E-12;6.56E-17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5000;17;17;5;100
