& CONDICOES INICIAIS DAS UNIDADES                
&
UCTPAR 2
&UCTERM 2
PINT
REGRANPTV     1
AVLCMO 1
CPLEXLOG
&
&Flags Inativos
&UCTBUSLOC
&UCTHEURFP   1 100
&CONSTDADOS 0
&AJUSTEFCF
&TOLERILH 1
&CROSSOVER 1
&ENGOLIMENTO 0               
&
&                                                
INIT                                             
&us     nome       ug   st   GerInic     tempo MH A/D T  TITULINFLX
&XX XXXXXXXXXXXX  XXX   XX   XXXXXXXXXX  XXXXX  X  X  X  XXXXXXXXXX
  1  ANGRA 1        1    1      640.000   5688  0  0  1        640.
  4  ST.CRUZ 34     3    0        0.000  20300  0  0  0          0.
  4  ST.CRUZ 34     4    0        0.000  20300  0  0  0          0.
  9  R.SILVEIRA     1    0        0.000  20300  0  0  0          0.
  9  R.SILVEIRA     2    0        0.000  20300  0  0  0          0.
 12  CUIABA G CC    1    0        0.000   3648  0  0  0          0.
 12  CUIABA G CC    2    0        0.000   4152  0  0  0          0.
 12  CUIABA G CC    3    0        0.000   4176  0  0  0          0.
 13  ANGRA 2        1    1     1350.000   1685  0  0  1       1350.
 15  LINHARES       1    0        0.000    474  0  0  0          0.
 15  LINHARES       2    0        0.000    474  0  0  0          0.
 15  LINHARES       3    0        0.000    306  0  0  0          0.
 15  LINHARES       4    0        0.000    306  0  0  0          0.
 21  MARANHAO V     1    0        0.000   2327  0  0  0          0.
 24  J.LACERDA C    7    1      180.010     21  0  0  3          0.
 25  J.LACERDA B    5    0        0.000    171  0  0  0          0.
 25  J.LACERDA B    6    1       80.000    139  1  0  4          0.
 26  J.LACERDA A1   1    0        0.000   2303  0  0  0          0.
 26  J.LACERDA A1   2    0        0.000   2389  1  0  0          0.
 27  J.LACERDA A2   3    1       35.000    140  1  0  4          0.
 27  J.LACERDA A2   4    0        0.000     55  0  0  0          0.
 28  FIGUEIRA       1    0        0.000  20300  0  0  0          0.
 28  FIGUEIRA       3    0        0.000  20300  0  0  0          0.
 35  URUGUAIANA     1    0        0.000  20300  0  0  0          0.
 35  URUGUAIANA     2    0        0.000  20300  0  0  0          0.
 35  URUGUAIANA     3    0        0.000  20300  0  0  0          0.
 36  MARANHAO IV    1    0        0.000   2327  1  0  0          0.
 42  FORTALEZA      1    0        0.000  18793  0  0  0          0.
 42  FORTALEZA      2    0        0.000  18793  0  0  0          0.
 42  FORTALEZA      3    0        0.000   5424  0  0  0          0.
 43  TERMOBAHIA     1    0        0.000   2999  0  0  0          0.
 46  N.VENECIA 2    1    0        0.000   2327  1  0  0          0.
 47  TERMORIO       1    0        0.000    984  0  0  0          0.
 47  TERMORIO       2    0        0.000   2917  0  0  0          0.
 47  TERMORIO       3    0        0.000   5064  0  0  0          0.
 47  TERMORIO       4    0        0.000   4186  0  0  0          0.
 47  TERMORIO       5    0        0.000  18022  0  0  0          0.
 47  TERMORIO       6    0        0.000   2246  0  0  0          0.
 47  TERMORIO       7    0        0.000   3414  1  0  0          0.
 47  TERMORIO       8    0        0.000   2592  0  0  0          0.
 47  TERMORIO       9    0        0.000   3312  0  0  0          0.
 47  TERMORIO      10    0        0.000  18022  0  0  0          0.
 47  TERMORIO      11    0        0.000   2688  1  0  0          0.
 47  TERMORIO      12    0        0.000    230  0  0  0          0.
 47  TERMORIO      13    0        0.000   3312  0  0  0          0.
 47  TERMORIO      14    0        0.000   3048  0  0  0          0.
 47  TERMORIO      15    0        0.000    313  0  0  0          0.
 47  TERMORIO      16    0        0.000   2328  0  0  0          0.
 47  TERMORIO      17    0        0.000     70  1  0  0          0.
 47  TERMORIO      18    0        0.000    486  0  0  0          0.
 47  TERMORIO      19    0        0.000    622  0  0  0          0.
 47  TERMORIO      20    0        0.000    720  0  0  0          0.
 47  TERMORIO      21    0        0.000   5160  0  0  0          0.
 47  TERMORIO      22    0        0.000   8129  1  0  0          0.
 47  TERMORIO      23    0        0.000  15024  1  0  0          0.
 47  TERMORIO      24    0        0.000  18022  0  0  0          0.
 47  TERMORIO      25    0        0.000  18022  0  0  0          0.
 47  TERMORIO      26    0        0.000  18022  0  0  0          0.
 47  TERMORIO      27    0        0.000   2808  0  0  0          0.
 47  TERMORIO      28    0        0.000  18022  0  0  0          0.
 47  TERMORIO      29    0        0.000  18022  0  0  0          0.
 47  TERMORIO      30    0        0.000  18022  0  0  0          0.
 47  TERMORIO      31    0        0.000   7303  0  0  0          0.
 48  ARAUCARIA      1    0        0.000  15718  1  0  0          0.
 48  ARAUCARIA      2    0        0.000   2992  1  0  0          0.
 48  ARAUCARIA      3    0        0.000   3890  1  0  0          0.
 49  VIANA          3    0        0.000   1440  1  0  0          0.
 49  VIANA          4    0        0.000   1439  0  0  0          0.
 49  VIANA          1    0        0.000   2945  0  0  0          0.
 49  VIANA          2    0        0.000   1426  1  0  0          0.
 50  PIRAT.12 G     1    0        0.000  20300  0  0  0          0.
 50  PIRAT.12 G     2    0        0.000  20300  0  0  0          0.
 52  CAMPINA GDE    1    0        0.000   3000  0  0  0          0.
 52  CAMPINA GDE    2    0        0.000   3000  0  0  0          0.
 52  CAMPINA GDE    3    0        0.000   3000  0  0  0          0.
 52  CAMPINA GDE    4    0        0.000   2999  1  0  0          0.
 53  GLOBAL I       1    0        0.000   4339  0  0  0          0.
 53  GLOBAL I       2    0        0.000   4374  0  0  0          0.
 53  GLOBAL I       3    0        0.000   3483  0  0  0          0.
 53  GLOBAL I       4    0        0.000  16392  0  0  0          0.
 53  GLOBAL I       5    0        0.000   3444  1  0  0          0.
 53  GLOBAL I       6    0        0.000   4368  1  0  0          0.
 53  GLOBAL I       7    0        0.000   3075  1  0  0          0.
 53  GLOBAL I       8    0        0.000   3048  0  0  0          0.
 53  GLOBAL I       9    0        0.000   3456  1  0  0          0.
 53  GLOBAL I      10    0        0.000   3098  0  0  0          0.
 53  GLOBAL I      11    0        0.000   2998  1  0  0          0.
 54  JUIZ DE FORA   1    0        0.000   2328  0  0  0          0.
 54  JUIZ DE FORA   2    0        0.000   2327  1  0  0          0.
 55  GLOBAL II      1    0        0.000   3160  0  0  0          0.
 55  GLOBAL II      2    0        0.000   3063  0  0  0          0.
 55  GLOBAL II      3    0        0.000   3165  0  0  0          0.
 55  GLOBAL II      4    0        0.000   3482  0  0  0          0.
 55  GLOBAL II      5    0        0.000  16392  0  0  0          0.
 55  GLOBAL II      6    0        0.000  16392  0  0  0          0.
 55  GLOBAL II      7    0        0.000   3080  1  0  0          0.
 55  GLOBAL II      8    0        0.000   3151  1  0  0          0.
 55  GLOBAL II      9    0        0.000   3218  1  0  0          0.
 55  GLOBAL II     10    0        0.000   3056  0  0  0          0.
 55  GLOBAL II     11    0        0.000   2998  1  0  0          0.
 57  MARACANAU I    1    0        0.000   2999  1  0  0          0.
 57  MARACANAU I    2    0        0.000   4293  1  0  0          0.
 57  MARACANAU I    3    0        0.000   2999  1  0  0          0.
 57  MARACANAU I    4    0        0.000   2999  1  0  0          0.
 57  MARACANAU I    5    0        0.000   6647  1  0  0          0.
 57  MARACANAU I    6    0        0.000   3182  0  0  0          0.
 57  MARACANAU I    7    0        0.000   3292  0  0  0          0.
 57  MARACANAU I    8    0        0.000   3039  0  0  0          0.
 58  TERMOCEARA     1    0        0.000   8778  0  0  0          0.
 58  TERMOCEARA     2    0        0.000   8735  0  0  0          0.
 58  TERMOCEARA     3    0        0.000   8742  1  0  0          0.
 58  TERMOCEARA     4    0        0.000  17304  1  0  0          0.
 58  TERMOCEARA     5    0        0.000   1080  0  0  0          0.
 58  TERMOCEARA     6    0        0.000   1080  0  0  0          0.
 58  TERMOCEARA     7    0        0.000   1080  0  0  0          0.
 58  TERMOCEARA     8    0        0.000   1080  0  0  0          0.
 58  TERMOCEARA     9    0        0.000   1080  0  0  0          0.
 58  TERMOCEARA    10    0        0.000   1080  0  0  0          0.
 58  TERMOCEARA    11    0        0.000   1080  0  0  0          0.
 58  TERMOCEARA    12    0        0.000   1080  0  0  0          0.
 58  TERMOCEARA    13    0        0.000   1080  0  0  0          0.
 58  TERMOCEARA    14    0        0.000   1080  0  0  0          0.
 58  TERMOCEARA    15    0        0.000   1080  0  0  0          0.
 60  NORTEFLU       1    0        0.000  23559  0  0  0          0.
 60  NORTEFLU       2    0        0.000  23559  0  0  0          0.
 60  NORTEFLU       3    0        0.000  23559  0  0  0          0.
 60  NORTEFLU       4    0        0.000    209  0  0  0          0.
 60  NORTEFLU       5    0        0.000    377  0  0  0          0.
 60  NORTEFLU       6    0        0.000   1272  0  0  0          0.
 60  NORTEFLU       7    0        0.000    982  0  0  0          0.
 62  SEROPEDICA     1    0        0.000   1851  0  0  0          0.
 62  SEROPEDICA     2    0        0.000    312  0  0  0          0.
 62  SEROPEDICA     3    0        0.000   2299  1  0  0          0.
 62  SEROPEDICA     4    0        0.000   2286  0  0  0          0.
 62  SEROPEDICA     5    0        0.000    305  1  0  0          0.
 62  SEROPEDICA     6    0        0.000   2280  1  0  0          0.
 62  SEROPEDICA     7    0        0.000   2450  0  0  0          0.
 62  SEROPEDICA     8    0        0.000   2328  0  0  0          0.
 63  IBIRITE        1    0        0.000   3288  0  0  0          0.
 64  CANOAS         1    0        0.000   2662  1  0  0          0.
 67  TERMONE        1    0        0.000    301  1  0  0          0.
 67  TERMONE        2    0        0.000    306  0  0  0          0.
 67  TERMONE        3    0        0.000   1228  1  0  0          0.
 68  TRES LAGOAS    1    0        0.000   3111  0  0  0          0.
 68  TRES LAGOAS    2    0        0.000  15263  0  0  0          0.
 68  TRES LAGOAS    3    0        0.000  19968  0  0  0          0.
 68  TRES LAGOAS    4    0        0.000   4956  0  0  0          0.
