& CONDICOES INICIAIS DAS UNIDADES                
&
UCTPAR 2
UCTERM 2
PINT
REGRANPTV     1
AVLCMO 1
CPLEXLOG
&
&Flags Inativos
&UCTBUSLOC
&UCTHEURFP   1 100
&CONSTDADOS 0
&AJUSTEFCF
&TOLERILH 1
&CROSSOVER 1
&ENGOLIMENTO 0               
&               
&                                                
INIT                                             
&us     nome       ug   st   GerInic     tempo MH A/D T  TITULINFLX
&XX XXXXXXXXXXXX  XXX   XX   XXXXXXXXXX  XXXXX  X  X  X  XXXXXXXXXX
  1  ANGRA 1        1    1      640.000   5856  0  0  1        640.
  4  ST.CRUZ 34     3    0        0.000  20468  0  0  0          0.
  4  ST.CRUZ 34     4    0        0.000  20468  0  0  0          0.
  9  R.SILVEIRA     1    0        0.000  20468  0  0  0          0.
  9  R.SILVEIRA     2    0        0.000  20468  0  0  0          0.
 12  CUIABA G CC    1    0        0.000   3816  0  0  0          0.
 12  CUIABA G CC    2    0        0.000   4320  0  0  0          0.
 12  CUIABA G CC    3    0        0.000   4344  0  0  0          0.
 13  ANGRA 2        1    1     1350.000   1853  0  0  1       1350.
 15  LINHARES       1    0        0.000    642  0  0  0          0.
 15  LINHARES       2    0        0.000    642  0  0  0          0.
 15  LINHARES       3    0        0.000    474  0  0  0          0.
 15  LINHARES       4    0        0.000    474  0  0  0          0.
 21  MARANHAO V     1    0        0.000   2495  0  0  0          0.
 24  J.LACERDA C    7    1      180.000    189  0  0  4          0.
 25  J.LACERDA B    5    1       80.010     43  1  0  3          0.
 25  J.LACERDA B    6    0        0.000     91  1  0  0          0.
 26  J.LACERDA A1   1    0        0.000   2471  0  0  0          0.
 26  J.LACERDA A1   2    0        0.000   2557  1  0  0          0.
 27  J.LACERDA A2   3    1       35.010    308  1  0  3          0.
 27  J.LACERDA A2   4    1       35.000     41  1  0  3          0.
 28  FIGUEIRA       1    0        0.000  20468  0  0  0          0.
 28  FIGUEIRA       3    0        0.000  20468  0  0  0          0.
 35  URUGUAIANA     1    0        0.000  20468  0  0  0          0.
 35  URUGUAIANA     2    0        0.000  20468  0  0  0          0.
 35  URUGUAIANA     3    0        0.000  20468  0  0  0          0.
 36  MARANHAO IV    1    0        0.000   2495  1  0  0          0.
 42  FORTALEZA      1    0        0.000  18961  0  0  0          0.
 42  FORTALEZA      2    0        0.000  18961  0  0  0          0.
 42  FORTALEZA      3    0        0.000   5592  0  0  0          0.
 43  TERMOBAHIA     1    0        0.000   3167  0  0  0          0.
 46  N.VENECIA 2    1    0        0.000   2495  1  0  0          0.
 47  TERMORIO       1    0        0.000   1152  0  0  0          0.
 47  TERMORIO       2    0        0.000   3085  0  0  0          0.
 47  TERMORIO       3    0        0.000   5232  0  0  0          0.
 47  TERMORIO       4    0        0.000   4354  0  0  0          0.
 47  TERMORIO       5    0        0.000  18190  0  0  0          0.
 47  TERMORIO       6    0        0.000   2414  0  0  0          0.
 47  TERMORIO       7    0        0.000   3582  1  0  0          0.
 47  TERMORIO       8    0        0.000   2760  0  0  0          0.
 47  TERMORIO       9    0        0.000   3480  0  0  0          0.
 47  TERMORIO      10    0        0.000  18190  0  0  0          0.
 47  TERMORIO      11    0        0.000   2856  1  0  0          0.
 47  TERMORIO      12    0        0.000    398  0  0  0          0.
 47  TERMORIO      13    0        0.000   3480  0  0  0          0.
 47  TERMORIO      14    0        0.000   3216  0  0  0          0.
 47  TERMORIO      15    0        0.000    481  0  0  0          0.
 47  TERMORIO      16    0        0.000   2496  0  0  0          0.
 47  TERMORIO      17    0        0.000    238  1  0  0          0.
 47  TERMORIO      18    0        0.000    654  0  0  0          0.
 47  TERMORIO      19    0        0.000    790  0  0  0          0.
 47  TERMORIO      20    0        0.000    888  0  0  0          0.
 47  TERMORIO      21    0        0.000   5328  0  0  0          0.
 47  TERMORIO      22    0        0.000   8297  1  0  0          0.
 47  TERMORIO      23    0        0.000  15192  1  0  0          0.
 47  TERMORIO      24    0        0.000  18190  0  0  0          0.
 47  TERMORIO      25    0        0.000  18190  0  0  0          0.
 47  TERMORIO      26    0        0.000  18190  0  0  0          0.
 47  TERMORIO      27    0        0.000   2976  0  0  0          0.
 47  TERMORIO      28    0        0.000  18190  0  0  0          0.
 47  TERMORIO      29    0        0.000  18190  0  0  0          0.
 47  TERMORIO      30    0        0.000  18190  0  0  0          0.
 47  TERMORIO      31    0        0.000   7471  0  0  0          0.
 48  ARAUCARIA      1    0        0.000  15886  1  0  0          0.
 48  ARAUCARIA      2    0        0.000   3160  1  0  0          0.
 48  ARAUCARIA      3    0        0.000   4058  1  0  0          0.
 49  VIANA          3    0        0.000   1608  1  0  0          0.
 49  VIANA          4    0        0.000   1607  0  0  0          0.
 49  VIANA          1    0        0.000   3113  0  0  0          0.
 49  VIANA          2    0        0.000   1594  1  0  0          0.
