& ARQUIVO COM RESTRICOES OPERACIONAIS PARA AS UNIDADES TERMICAS
& (NA CONFIGURACAO DO DESSEM)
&
&Flags Ativos
UCTPAR 2
UCTERM 2
PINT
REGRANPTV     1
AVLCMO 1
&
&Flags Inativos
&UCTBUSLOC
&UCTHEURFP   1 100
&CONSTDADOS 0
&AJUSTEFCF
&TOLERILH 1
&CROSSOVER 1
&ENGOLIMENTO 0
&
& CONDICOES INICIAIS DAS UNIDADES                
&                                                
INIT                                             
&us     nome       ug   st   GerInic     tempo MH A/D
&XX XXXXXXXXXXXX  XXX   XX   XXXXXXXXXX  XXXXX  X  X 
  1  ANGRA 1        1    1       640.00   8019  0  0
  4  ST.CRUZ 34     3    0         0.00  12236  0  0
  4  ST.CRUZ 34     4    0         0.00  12236  0  0
  9  R.SILVEIRA     1    0         0.00  12236  0  0
  9  R.SILVEIRA     2    0         0.00  12236  0  0
 12  CUIABA G CC    1    0         0.00   1320  1  0
 13  ANGRA 2        1    1      1210.00   4271  1  0
 15  LINHARES       1    1        51.00   9841  0  0
 15  LINHARES       2    1        51.00   5795  0  0
 15  LINHARES       3    1        51.00   9841  0  0
 15  LINHARES       4    1        43.00   5760  0  0
 21  MARANHAO V     1    0         0.00     72  0  0
 24  J.LACERDA C    7    1       180.01   1344  0  0
 25  J.LACERDA B    5    1        80.01   1241  0  0
 25  J.LACERDA B    6    1        80.00    593  1  0
 26  J.LACERDA A1   1    0         0.00    647  0  0
 26  J.LACERDA A1   2    0         0.00    647  0  0
 27  J.LACERDA A2   3    1        35.00   1362  1  0
 27  J.LACERDA A2   4    1        35.01    840  0  0
 28  FIGUEIRA       1    0         0.00  12236  0  0
 28  FIGUEIRA       3    0         0.00  12236  0  0
 35  URUGUAIANA     1    0         0.00  12236  0  0
 35  URUGUAIANA     2    0         0.00  12236  0  0
 35  URUGUAIANA     3    0         0.00  12236  0  0
 36  MARANHAO IV    1    0         0.00     72  0  0
 42  FORTALEZA      1    0         0.00  10729  0  0
 42  FORTALEZA      2    0         0.00  10729  0  0
 42  FORTALEZA      3    0         0.00    506  0  0
 43  TERMOBAHIA     1    0         0.00   1689  0  0
