& CONDICOES INICIAIS DAS UNIDADES
&
UCTPAR 2
UCTERM 2
PINT
REGRANPTV     1
AVLCMO 1
CPLEXLOG
&
&Flags Inativos
&UCTBUSLOC
&UCTHEURFP   1 100
CONSTDADOS 0
&AJUSTEFCF
&TOLERILH 1
&CROSSOVER 1
&ENGOLIMENTO 0                
&                                                
INIT                                             
&us     nome       ug   st   GerInic     tempo MH A/D T  TITULINFLX
&XX XXXXXXXXXXXX  XXX   XX   XXXXXXXXXX  XXXXX  X  X  X  XXXXXXXXXX
  1  ANGRA 1        1    1      640.000   6192  0  0  2        640.
  4  ST.CRUZ 34     3    0        0.000  20804  0  0  0          0.
  4  ST.CRUZ 34     4    0        0.000  20804  0  0  0          0.
  9  R.SILVEIRA     1    0        0.000  20804  0  0  0          0.
  9  R.SILVEIRA     2    0        0.000  20804  0  0  0          0.
 12  CUIABA G CC    1    0        0.000   4152  0  0  0          0.
 12  CUIABA G CC    2    0        0.000   4656  0  0  0          0.
 12  CUIABA G CC    3    0        0.000   4680  0  0  0          0.
 13  ANGRA 2        1    1     1350.000   2189  0  0  2       1350.
 15  LINHARES       1    0        0.000    978  0  0  0          0.
 15  LINHARES       2    0        0.000    978  0  0  0          0.
 15  LINHARES       3    0        0.000    810  0  0  0          0.
 15  LINHARES       4    0        0.000    810  0  0  0          0.
 21  MARANHAO V     1    0        0.000   2831  0  0  0          0.
 24  J.LACERDA C    7    0        0.000     52  0  0  0          0.
 25  J.LACERDA B    5    1       80.010     19  1  0  3          0.
 25  J.LACERDA B    6    1       80.000     17  1  0  3          0.
 26  J.LACERDA A1   1    0        0.000   2807  0  0  0          0.
 26  J.LACERDA A1   2    0        0.000   2893  1  0  0          0.
 27  J.LACERDA A2   3    1       35.010     20  1  0  3          0.
 27  J.LACERDA A2   4    0        0.000    142  1  0  0          0.
 28  FIGUEIRA       1    0        0.000  20804  0  0  0          0.
 28  FIGUEIRA       3    0        0.000  20804  0  0  0          0.
 35  URUGUAIANA     1    0        0.000  20804  0  0  0          0.
 35  URUGUAIANA     2    0        0.000  20804  0  0  0          0.
 35  URUGUAIANA     3    0        0.000  20804  0  0  0          0.
 36  MARANHAO IV    1    0        0.000   2831  1  0  0          0.
 42  FORTALEZA      1    0        0.000  19297  0  0  0          0.
 42  FORTALEZA      2    0        0.000  19297  0  0  0          0.
 42  FORTALEZA      3    0        0.000   5928  0  0  0          0.
 43  TERMOBAHIA     1    0        0.000   3503  0  0  0          0.
 46  N.VENECIA 2    1    0        0.000   2831  1  0  0          0.
 47  TERMORIO       1    0        0.000   1488  0  0  0        155.
 47  TERMORIO       2    0        0.000    230  1  0  0        155.
 47  TERMORIO       3    0        0.000   5568  0  0  0        155.
 47  TERMORIO       4    0        0.000   4690  0  0  0        155.
 47  TERMORIO       5    0        0.000  18526  0  0  0        155.
 47  TERMORIO       6    0        0.000   2750  0  0  0        155.
 47  TERMORIO       7    0        0.000   3918  1  0  0        155.
