& CONDICOES INICIAIS DAS UNIDADES                
&                                                
&Flags Ativos
UCTPAR 2
UCTERM 2
PINT
REGRANPTV     1
AVLCMO 1
&
&Flags Inativos
&UCTBUSLOC
&UCTHEURFP   1 100
&CONSTDADOS 0
&AJUSTEFCF
&TOLERILH 1
&CROSSOVER 1
&ENGOLIMENTO 0
&
& CONDICOES INICIAIS DAS UNIDADES                
&                                                
INIT                                             
&us     nome       ug   st   GerInic     tempo MH A/D
&XX XXXXXXXXXXXX  XXX   XX   XXXXXXXXXX  XXXXX  X  X 
  1  ANGRA 1        1    1       640.00   8523  0  0
  4  ST.CRUZ 34     3    0         0.00  12740  0  0
  4  ST.CRUZ 34     4    0         0.00  12740  0  0
  9  R.SILVEIRA     1    0         0.00  12740  0  0
  9  R.SILVEIRA     2    0         0.00  12740  0  0
 12  CUIABA G CC    1    0         0.00   1824  1  0
 13  ANGRA 2        1    1      1205.00   4775  1  0
 15  LINHARES       1    1        51.00  10345  0  0
 15  LINHARES       2    1        51.00   6299  0  0
 15  LINHARES       3    1        51.00  10345  0  0
 15  LINHARES       4    1        43.00   6264  0  0
 21  MARANHAO V     1    0         0.00    143  0  0
 24  J.LACERDA C    7    1       180.01     93  0  0
 25  J.LACERDA B    5    1        80.01   1745  0  0
 25  J.LACERDA B    6    1        80.00    185  1  0
 26  J.LACERDA A1   1    0         0.00     42  1  0
 26  J.LACERDA A1   2    0         0.00     44  0  0
 27  J.LACERDA A2   3    1        35.01   1866  1  0
 27  J.LACERDA A2   4    1        35.00   1344  0  0
 28  FIGUEIRA       1    0         0.00  12740  0  0
 28  FIGUEIRA       3    0         0.00  12740  0  0
 35  URUGUAIANA     1    0         0.00  12740  0  0
 35  URUGUAIANA     2    0         0.00  12740  0  0
 35  URUGUAIANA     3    0         0.00  12740  0  0
 36  MARANHAO IV    1    0         0.00    137  0  0
 42  FORTALEZA      1    0         0.00  11233  0  0
 42  FORTALEZA      2    0         0.00  11233  0  0
 42  FORTALEZA      3    0         0.00   1010  0  0
 43  TERMOBAHIA     1    0         0.00   2193  0  0
 46  N.VENECIA 2    1    0         0.00    976  1  0
 47  TERMORIO       1    0         0.00   1654  1  0
 47  TERMORIO       2    0         0.00   2878  1  0
 47  TERMORIO       3    0         0.00  10462  0  0
 47  TERMORIO       4    0         0.00  10462  0  0
 47  TERMORIO       5    0         0.00  10462  0  0
 47  TERMORIO       6    0         0.00   1272  0  0
 47  TERMORIO       7    0         0.00   1152  0  0
 47  TERMORIO       8    0         0.00  10462  0  0
 47  TERMORIO       9    0         0.00   2158  0  0
 47  TERMORIO      10    0         0.00  10462  0  0
 47  TERMORIO      11    0         0.00   1200  0  0
 47  TERMORIO      12    0         0.00   1739  1  0
 47  TERMORIO      13    0         0.00   1156  0  0
 47  TERMORIO      14    0         0.00   2328  0  0
 47  TERMORIO      15    0         0.00   2330  0  0
 47  TERMORIO      16    0         0.00   8892  0  0
 47  TERMORIO      17    0         0.00   1126  1  0
 47  TERMORIO      18    0         0.00   1918  1  0
 47  TERMORIO      19    0         0.00   5232  0  0
 47  TERMORIO      20    0         0.00   4656  0  0
 47  TERMORIO      21    0         0.00   7464  1  0
 47  TERMORIO      22    0         0.00    569  1  0
 47  TERMORIO      23    0         0.00   7464  1  0
 47  TERMORIO      24    0         0.00  10462  0  0
 47  TERMORIO      25    0         0.00  10462  0  0
 47  TERMORIO      26    0         0.00  10462  0  0
 47  TERMORIO      27    0         0.00    734  1  0
 47  TERMORIO      28    0         0.00  10462  0  0
 47  TERMORIO      29    0         0.00  10462  0  0
 47  TERMORIO      30    0         0.00  10462  0  0
 47  TERMORIO      31    0         0.00  10462  0  0
 48  ARAUCARIA      1    0         0.00   8158  1  0
 48  ARAUCARIA      2    0         0.00   8158  1  0
 48  ARAUCARIA      3    0         0.00   2158  1  0
 49  VIANA          1    0         0.00    406  0  0
 49  VIANA          2    0         0.00    406  0  0
 49  VIANA          3    0         0.00    406  0  0
 49  VIANA          4    0         0.00    406  0  0
 50  PIRAT.12 G     1    0         0.00  12740  0  0
 50  PIRAT.12 G     2    0         0.00  12740  0  0
 52  CAMPINA GDE    1    0         0.00   2168  1  0
 52  CAMPINA GDE    2    0         0.00   2159  0  0
 52  CAMPINA GDE    3    0         0.00   2161  1  0
 52  CAMPINA GDE    4    0         0.00   2159  0  0
 53  GLOBAL I       1    0         0.00   8832  0  0
 53  GLOBAL I       2    0         0.00   1243  0  0
 53  GLOBAL I       3    0         0.00   8832  0  0
 53  GLOBAL I       4    0         0.00   8832  0  0
 53  GLOBAL I       5    0         0.00   8832  0  0
 53  GLOBAL I       6    0         0.00   8832  0  0
 53  GLOBAL I       7    0         0.00   2449  0  0
 53  GLOBAL I       8    0         0.00   8832  0  0
 53  GLOBAL I       9    0         0.00   8832  0  0
 53  GLOBAL I      10    0         0.00   8832  0  0
 53  GLOBAL I      11    0         0.00   8832  0  0
 54  JUIZ DE FORA   1    0         0.00    669  0  0
 54  JUIZ DE FORA   2    0         0.00    774  1  0
 55  GLOBAL II      1    0         0.00  12740  0  0
 55  GLOBAL II      2    0         0.00   8832  0  0
 55  GLOBAL II      3    0         0.00  10172  0  0
 55  GLOBAL II      4    0         0.00   8832  0  0
 55  GLOBAL II      5    0         0.00   8832  0  0
 55  GLOBAL II      6    0         0.00   8832  0  0
 55  GLOBAL II      7    0         0.00   8832  0  0
 55  GLOBAL II      8    0         0.00   8832  0  0
 55  GLOBAL II      9    0         0.00   8832  0  0
 55  GLOBAL II     10    0         0.00   8832  0  0
 55  GLOBAL II     11    0         0.00   8832  0  0
 57  MARACANAU I    1    0         0.00   3441  1  0
 57  MARACANAU I    2    0         0.00   3441  1  0
 57  MARACANAU I    3    0         0.00   2159  1  0
 57  MARACANAU I    4    0         0.00   2159  1  0
 57  MARACANAU I    5    0         0.00   2201  1  0
 57  MARACANAU I    6    0         0.00   3441  1  0
 57  MARACANAU I    7    0         0.00   2159  1  0
 57  MARACANAU I    8    0         0.00   2159  1  0
 58  TERMOCEARA     1    0         0.00   1218  0  0
 58  TERMOCEARA     2    0         0.00   1175  0  0
 58  TERMOCEARA     3    0         0.00   1182  1  0
 58  TERMOCEARA     4    0         0.00   9744  1  0
 60  NORTEFLU       1    0         0.00  15999  0  0
 60  NORTEFLU       2    0         0.00  15999  0  0
 60  NORTEFLU       3    0         0.00  15999  0  0
 60  NORTEFLU       4    0         0.00   2530  1  0
 60  NORTEFLU       5    0         0.00    184  0  0
 60  NORTEFLU       6    0         0.00    441  1  0
 60  NORTEFLU       7    1       700.00    184  0  0
 62  SEROPEDICA     1    0         0.00    674  0  0
 62  SEROPEDICA     2    0         0.00   1182  0  0
 62  SEROPEDICA     3    0         0.00    814  1  0
 62  SEROPEDICA     4    0         0.00   1187  0  0
 62  SEROPEDICA     5    0         0.00   3666  0  0
 62  SEROPEDICA     6    0         0.00   1151  0  0
 62  SEROPEDICA     7    0         0.00   1902  1  0
 62  SEROPEDICA     8    0         0.00   1994  1  0
 63  IBIRITE        1    0         0.00    864  0  0
 64  CANOAS         1    0         0.00   2158  1  0
 67  TERMONE        1    0         0.00   1668  0  0
 67  TERMONE        2    0         0.00   1506  1  0
 67  TERMONE        3    0         0.00   1212  0  0
 68  TRES LAGOAS    1    0         0.00  10281  0  0
 68  TRES LAGOAS    2    0         0.00   7703  0  0
 68  TRES LAGOAS    3    0         0.00  12408  0  0
 68  TRES LAGOAS    4    0         0.00  10368  1  0
 68  TRES LAGOAS    5    0         0.00  10368  1  0
 68  TRES LAGOAS    6    0         0.00   1531  1  0
 68  TRES LAGOAS    7    0         0.00  10368  0  0
 68  TRES LAGOAS    8    0         0.00   3384  0  0
 68  TRES LAGOAS    9    0         0.00  10368  0  0
 68  TRES LAGOAS   10    0         0.00   3246  0  0
 68  TRES LAGOAS   11    0         0.00   3336  0  0
 68  TRES LAGOAS   12    0         0.00  10344  0  0
 68  TRES LAGOAS   13    0         0.00   1010  0  0
 68  TRES LAGOAS   14    0         0.00   3024  0  0
 68  TRES LAGOAS   15    0         0.00   1822  1  0
 69  TERMOPB        1    0         0.00   1506  0  0
 69  TERMOPB        2    0         0.00    297  0  0
 69  TERMOPB        3    0         0.00    128  1  0
 70  GERAMAR II     1    0         0.00   2159  0  0
 70  GERAMAR II     2    0         0.00   2159  1  0
 70  GERAMAR II     3    0         0.00   2159  0  0
 70  GERAMAR II     4    0         0.00   2159  0  0
 73  GERAMAR I      1    0         0.00   2159  0  0
 73  GERAMAR I      2    0         0.00   2159  0  0
 73  GERAMAR I      3    0         0.00   2159  0  0
 73  GERAMAR I      4    0         0.00   2159  1  0
 74  FAFEN          1    0         0.00   9686  0  0
 74  FAFEN          2    0         0.00  11692  0  0
 74  FAFEN          3    0         0.00   1151  1  0
 74  FAFEN          4    0         0.00  12408  0  0
 83  VALE DO ACU    1    0         0.00   1319  0  0
 83  VALE DO ACU    2    0         0.00   6221  0  0
 86  ST.CRUZ NOVA  11    0         0.00    372  0  0
 86  ST.CRUZ NOVA  21    0         0.00   1152  0  0
 90  TERMOMACAE     1    0         0.00   2155  0  0
 90  TERMOMACAE     2    0         0.00  12408  0  0
 90  TERMOMACAE     3    0         0.00   2791  1  0
 90  TERMOMACAE     4    0         0.00   2413  0  0
 90  TERMOMACAE     5    0         0.00  12408  0  0
 90  TERMOMACAE     6    0         0.00   1439  0  0
 90  TERMOMACAE     7    0         0.00  12408  0  0
 90  TERMOMACAE     8    0         0.00  12408  0  0
 90  TERMOMACAE     9    0         0.00  12408  0  0
 90  TERMOMACAE    10    0         0.00  12408  0  0
 90  TERMOMACAE    11    0         0.00   2663  0  0
 90  TERMOMACAE    12    0         0.00   2669  1  0
 90  TERMOMACAE    13    0         0.00   2295  1  0
 90  TERMOMACAE    14    0         0.00   2368  0  0
 90  TERMOMACAE    15    0         0.00   2603  0  0
 90  TERMOMACAE    16    0         0.00  12408  0  0
 90  TERMOMACAE    17    0         0.00   2337  1  0
 90  TERMOMACAE    18    0         0.00   1464  0  0
 90  TERMOMACAE    19    0         0.00   1481  0  0
 90  TERMOMACAE    20    0         0.00   2160  0  0
 96  TERMOPE        1    0         0.00   7667  0  0
 96  TERMOPE        2    0         0.00   4549  0  0
 96  TERMOPE        3    0         0.00    136  0  0
 97  CUBATAO        1    0         0.00   1169  1  0
 97  CUBATAO        2    0         0.00   1085  1  0
 97  CUBATAO        3    0         0.00   1353  0  0
 98  PERNAMBU_III   1    0         0.00   8689  0  0
 98  PERNAMBU_III   2    0         0.00  10054  0  0
 98  PERNAMBU_III   3    0         0.00   8688  1  0
 98  PERNAMBU_III   4    0         0.00   2159  1  0
106  ERB CANDEIAS   1    1         9.50   1656  0  0
107  PAMPA SUL      1    0         0.00   8528  0  0
108  XAVANTES       1    0         0.00  12410  0  0
108  XAVANTES       2    0         0.00  12410  0  0
109  ALTOS          1    0         0.00  12740  0  0
110  N.PIRATININ    1    0         0.00   6001  1  0
110  N.PIRATININ    2    0         0.00  15456  0  0
110  N.PIRATININ    3    0         0.00   2584  0  0
110  N.PIRATININ    4    0         0.00   2584  0  0
110  N.PIRATININ    5    0         0.00  14919  0  0
110  N.PIRATININ    6    0         0.00  11915  0  0
110  N.PIRATININ    7    0         0.00  12138  0  0
110  N.PIRATININ    8    0         0.00  15456  0  0
110  N.PIRATININ    9    0         0.00  15456  0  0
110  N.PIRATININ   10    0         0.00  15456  0  0
110  N.PIRATININ   11    0         0.00  14919  0  0
110  N.PIRATININ   12    0         0.00  14919  0  0
110  N.PIRATININ   13    0         0.00  15456  0  0
110  N.PIRATININ   14    0         0.00  15456  0  0
110  N.PIRATININ   15    0         0.00  15120  0  0
110  N.PIRATININ   16    0         0.00   2157  1  0
111  ARACATI        1    0         0.00  12740  0  0
112  BAHIA I        1    0         0.00   2449  0  0
112  BAHIA I        2    0         0.00   8832  0  0
112  BAHIA I        3    0         0.00   8832  0  0
113  BATURITE       1    0         0.00  12740  0  0
116  PARNAIBA IV    1    0         0.00   1536  0  0
117  CAMPO MAIOR    1    0         0.00  12740  0  0
119  CAUCAIA        1    0         0.00  12740  0  0
121  CRATO          1    0         0.00  12740  0  0
125  ENGUIA PECEM   1    0         0.00  12740  0  0
127  IGUATU         1    0         0.00  12740  0  0
133  JUAZEIRO N     1    0         0.00  12740  0  0
135  MARAMBAIA      1    0         0.00  12740  0  0
138  NAZARIA        1    0         0.00  12740  0  0
140  MAUA 3         1    1       565.00    372  0  0
140  MAUA 3         2    0         0.00   3408  0  0
140  MAUA 3         3    0         0.00    372  0  0
140  MAUA 3         4    0         0.00    414  0  0
140  MAUA 3         5    0         0.00   5440  0  0
140  MAUA 3         6    0         0.00   6293  0  0
144  PETROLINA      1    0         0.00  12408  0  0
144  PETROLINA      2    0         0.00  12408  0  0
144  PETROLINA      3    0         0.00  12408  0  0
144  PETROLINA      4    0         0.00  12408  0  0
144  PETROLINA      5    0         0.00  12408  0  0
144  PETROLINA      6    0         0.00  12408  0  0
144  PETROLINA      7    0         0.00  12408  0  0
144  PETROLINA      8    0         0.00  12408  0  0
