& CONDICOES INICIAIS DAS UNIDADES                
&
UCTPAR 2
UCTERM 2
PINT
REGRANPTV     1
AVLCMO 1
CPLEXLOG
&
&Flags Inativos
&UCTBUSLOC
&UCTHEURFP   1 100
&CONSTDADOS 0
&AJUSTEFCF
&TOLERILH 1
&CROSSOVER 1
&ENGOLIMENTO 0
&
& CONDICOES INICIAIS DAS UNIDADES                
&                                                
INIT                                             
&us     nome       ug   st   GerInic     tempo MH A/D T  TITULINFLX
&XX XXXXXXXXXXXX  XXX   XX   XXXXXXXXXX  XXXXX  X  X  X  XXXXXXXXXX
  1  ANGRA 1        1    1      640.000   6864  0  0  2        640.
  4  ST.CRUZ 34     3    0        0.000  21476  0  0  0          0.
  4  ST.CRUZ 34     4    0        0.000  21476  0  0  0          0.
  9  R.SILVEIRA     1    0        0.000  21476  0  0  0          0.
  9  R.SILVEIRA     2    0        0.000  21476  0  0  0          0.
 12  CUIABA G CC    1    0        0.000   4824  0  0  0          0.
 12  CUIABA G CC    2    0        0.000   5328  0  0  0          0.
 12  CUIABA G CC    3    0        0.000   5352  0  0  0          0.
 13  ANGRA 2        1    1     1350.000    329  1  0  2       1350.
 15  LINHARES       1    0        0.000     34  1  0  0          0.
 15  LINHARES       2    0        0.000     34  1  0  0          0.
 15  LINHARES       3    0        0.000     34  1  0  0          0.
 15  LINHARES       4    0        0.000   1482  0  0  0          0.
 21  MARANHAO V     1    0        0.000   3503  0  0  0          0.
 24  J.LACERDA C    7    0        0.000    261  0  0  0          0.
 25  J.LACERDA B    5    0        0.000    475  1  0  0          0.
 25  J.LACERDA B    6    0        0.000    473  1  0  0          0.
 26  J.LACERDA A1   1    0        0.000   3479  0  0  0          0.
 26  J.LACERDA A1   2    0        0.000   3565  1  0  0          0.
 27  J.LACERDA A2   3    0        0.000    476  1  0  0          0.
 27  J.LACERDA A2   4    0        0.000    814  1  0  0          0.
 28  FIGUEIRA       1    0        0.000  21476  0  0  0          0.
 28  FIGUEIRA       3    0        0.000  21476  0  0  0          0.
 35  URUGUAIANA     1    0        0.000  21476  0  0  0          0.
 35  URUGUAIANA     2    0        0.000  21476  0  0  0          0.
 35  URUGUAIANA     3    0        0.000  21476  0  0  0          0.
 36  MARANHAO IV    1    0        0.000   3503  1  0  0          0.
 42  FORTALEZA      1    0        0.000  19969  0  0  0          0.
 42  FORTALEZA      2    0        0.000  19969  0  0  0          0.
 42  FORTALEZA      3    0        0.000   6600  0  0  0          0.
 43  TERMOBAHIA     1    1      120.000    194  0  0  2        120.
 46  N.VENECIA 2    1    0        0.000   3503  1  0  0          0.
 47  TERMORIO       1    0        0.000    216  0  0  0        155.
 47  TERMORIO       2    0        0.000    902  1  0  0        155.
 47  TERMORIO       3    0        0.000   6240  0  0  0        155.
 47  TERMORIO       4    0        0.000   5362  0  0  0        155.
 47  TERMORIO       5    0        0.000  19198  0  0  0        155.
 47  TERMORIO       6    0        0.000   3422  0  0  0        155.
 47  TERMORIO       7    0        0.000   4590  1  0  0        155.
 47  TERMORIO       8    0        0.000   3768  0  0  0        155.
 47  TERMORIO       9    0        0.000   4488  0  0  0        155.
 47  TERMORIO      10    0        0.000  19198  0  0  0        155.
 47  TERMORIO      11    0        0.000   3864  1  0  0        155.
 47  TERMORIO      12    0        0.000   1406  0  0  0        155.
 47  TERMORIO      13    0        0.000   4488  0  0  0        155.
 47  TERMORIO      14    0        0.000   4224  0  0  0        155.
 47  TERMORIO      15    0        0.000   1489  0  0  0        155.
 47  TERMORIO      16    0        0.000   3504  0  0  0        155.
 47  TERMORIO      17    0        0.000   1246  1  0  0        155.
 47  TERMORIO      18    0        0.000    298  0  0  0        155.
 47  TERMORIO      19    0        0.000   1798  1  0  0        155.
 47  TERMORIO      20    1      155.000    216  0  0  2        155.
 47  TERMORIO      21    0        0.000   6336  0  0  0        155.
 47  TERMORIO      22    0        0.000   9305  1  0  0        155.
 47  TERMORIO      23    0        0.000  16200  1  0  0        155.
 47  TERMORIO      24    0        0.000  19198  0  0  0        155.
 47  TERMORIO      25    0        0.000  19198  0  0  0        155.
 47  TERMORIO      26    0        0.000  19198  0  0  0        155.
 47  TERMORIO      27    0        0.000   3984  0  0  0        155.
 47  TERMORIO      28    0        0.000  19198  0  0  0        155.
 47  TERMORIO      29    0        0.000  19198  0  0  0        155.
 47  TERMORIO      30    0        0.000  19198  0  0  0        155.
 47  TERMORIO      31    0        0.000   8479  0  0  0        155.
 48  ARAUCARIA      1    0        0.000  16894  1  0  0          0.
 48  ARAUCARIA      2    0        0.000   4168  1  0  0          0.
 48  ARAUCARIA      3    0        0.000   5066  1  0  0          0.
 49  VIANA          3    0        0.000   2616  1  0  0          0.
 49  VIANA          4    0        0.000   2615  0  0  0          0.
 49  VIANA          1    0        0.000   4121  0  0  0          0.
 49  VIANA          2    0        0.000   2602  1  0  0          0.
 50  PIRAT.12 G     1    0        0.000  21476  0  0  0          0.
 50  PIRAT.12 G     2    0        0.000  21476  0  0  0          0.
 52  CAMPINA GDE    1    0        0.000   4176  0  0  0          0.
 52  CAMPINA GDE    2    0        0.000   4176  0  0  0          0.
 52  CAMPINA GDE    3    0        0.000   4176  0  0  0          0.
 52  CAMPINA GDE    4    0        0.000   4175  1  0  0          0.
 53  GLOBAL I       1    0        0.000   5515  0  0  0          0.
 53  GLOBAL I       2    0        0.000   5550  0  0  0          0.
 53  GLOBAL I       3    0        0.000   4659  0  0  0          0.
 53  GLOBAL I       4    0        0.000  17568  0  0  0          0.
 53  GLOBAL I       5    0        0.000   4620  1  0  0          0.
 53  GLOBAL I       6    0        0.000   5544  1  0  0          0.
 53  GLOBAL I       7    0        0.000   4251  1  0  0          0.
 53  GLOBAL I       8    0        0.000   4224  0  0  0          0.
 53  GLOBAL I       9    0        0.000   4632  1  0  0          0.
 53  GLOBAL I      10    0        0.000   4274  0  0  0          0.
 53  GLOBAL I      11    0        0.000   4174  1  0  0          0.
 54  JUIZ DE FORA   1    0        0.000   3504  0  0  0          0.
 54  JUIZ DE FORA   2    0        0.000   3503  1  0  0          0.
 55  GLOBAL II      1    0        0.000   4336  0  0  0          0.
 55  GLOBAL II      2    0        0.000   4239  0  0  0          0.
 55  GLOBAL II      3    0        0.000   4341  0  0  0          0.
 55  GLOBAL II      4    0        0.000   4658  0  0  0          0.
 55  GLOBAL II      5    0        0.000  17568  0  0  0          0.
 55  GLOBAL II      6    0        0.000  17568  0  0  0          0.
 55  GLOBAL II      7    0        0.000   4256  1  0  0          0.
 55  GLOBAL II      8    0        0.000   4327  1  0  0          0.
 55  GLOBAL II      9    0        0.000   4394  1  0  0          0.
 55  GLOBAL II     10    0        0.000   4232  0  0  0          0.
 55  GLOBAL II     11    0        0.000   4174  1  0  0          0.
 57  MARACANAU I    1    0        0.000   4175  1  0  0          0.
 57  MARACANAU I    2    0        0.000   5469  1  0  0          0.
 57  MARACANAU I    3    0        0.000   4175  1  0  0          0.
 57  MARACANAU I    4    0        0.000   4175  1  0  0          0.
 57  MARACANAU I    5    0        0.000   7823  1  0  0          0.
 57  MARACANAU I    6    0        0.000   4358  0  0  0          0.
 57  MARACANAU I    7    0        0.000   4468  0  0  0          0.
 57  MARACANAU I    8    0        0.000   4215  0  0  0          0.
 58  TERMOCEARA     1    0        0.000   9954  0  0  0          0.
 58  TERMOCEARA     2    0        0.000   9911  0  0  0          0.
 58  TERMOCEARA     3    0        0.000   9918  1  0  0          0.
 58  TERMOCEARA     4    0        0.000  18480  1  0  0          0.
 58  TERMOCEARA     5    0        0.000   2256  0  0  0          0.
 58  TERMOCEARA     6    0        0.000   2256  0  0  0          0.
 58  TERMOCEARA     7    0        0.000   2256  0  0  0          0.
 58  TERMOCEARA     8    0        0.000   2256  0  0  0          0.
 58  TERMOCEARA     9    0        0.000   2256  0  0  0          0.
 58  TERMOCEARA    10    0        0.000   2256  0  0  0          0.
 58  TERMOCEARA    11    0        0.000   2256  0  0  0          0.
 58  TERMOCEARA    12    0        0.000   2256  0  0  0          0.
 58  TERMOCEARA    13    0        0.000   2256  0  0  0          0.
 58  TERMOCEARA    14    0        0.000   2256  0  0  0          0.
 58  TERMOCEARA    15    0        0.000   2256  0  0  0          0.
 60  NORTEFLU       1    0        0.000  24735  0  0  0          0.
 60  NORTEFLU       2    0        0.000  24735  0  0  0          0.
 60  NORTEFLU       3    0        0.000  24735  0  0  0          0.
 60  NORTEFLU       4    0        0.000   1385  0  0  0          0.
 60  NORTEFLU       5    0        0.000   1553  0  0  0          0.
 60  NORTEFLU       6    0        0.000   2448  0  0  0          0.
 60  NORTEFLU       7    0        0.000   2158  0  0  0          0.
 62  SEROPEDICA     1    0        0.000   3027  0  0  0          0.
 62  SEROPEDICA     2    0        0.000   1488  0  0  0          0.
 62  SEROPEDICA     3    0        0.000    943  0  0  0          0.
 62  SEROPEDICA     4    0        0.000    949  1  0  0          0.
 62  SEROPEDICA     5    0        0.000   1481  1  0  0          0.
 62  SEROPEDICA     6    0        0.000   3456  1  0  0          0.
 62  SEROPEDICA     7    0        0.000   3626  0  0  0          0.
 62  SEROPEDICA     8    0        0.000   3504  0  0  0          0.
 63  IBIRITE        1    0        0.000   4464  0  0  0          0.
 64  CANOAS         1    0        0.000   3838  1  0  0          0.
 67  TERMONE        1    0        0.000   1477  1  0  0          0.
 67  TERMONE        2    0        0.000   1482  0  0  0          0.
 67  TERMONE        3    0        0.000   2404  1  0  0          0.
 68  TRES LAGOAS    1    0        0.000   4287  0  0  0          0.
 68  TRES LAGOAS    2    0        0.000  16439  0  0  0          0.
 68  TRES LAGOAS    3    0        0.000  21144  0  0  0          0.
 68  TRES LAGOAS    4    0        0.000   6132  0  0  0          0.
 68  TRES LAGOAS    5    0        0.000  19104  1  0  0          0.
 68  TRES LAGOAS    6    0        0.000  10267  1  0  0          0.
 68  TRES LAGOAS    7    0        0.000   3520  1  0  0          0.
 68  TRES LAGOAS    8    0        0.000  12120  0  0  0          0.
 68  TRES LAGOAS    9    0        0.000   3435  1  0  0          0.
 68  TRES LAGOAS   10    0        0.000  11982  0  0  0          0.
 68  TRES LAGOAS   11    0        0.000  12072  0  0  0          0.
 68  TRES LAGOAS   12    0        0.000  19080  0  0  0          0.
 68  TRES LAGOAS   13    0        0.000   3840  0  0  0          0.
 68  TRES LAGOAS   14    0        0.000  11760  0  0  0          0.
 68  TRES LAGOAS   15    0        0.000  10558  1  0  0          0.
 69  TERMOPB        1    0        0.000   3307  1  0  0          0.
 69  TERMOPB        2    0        0.000   1651  0  0  0          0.
 69  TERMOPB        3    0        0.000   2200  0  0  0          0.
 70  GERAMAR II     1    0        0.000   1020  0  0  0          0.
 70  GERAMAR II     2    0        0.000   1020  0  0  0          0.
 70  GERAMAR II     3    0        0.000   4175  0  0  0          0.
 70  GERAMAR II     4    0        0.000   4175  0  0  0          0.
 73  GERAMAR I      1    0        0.000   4175  0  0  0          0.
 73  GERAMAR I      2    0        0.000   4175  0  0  0          0.
 73  GERAMAR I      3    0        0.000   1044  0  0  0          0.
 73  GERAMAR I      4    0        0.000   1048  1  0  0          0.
 83  VALE DO ACU    1    0        0.000   4175  0  0  0          0.
 83  VALE DO ACU    2    0        0.000  14957  0  0  0          0.
 86  ST.CRUZ NOVA  11    0        0.000     35  1  0  0          0.
 86  ST.CRUZ NOVA  21    0        0.000   1482  0  0  0          0.
 90  TERMOMACAE     1    0        0.000   3840  0  0  0          0.
 90  TERMOMACAE     2    0        0.000   3859  1  0  0          0.
 90  TERMOMACAE     3    0        0.000  11527  1  0  0          0.
