& CONDICOES INICIAIS DAS UNIDADES                
&
UCTPAR 2
UCTERM 2
PINT
REGRANPTV     1
AVLCMO 1
CPLEXLOG
&
&Flags Inativos
&UCTBUSLOC
&UCTHEURFP   1 100
&CONSTDADOS 0
&AJUSTEFCF
&TOLERILH 1
&CROSSOVER 1
&ENGOLIMENTO 0              
&                                                
INIT                                             
&us     nome       ug   st   GerInic     tempo MH A/D T  TITULINFLX
&XX XXXXXXXXXXXX  XXX   XX   XXXXXXXXXX  XXXXX  X  X  X  XXXXXXXXXX
  1  ANGRA 1        1    1      640.000   7032  0  0  2        640.
  4  ST.CRUZ 34     3    0        0.000  21644  0  0  0          0.
  4  ST.CRUZ 34     4    0        0.000  21644  0  0  0          0.
  9  R.SILVEIRA     1    0        0.000  21644  0  0  0          0.
  9  R.SILVEIRA     2    0        0.000  21644  0  0  0          0.
 12  CUIABA G CC    1    0        0.000   4992  0  0  0          0.
 12  CUIABA G CC    2    0        0.000   5496  0  0  0          0.
 12  CUIABA G CC    3    0        0.000   5520  0  0  0          0.
 13  ANGRA 2        1    1     1350.000    497  1  0  2       1350.
 15  LINHARES       1    0        0.000    202  1  0  0          0.
 15  LINHARES       2    0        0.000    202  1  0  0          0.
 15  LINHARES       3    0        0.000    202  1  0  0          0.
 15  LINHARES       4    0        0.000   1650  0  0  0          0.
 21  MARANHAO V     1    0        0.000   3671  0  0  0          0.
 24  J.LACERDA C    7    0        0.000    429  0  0  0          0.
 25  J.LACERDA B    5    0        0.000    643  1  0  0          0.
 25  J.LACERDA B    6    0        0.000    641  1  0  0          0.
 26  J.LACERDA A1   1    0        0.000   3647  0  0  0          0.
 26  J.LACERDA A1   2    0        0.000   3733  1  0  0          0.
 27  J.LACERDA A2   3    0        0.000    644  1  0  0          0.
 27  J.LACERDA A2   4    0        0.000    982  1  0  0          0.
 28  FIGUEIRA       1    0        0.000  21644  0  0  0          0.
 28  FIGUEIRA       3    0        0.000  21644  0  0  0          0.
 35  URUGUAIANA     1    0        0.000  21644  0  0  0          0.
 35  URUGUAIANA     2    0        0.000  21644  0  0  0          0.
 35  URUGUAIANA     3    0        0.000  21644  0  0  0          0.
 36  MARANHAO IV    1    0        0.000   3671  1  0  0          0.
 42  FORTALEZA      1    0        0.000  20137  0  0  0          0.
 42  FORTALEZA      2    0        0.000  20137  0  0  0          0.
 42  FORTALEZA      3    0        0.000   6768  0  0  0          0.
 43  TERMOBAHIA     1    1      120.000    362  0  0  2        120.
 46  N.VENECIA 2    1    0        0.000   3671  1  0  0          0.
 47  TERMORIO       1    0        0.000    384  0  0  0        155.
 47  TERMORIO       2    0        0.000   1070  1  0  0        155.
 47  TERMORIO       3    0        0.000   6408  0  0  0        155.
 47  TERMORIO       4    0        0.000   5530  0  0  0        155.
 47  TERMORIO       5    0        0.000  19366  0  0  0        155.
 47  TERMORIO       6    0        0.000   3590  0  0  0        155.
 47  TERMORIO       7    0        0.000   4758  1  0  0        155.
 47  TERMORIO       8    0        0.000   3936  0  0  0        155.
 47  TERMORIO       9    0        0.000   4656  0  0  0        155.
 47  TERMORIO      10    0        0.000  19366  0  0  0        155.
 47  TERMORIO      11    0        0.000   4032  1  0  0        155.
 47  TERMORIO      12    0        0.000   1574  0  0  0        155.
 47  TERMORIO      13    0        0.000   4656  0  0  0        155.
 47  TERMORIO      14    0        0.000   4392  0  0  0        155.
 47  TERMORIO      15    0        0.000   1657  0  0  0        155.
 47  TERMORIO      16    0        0.000   3672  0  0  0        155.
 47  TERMORIO      17    0        0.000   1414  1  0  0        155.
 47  TERMORIO      18    0        0.000    466  0  0  0        155.
 47  TERMORIO      19    0        0.000   1966  1  0  0        155.
 47  TERMORIO      20    1      155.000    384  0  0  2        155.
 47  TERMORIO      21    0        0.000   6504  0  0  0        155.
 47  TERMORIO      22    0        0.000   9473  1  0  0        155.
 47  TERMORIO      23    0        0.000  16368  1  0  0        155.
 47  TERMORIO      24    0        0.000  19366  0  0  0        155.
 47  TERMORIO      25    0        0.000  19366  0  0  0        155.
 47  TERMORIO      26    0        0.000  19366  0  0  0        155.
 47  TERMORIO      27    0        0.000   4152  0  0  0        155.
 47  TERMORIO      28    0        0.000  19366  0  0  0        155.
 47  TERMORIO      29    0        0.000  19366  0  0  0        155.
 47  TERMORIO      30    0        0.000  19366  0  0  0        155.
 47  TERMORIO      31    0        0.000   8647  0  0  0        155.
 48  ARAUCARIA      1    0        0.000  17062  1  0  0          0.
 48  ARAUCARIA      2    0        0.000   4336  1  0  0          0.
 48  ARAUCARIA      3    0        0.000   5234  1  0  0          0.
 49  VIANA          3    0        0.000   2784  1  0  0          0.
 49  VIANA          4    0        0.000   2783  0  0  0          0.
 49  VIANA          1    0        0.000   4289  0  0  0          0.
 49  VIANA          2    0        0.000   2770  1  0  0          0.
 50  PIRAT.12 G     1    0        0.000  21644  0  0  0          0.
 50  PIRAT.12 G     2    0        0.000  21644  0  0  0          0.
 52  CAMPINA GDE    1    0        0.000   4344  0  0  0          0.
 52  CAMPINA GDE    2    0        0.000   4344  0  0  0          0.
 52  CAMPINA GDE    3    0        0.000   4344  0  0  0          0.
 52  CAMPINA GDE    4    0        0.000   4343  1  0  0          0.
 53  GLOBAL I       1    0        0.000   5683  0  0  0          0.
 53  GLOBAL I       2    0        0.000   5718  0  0  0          0.
 53  GLOBAL I       3    0        0.000   4827  0  0  0          0.
 53  GLOBAL I       4    0        0.000  17736  0  0  0          0.
 53  GLOBAL I       5    0        0.000   4788  1  0  0          0.
 53  GLOBAL I       6    0        0.000   5712  1  0  0          0.
 53  GLOBAL I       7    0        0.000   4419  1  0  0          0.
 53  GLOBAL I       8    0        0.000   4392  0  0  0          0.
 53  GLOBAL I       9    0        0.000   4800  1  0  0          0.
 53  GLOBAL I      10    0        0.000   4442  0  0  0          0.
 53  GLOBAL I      11    0        0.000   4342  1  0  0          0.
 54  JUIZ DE FORA   1    0        0.000   3672  0  0  0          0.
 54  JUIZ DE FORA   2    0        0.000   3671  1  0  0          0.
 55  GLOBAL II      1    0        0.000   4504  0  0  0          0.
 55  GLOBAL II      2    0        0.000   4407  0  0  0          0.
 55  GLOBAL II      3    0        0.000   4509  0  0  0          0.
 55  GLOBAL II      4    0        0.000   4826  0  0  0          0.
 55  GLOBAL II      5    0        0.000  17736  0  0  0          0.
 55  GLOBAL II      6    0        0.000  17736  0  0  0          0.
 55  GLOBAL II      7    0        0.000   4424  1  0  0          0.
 55  GLOBAL II      8    0        0.000   4495  1  0  0          0.
 55  GLOBAL II      9    0        0.000   4562  1  0  0          0.
 55  GLOBAL II     10    0        0.000   4400  0  0  0          0.
 55  GLOBAL II     11    0        0.000   4342  1  0  0          0.
 57  MARACANAU I    1    0        0.000   4343  1  0  0          0.
 57  MARACANAU I    2    0        0.000   5637  1  0  0          0.
 57  MARACANAU I    3    0        0.000   4343  1  0  0          0.
 57  MARACANAU I    4    0        0.000   4343  1  0  0          0.
 57  MARACANAU I    5    0        0.000   7991  1  0  0          0.
