& CONDICOES INICIAIS DAS UNIDADES                
&
UCTPAR 2
UCTERM 2
PINT
REGRANPTV     1
AVLCMO 1
CPLEXLOG
&
&Flags Inativos
&UCTBUSLOC
&UCTHEURFP   1 100
&CONSTDADOS 0
&AJUSTEFCF
&TOLERILH 1
&CROSSOVER 1
&ENGOLIMENTO 0                     
&                                                
INIT                                             
&us     nome       ug   st   GerInic     tempo MH A/D T  TITULINFLX
&XX XXXXXXXXXXXX  XXX   XX   XXXXXXXXXX  XXXXX  X  X  X  XXXXXXXXXX
  1  ANGRA 1        1    1      640.000   7200  0  0  2        640.
  4  ST.CRUZ 34     3    0        0.000  21812  0  0  0          0.
  4  ST.CRUZ 34     4    0        0.000  21812  0  0  0          0.
  9  R.SILVEIRA     1    0        0.000  21812  0  0  0          0.
  9  R.SILVEIRA     2    0        0.000  21812  0  0  0          0.
 12  CUIABA G CC    1    0        0.000   5160  0  0  0          0.
 12  CUIABA G CC    2    0        0.000   5664  0  0  0          0.
 12  CUIABA G CC    3    0        0.000   5688  0  0  0          0.
 13  ANGRA 2        1    1     1350.000    665  1  0  2       1350.
 15  LINHARES       1    0        0.000    370  1  0  0          0.
 15  LINHARES       2    0        0.000    370  1  0  0          0.
 15  LINHARES       3    0        0.000    370  1  0  0          0.
 15  LINHARES       4    0        0.000   1818  0  0  0          0.
 21  MARANHAO V     1    0        0.000   3839  0  0  0          0.
 24  J.LACERDA C    7    0        0.000    597  0  0  0          0.
 25  J.LACERDA B    5    0        0.000    811  1  0  0          0.
 25  J.LACERDA B    6    0        0.000    809  1  0  0          0.
 26  J.LACERDA A1   1    0        0.000   3815  0  0  0          0.
 26  J.LACERDA A1   2    0        0.000   3901  1  0  0          0.
 27  J.LACERDA A2   3    0        0.000    812  1  0  0          0.
 27  J.LACERDA A2   4    0        0.000   1150  1  0  0          0.
 28  FIGUEIRA       1    0        0.000  21812  0  0  0          0.
 28  FIGUEIRA       3    0        0.000  21812  0  0  0          0.
 35  URUGUAIANA     1    0        0.000  21812  0  0  0          0.
 35  URUGUAIANA     2    0        0.000  21812  0  0  0          0.
 35  URUGUAIANA     3    0        0.000  21812  0  0  0          0.
 36  MARANHAO IV    1    0        0.000   3839  1  0  0          0.
 42  FORTALEZA      1    0        0.000  20305  0  0  0          0.
 42  FORTALEZA      2    0        0.000  20305  0  0  0          0.
 42  FORTALEZA      3    0        0.000   6936  0  0  0          0.
 43  TERMOBAHIA     1    1      100.000    530  0  0  2        100.
 46  N.VENECIA 2    1    0        0.000   3839  1  0  0          0.
 47  TERMORIO       1    0        0.000    552  0  0  0          0.
 47  TERMORIO       2    0        0.000   1238  1  0  0          0.
 47  TERMORIO       3    0        0.000   6576  0  0  0          0.
 47  TERMORIO       4    0        0.000   5698  0  0  0          0.
 47  TERMORIO       5    0        0.000  19534  0  0  0          0.
 47  TERMORIO       6    0        0.000   3758  0  0  0          0.
 47  TERMORIO       7    0        0.000   4926  1  0  0          0.
 47  TERMORIO       8    0        0.000   4104  0  0  0          0.
 47  TERMORIO       9    0        0.000   4824  0  0  0          0.
 47  TERMORIO      10    0        0.000  19534  0  0  0          0.
 47  TERMORIO      11    0        0.000   4200  1  0  0          0.
 47  TERMORIO      12    0        0.000   1742  0  0  0          0.
 47  TERMORIO      13    0        0.000   4824  0  0  0          0.
 47  TERMORIO      14    0        0.000   4560  0  0  0          0.
 47  TERMORIO      15    0        0.000   1825  0  0  0          0.
 47  TERMORIO      16    0        0.000   3840  0  0  0          0.
 47  TERMORIO      17    0        0.000   1582  1  0  0          0.
 47  TERMORIO      18    0        0.000    634  0  0  0          0.
& Ajustado conforme declaração de inflexibilidade do agente
 47  TERMORIO      19    1      155.000      0  0  0  0          0.
 47  TERMORIO      20    0        0.000    142  1  0  0          0.
 47  TERMORIO      21    0        0.000   6672  0  0  0          0.
 47  TERMORIO      22    0        0.000   9641  1  0  0          0.
 47  TERMORIO      23    0        0.000  16536  1  0  0          0.
 47  TERMORIO      24    0        0.000  19534  0  0  0          0.
 47  TERMORIO      25    0        0.000  19534  0  0  0          0.
 47  TERMORIO      26    0        0.000  19534  0  0  0          0.
 47  TERMORIO      27    0        0.000   4320  0  0  0          0.
 47  TERMORIO      28    0        0.000  19534  0  0  0          0.
 47  TERMORIO      29    0        0.000  19534  0  0  0          0.
 47  TERMORIO      30    0        0.000  19534  0  0  0          0.
 47  TERMORIO      31    0        0.000   8815  0  0  0          0.
 48  ARAUCARIA      1    0        0.000  17230  1  0  0          0.
 48  ARAUCARIA      2    0        0.000   4504  1  0  0          0.
 48  ARAUCARIA      3    0        0.000   5402  1  0  0          0.
 49  VIANA          3    0        0.000   2952  1  0  0          0.
 49  VIANA          4    0        0.000   2951  0  0  0          0.
 49  VIANA          1    0        0.000   4457  0  0  0          0.
 49  VIANA          2    0        0.000   2938  1  0  0          0.
 50  PIRAT.12 G     1    0        0.000  21812  0  0  0          0.
 50  PIRAT.12 G     2    0        0.000  21812  0  0  0          0.
 52  CAMPINA GDE    1    0        0.000   4512  0  0  0          0.
 52  CAMPINA GDE    2    0        0.000   4512  0  0  0          0.
 52  CAMPINA GDE    3    0        0.000   4512  0  0  0          0.
 52  CAMPINA GDE    4    0        0.000   4511  1  0  0          0.
 53  GLOBAL I       1    0        0.000   5851  0  0  0          0.
 53  GLOBAL I       2    0        0.000   5886  0  0  0          0.
 53  GLOBAL I       3    0        0.000   4995  0  0  0          0.
 53  GLOBAL I       4    0        0.000  17904  0  0  0          0.
 53  GLOBAL I       5    0        0.000   4956  1  0  0          0.
 53  GLOBAL I       6    0        0.000   5880  1  0  0          0.
 53  GLOBAL I       7    0        0.000   4587  1  0  0          0.
 53  GLOBAL I       8    0        0.000   4560  0  0  0          0.
 53  GLOBAL I       9    0        0.000   4968  1  0  0          0.
 53  GLOBAL I      10    0        0.000   4610  0  0  0          0.
 53  GLOBAL I      11    0        0.000   4510  1  0  0          0.
 54  JUIZ DE FORA   1    0        0.000   3840  0  0  0          0.
 54  JUIZ DE FORA   2    0        0.000   3839  1  0  0          0.
 55  GLOBAL II      1    0        0.000   4672  0  0  0          0.
 55  GLOBAL II      2    0        0.000   4575  0  0  0          0.
 55  GLOBAL II      3    0        0.000   4677  0  0  0          0.
 55  GLOBAL II      4    0        0.000   4994  0  0  0          0.
 55  GLOBAL II      5    0        0.000  17904  0  0  0          0.
 55  GLOBAL II      6    0        0.000  17904  0  0  0          0.
 55  GLOBAL II      7    0        0.000   4592  1  0  0          0.
 55  GLOBAL II      8    0        0.000   4663  1  0  0          0.
 55  GLOBAL II      9    0        0.000   4730  1  0  0          0.
 55  GLOBAL II     10    0        0.000   4568  0  0  0          0.
 55  GLOBAL II     11    0        0.000   4510  1  0  0          0.
 57  MARACANAU I    1    0        0.000   4511  1  0  0          0.
 57  MARACANAU I    2    0        0.000   5805  1  0  0          0.
 57  MARACANAU I    3    0        0.000   4511  1  0  0          0.
 57  MARACANAU I    4    0        0.000   4511  1  0  0          0.
 57  MARACANAU I    5    0        0.000   8159  1  0  0          0.
 57  MARACANAU I    6    0        0.000   4694  0  0  0          0.
 57  MARACANAU I    7    0        0.000   4804  0  0  0          0.
 57  MARACANAU I    8    0        0.000   4551  0  0  0          0.
 58  TERMOCEARA     1    0        0.000  10290  0  0  0          0.
 58  TERMOCEARA     2    0        0.000  10247  0  0  0          0.
 58  TERMOCEARA     3    0        0.000  10254  1  0  0          0.
 58  TERMOCEARA     4    0        0.000  18816  1  0  0          0.
 58  TERMOCEARA     5    0        0.000   2592  0  0  0          0.
 58  TERMOCEARA     6    0        0.000   2592  0  0  0          0.
 58  TERMOCEARA     7    0        0.000   2592  0  0  0          0.
 58  TERMOCEARA     8    0        0.000   2592  0  0  0          0.
 58  TERMOCEARA     9    0        0.000   2592  0  0  0          0.
 58  TERMOCEARA    10    0        0.000   2592  0  0  0          0.
 58  TERMOCEARA    11    0        0.000   2592  0  0  0          0.
 58  TERMOCEARA    12    0        0.000   2592  0  0  0          0.
 58  TERMOCEARA    13    0        0.000   2592  0  0  0          0.
 58  TERMOCEARA    14    0        0.000   2592  0  0  0          0.
 58  TERMOCEARA    15    0        0.000   2592  0  0  0          0.
 60  NORTEFLU       1    0        0.000  25071  0  0  0          0.
 60  NORTEFLU       2    0        0.000  25071  0  0  0          0.
 60  NORTEFLU       3    0        0.000  25071  0  0  0          0.
 60  NORTEFLU       4    0        0.000   1721  0  0  0          0.
 60  NORTEFLU       5    0        0.000   1889  0  0  0          0.
 60  NORTEFLU       6    0        0.000   2784  0  0  0          0.
 60  NORTEFLU       7    0        0.000   2494  0  0  0          0.
 62  SEROPEDICA     1    0        0.000   3363  0  0  0          0.
 62  SEROPEDICA     2    0        0.000   1824  0  0  0          0.
 62  SEROPEDICA     3    0        0.000   1279  0  0  0          0.
 62  SEROPEDICA     4    0        0.000   1285  1  0  0          0.
 62  SEROPEDICA     5    0        0.000   1817  1  0  0          0.
 62  SEROPEDICA     6    0        0.000   3792  1  0  0          0.
 62  SEROPEDICA     7    0        0.000   3962  0  0  0          0.
 62  SEROPEDICA     8    0        0.000   3840  0  0  0          0.
 63  IBIRITE        1    0        0.000   4800  0  0  0          0.
 64  CANOAS         1    0        0.000   4174  1  0  0          0.
 67  TERMONE        1    0        0.000   1813  1  0  0          0.
 67  TERMONE        2    0        0.000   1818  0  0  0          0.
 67  TERMONE        3    0        0.000   2740  1  0  0          0.
 68  TRES LAGOAS    1    0        0.000   4623  0  0  0          0.
 68  TRES LAGOAS    2    0        0.000  16775  0  0  0          0.
 68  TRES LAGOAS    3    0        0.000  21480  0  0  0          0.
 68  TRES LAGOAS    4    0        0.000   6468  0  0  0          0.
