& CONDICOES INICIAIS DAS UNIDADES                
&
UCTPAR 2
UCTERM 2
PINT
REGRANPTV     1
AVLCMO 1
CPLEXLOG
&
&Flags Inativos
&UCTBUSLOC
&UCTHEURFP   1 100
&CONSTDADOS 0
&AJUSTEFCF
&TOLERILH 1
&CROSSOVER 1
&ENGOLIMENTO 0
&
INIT                                             
&us     nome       ug   st   GerInic     tempo MH A/D T  TITULINFLX
&XX XXXXXXXXXXXX  XXX   XX   XXXXXXXXXX  XXXXX  X  X  X  XXXXXXXXXX
  1  ANGRA 1        1    1      640.000   7368  0  0  2        640.
  4  ST.CRUZ 34     3    0        0.000  21980  0  0  0          0.
  4  ST.CRUZ 34     4    0        0.000  21980  0  0  0          0.
  9  R.SILVEIRA     1    0        0.000  21980  0  0  0          0.
  9  R.SILVEIRA     2    0        0.000  21980  0  0  0          0.
 12  CUIABA G CC    1    0        0.000   5328  0  0  0          0.
 12  CUIABA G CC    2    0        0.000   5832  0  0  0          0.
 12  CUIABA G CC    3    0        0.000   5856  0  0  0          0.
 13  ANGRA 2        1    1     1350.000    833  1  0  2       1350.
 15  LINHARES       1    0        0.000    538  1  0  0          0.
 15  LINHARES       2    0        0.000    538  1  0  0          0.
 15  LINHARES       3    0        0.000    538  1  0  0          0.
 15  LINHARES       4    0        0.000   1986  0  0  0          0.
 21  MARANHAO V     1    0        0.000   4007  0  0  0          0.
 24  J.LACERDA C    7    0        0.000    765  0  0  0          0.
 25  J.LACERDA B    5    0        0.000    979  1  0  0          0.
 25  J.LACERDA B    6    0        0.000    977  1  0  0          0.
 26  J.LACERDA A1   1    0        0.000   3983  0  0  0          0.
 26  J.LACERDA A1   2    0        0.000   4069  1  0  0          0.
 27  J.LACERDA A2   3    0        0.000    980  1  0  0          0.
 27  J.LACERDA A2   4    0        0.000   1318  1  0  0          0.
 28  FIGUEIRA       1    0        0.000  21980  0  0  0          0.
 28  FIGUEIRA       3    0        0.000  21980  0  0  0          0.
 35  URUGUAIANA     1    0        0.000  21980  0  0  0          0.
 35  URUGUAIANA     2    0        0.000  21980  0  0  0          0.
 35  URUGUAIANA     3    0        0.000  21980  0  0  0          0.
 36  MARANHAO IV    1    0        0.000   4007  1  0  0          0.
 42  FORTALEZA      1    0        0.000  20473  0  0  0          0.
 42  FORTALEZA      2    0        0.000  20473  0  0  0          0.
 42  FORTALEZA      3    0        0.000   7104  0  0  0          0.
 43  TERMOBAHIA     1    1      110.000    698  0  0  2        110.
 46  N.VENECIA 2    1    0        0.000   4007  1  0  0          0.
 47  TERMORIO       1    0        0.000    720  0  0  0          0.
 47  TERMORIO       2    0        0.000   1406  1  0  0          0.
 47  TERMORIO       3    0        0.000   6744  0  0  0          0.
 47  TERMORIO       4    0        0.000   5866  0  0  0          0.
 47  TERMORIO       5    0        0.000  19702  0  0  0          0.
 47  TERMORIO       6    0        0.000     38  0  0  0          0.
 47  TERMORIO       7    0        0.000   5094  1  0  0          0.
 47  TERMORIO       8    0        0.000   4272  0  0  0          0.
 47  TERMORIO       9    0        0.000   4992  0  0  0          0.
 47  TERMORIO      10    0        0.000  19702  0  0  0          0.
 47  TERMORIO      11    0        0.000   4368  1  0  0          0.
 47  TERMORIO      12    0        0.000   1910  0  0  0          0.
 47  TERMORIO      13    0        0.000   4992  0  0  0          0.
