& CONDICOES INICIAIS DAS UNIDADES                
&                                                
UCTPAR 2
UCTERM 2
PINT
REGRANPTV     1
AVLCMO 1
CPLEXLOG
&
&Flags Inativos
&UCTBUSLOC
&UCTHEURFP   1 100
&CONSTDADOS 0
&AJUSTEFCF
&TOLERILH 1
&CROSSOVER 1
&ENGOLIMENTO 0
&                                               
&                                                
INIT                                             
&us     nome       ug   st   GerInic     tempo MH A/D T  TITULINFLX
&XX XXXXXXXXXXXX  XXX   XX   XXXXXXXXXX  XXXXX  X  X  X  XXXXXXXXXX
  1  ANGRA 1        1    1      640.000   8712  0  0  1        640.
  4  ST.CRUZ 34     3    0        0.000  23324  0  0  0          0.
  4  ST.CRUZ 34     4    0        0.000  23324  0  0  0          0.
  9  R.SILVEIRA     1    0        0.000  23324  0  0  0          0.
  9  R.SILVEIRA     2    0        0.000  23324  0  0  0          0.
 12  CUIABA G CC    1    0        0.000   6672  0  0  0          0.
 12  CUIABA G CC    2    0        0.000   7176  0  0  0          0.
 12  CUIABA G CC    3    0        0.000   7200  0  0  0          0.
 13  ANGRA 2        1    1     1350.000   2177  1  0  1       1350.
 15  LINHARES       1    0        0.000   1882  1  0  0          0.
 15  LINHARES       2    0        0.000   1882  1  0  0          0.
 15  LINHARES       3    0        0.000   1882  1  0  0          0.
 15  LINHARES       4    0        0.000   3330  0  0  0          0.
 21  MARANHAO V     1    0        0.000   5351  0  0  0          0.
 24  J.LACERDA C    7    0        0.000   2109  0  0  0          0.
 25  J.LACERDA B    5    0        0.000     47  0  0  0          0.
 25  J.LACERDA B    6    0        0.000     71  0  0  0          0.
 26  J.LACERDA A1   1    0        0.000   5327  0  0  0          0.
 26  J.LACERDA A1   2    0        0.000   5413  1  0  0          0.
 27  J.LACERDA A2   3    0        0.000   2324  1  0  0          0.
 27  J.LACERDA A2   4    0        0.000   2662  1  0  0          0.
 28  FIGUEIRA       1    0        0.000  23324  0  0  0          0.
 28  FIGUEIRA       3    0        0.000  23324  0  0  0          0.
 35  URUGUAIANA     1    0        0.000  23324  0  0  0          0.
 35  URUGUAIANA     2    0        0.000  23324  0  0  0          0.
 35  URUGUAIANA     3    0        0.000  23324  0  0  0          0.
 36  MARANHAO IV    1    0        0.000   5351  1  0  0          0.
 42  FORTALEZA      1    0        0.000  21817  0  0  0          0.
 42  FORTALEZA      2    0        0.000  21817  0  0  0          0.
 42  FORTALEZA      3    0        0.000   8448  0  0  0          0.
 43  TERMOBAHIA     1    1      110.000    288  0  0  2        110.
 46  N.VENECIA 2    1    0        0.000   5351  1  0  0          0.
 47  TERMORIO       1    0        0.000   2064  0  0  0          0.
 47  TERMORIO       2    0        0.000   2750  1  0  0          0.
 47  TERMORIO       3    0        0.000   8088  0  0  0          0.
 47  TERMORIO       4    0        0.000   7210  0  0  0          0.
 47  TERMORIO       5    0        0.000  21046  0  0  0          0.
 47  TERMORIO       6    0        0.000   1382  0  0  0          0.
 47  TERMORIO       7    0        0.000   6438  1  0  0          0.
 47  TERMORIO       8    0        0.000   5616  0  0  0          0.
 47  TERMORIO       9    0        0.000   6336  0  0  0          0.
 47  TERMORIO      10    0        0.000  21046  0  0  0          0.
 47  TERMORIO      11    0        0.000   5712  1  0  0          0.
 47  TERMORIO      12    0        0.000   3254  0  0  0          0.
 47  TERMORIO      13    0        0.000   6336  0  0  0          0.
 47  TERMORIO      14    0        0.000   6072  0  0  0          0.
 47  TERMORIO      15    0        0.000   3337  0  0  0          0.
 47  TERMORIO      16    0        0.000   5352  0  0  0          0.
 47  TERMORIO      17    0        0.000    790  1  0  0          0.
 47  TERMORIO      18    0        0.000   1464  0  0  0          0.
 47  TERMORIO      19    0        0.000   1512  0  0  0          0.
 47  TERMORIO      20    0        0.000   1654  1  0  0          0.
 47  TERMORIO      21    0        0.000   8184  0  0  0          0.
 47  TERMORIO      22    0        0.000  11153  1  0  0          0.
 47  TERMORIO      23    0        0.000  18048  1  0  0          0.
 47  TERMORIO      24    0        0.000  21046  0  0  0          0.
 47  TERMORIO      25    0        0.000  21046  0  0  0          0.
 47  TERMORIO      26    0        0.000  21046  0  0  0          0.
 47  TERMORIO      27    0        0.000   5832  0  0  0          0.
 47  TERMORIO      28    0        0.000  21046  0  0  0          0.
 47  TERMORIO      29    0        0.000  21046  0  0  0          0.
 47  TERMORIO      30    0        0.000  21046  0  0  0          0.
 47  TERMORIO      31    0        0.000  10327  0  0  0          0.
 48  ARAUCARIA      1    0        0.000  18742  1  0  0          0.
 48  ARAUCARIA      2    0        0.000   6016  1  0  0          0.
 48  ARAUCARIA      3    0        0.000   6914  1  0  0          0.
 49  VIANA          3    0        0.000   4464  1  0  0          0.
 49  VIANA          4    0        0.000   4463  0  0  0          0.
 49  VIANA          1    0        0.000   5969  0  0  0          0.
 49  VIANA          2    0        0.000   4450  1  0  0          0.
 50  PIRAT.12 G     1    0        0.000  23324  0  0  0          0.
 50  PIRAT.12 G     2    0        0.000  23324  0  0  0          0.
 52  CAMPINA GDE    1    0        0.000   6024  0  0  0          0.
 52  CAMPINA GDE    2    0        0.000   6024  0  0  0          0.
 52  CAMPINA GDE    3    0        0.000   6024  0  0  0          0.
 52  CAMPINA GDE    4    0        0.000   6023  1  0  0          0.
 53  GLOBAL I       1    0        0.000   7363  0  0  0          0.
 53  GLOBAL I       2    0        0.000   7398  0  0  0          0.
 53  GLOBAL I       3    0        0.000   6507  0  0  0          0.
 53  GLOBAL I       4    0        0.000  19416  0  0  0          0.
 53  GLOBAL I       5    0        0.000   6468  1  0  0          0.
 53  GLOBAL I       6    0        0.000   7392  1  0  0          0.
 53  GLOBAL I       7    0        0.000   6099  1  0  0          0.
 53  GLOBAL I       8    0        0.000   6072  0  0  0          0.
 53  GLOBAL I       9    0        0.000   6480  1  0  0          0.
 53  GLOBAL I      10    0        0.000   6122  0  0  0          0.
 53  GLOBAL I      11    0        0.000   6022  1  0  0          0.
 54  JUIZ DE FORA   1    0        0.000   5352  0  0  0          0.
 54  JUIZ DE FORA   2    0        0.000   5351  1  0  0          0.
 55  GLOBAL II      1    0        0.000   6184  0  0  0          0.
 55  GLOBAL II      2    0        0.000   6087  0  0  0          0.
 55  GLOBAL II      3    0        0.000   6189  0  0  0          0.
 55  GLOBAL II      4    0        0.000   6506  0  0  0          0.
 55  GLOBAL II      5    0        0.000  19416  0  0  0          0.
 55  GLOBAL II      6    0        0.000  19416  0  0  0          0.
 55  GLOBAL II      7    0        0.000   6104  1  0  0          0.
 55  GLOBAL II      8    0        0.000   6175  1  0  0          0.
 55  GLOBAL II      9    0        0.000   6242  1  0  0          0.
 55  GLOBAL II     10    0        0.000   6080  0  0  0          0.
 55  GLOBAL II     11    0        0.000   6022  1  0  0          0.
 57  MARACANAU I    1    0        0.000   6023  1  0  0          0.
 57  MARACANAU I    2    0        0.000   7317  1  0  0          0.
 57  MARACANAU I    3    0        0.000   6023  1  0  0          0.
 57  MARACANAU I    4    0        0.000   6023  1  0  0          0.
 57  MARACANAU I    5    0        0.000   9671  1  0  0          0.
 57  MARACANAU I    6    0        0.000   6206  0  0  0          0.
 57  MARACANAU I    7    0        0.000   6316  0  0  0          0.
 57  MARACANAU I    8    0        0.000   6063  0  0  0          0.
 58  TERMOCEARA     1    0        0.000  11802  0  0  0          0.
 58  TERMOCEARA     2    0        0.000  11759  0  0  0          0.
 58  TERMOCEARA     3    0        0.000  11766  1  0  0          0.
 58  TERMOCEARA     4    0        0.000  20328  1  0  0          0.
 58  TERMOCEARA     5    0        0.000   4104  0  0  0          0.
 58  TERMOCEARA     6    0        0.000   4104  0  0  0          0.
 58  TERMOCEARA     7    0        0.000   4104  0  0  0          0.
 58  TERMOCEARA     8    0        0.000   4104  0  0  0          0.
 58  TERMOCEARA     9    0        0.000   4104  0  0  0          0.
 58  TERMOCEARA    10    0        0.000   4104  0  0  0          0.
 58  TERMOCEARA    11    0        0.000   4104  0  0  0          0.
 58  TERMOCEARA    12    0        0.000   4104  0  0  0          0.
 58  TERMOCEARA    13    0        0.000   4104  0  0  0          0.
 58  TERMOCEARA    14    0        0.000   4104  0  0  0          0.
 58  TERMOCEARA    15    0        0.000   4104  0  0  0          0.
 60  NORTEFLU       1    0        0.000  26583  0  0  0          0.
 60  NORTEFLU       2    0        0.000  26583  0  0  0          0.
 60  NORTEFLU       3    0        0.000  26583  0  0  0          0.
 60  NORTEFLU       4    0        0.000   3233  0  0  0          0.
 60  NORTEFLU       5    0        0.000   3401  0  0  0          0.
 60  NORTEFLU       6    0        0.000   4296  0  0  0          0.
 60  NORTEFLU       7    0        0.000   4006  0  0  0          0.
 62  SEROPEDICA     1    0        0.000   4875  0  0  0          0.
 62  SEROPEDICA     2    0        0.000   3336  0  0  0          0.
 62  SEROPEDICA     3    0        0.000   2791  0  0  0          0.
 62  SEROPEDICA     4    0        0.000   2797  1  0  0          0.
 62  SEROPEDICA     5    0        0.000   3329  1  0  0          0.
 62  SEROPEDICA     6    0        0.000   5304  1  0  0          0.
 62  SEROPEDICA     7    0        0.000   1446  1  0  0          0.
 62  SEROPEDICA     8    0        0.000   1458  0  0  0          0.
 63  IBIRITE        1    0        0.000   6312  0  0  0          0.
 64  CANOAS         1    0        0.000   5686  1  0  0          0.
 67  TERMONE        1    0        0.000   3325  1  0  0          0.
 67  TERMONE        2    0        0.000    295  1  0  0          0.
 67  TERMONE        3    0        0.000    278  1  0  0          0.
 68  TRES LAGOAS    1    0        0.000   6135  0  0  0          0.
 68  TRES LAGOAS    2    0        0.000  18287  0  0  0          0.
 68  TRES LAGOAS    3    0        0.000  22992  0  0  0          0.
 68  TRES LAGOAS    4    0        0.000   7980  0  0  0          0.
 68  TRES LAGOAS    5    0        0.000  20952  1  0  0          0.
 68  TRES LAGOAS    6    0        0.000  12115  1  0  0          0.
 68  TRES LAGOAS    7    0        0.000   5368  1  0  0          0.
 68  TRES LAGOAS    8    0        0.000  13968  0  0  0          0.
 68  TRES LAGOAS    9    0        0.000   5283  1  0  0          0.
 68  TRES LAGOAS   10    0        0.000  13830  0  0  0          0.
 68  TRES LAGOAS   11    0        0.000  13920  0  0  0          0.
 68  TRES LAGOAS   12    0        0.000  20928  0  0  0          0.
 68  TRES LAGOAS   13    0        0.000   5688  0  0  0          0.
 68  TRES LAGOAS   14    0        0.000  13608  0  0  0          0.
 68  TRES LAGOAS   15    0        0.000  12406  1  0  0          0.
 69  TERMOPB        1    0        0.000   5155  1  0  0          0.
 69  TERMOPB        2    0        0.000   3499  0  0  0          0.
