& CONDICOES INICIAIS DAS UNIDADES                
&                                                
UCTPAR 2
UCTERM 2
PINT
REGRANPTV     1
AVLCMO 1
CPLEXLOG
&
&Flags Inativos
&UCTBUSLOC
&UCTHEURFP   1 100
&CONSTDADOS 0
&AJUSTEFCF
&TOLERILH 1
&CROSSOVER 1
&ENGOLIMENTO 0
&                  
&                                                
INIT                                             
&us     nome       ug   st   GerInic     tempo MH A/D T  TITULINFLX
&XX XXXXXXXXXXXX  XXX   XX   XXXXXXXXXX  XXXXX  X  X  X  XXXXXXXXXX
  1  ANGRA 1        1    1      640.000   8880  0  0  1        640.
  4  ST.CRUZ 34     3    0        0.000  23492  0  0  0          0.
  4  ST.CRUZ 34     4    0        0.000  23492  0  0  0          0.
  9  R.SILVEIRA     1    0        0.000  23492  0  0  0          0.
  9  R.SILVEIRA     2    0        0.000  23492  0  0  0          0.
 12  CUIABA G CC    1    0        0.000   6840  0  0  0        351.
 12  CUIABA G CC    2    0        0.000   7344  0  0  0        351.
 12  CUIABA G CC    3    1      351.000    168  0  0  2        351.
 13  ANGRA 2        1    1     1350.000   2345  1  0  1       1350.
 15  LINHARES       1    0        0.000   2050  1  0  0          0.
 15  LINHARES       2    0        0.000   2050  1  0  0          0.
 15  LINHARES       3    0        0.000   2050  1  0  0          0.
 15  LINHARES       4    0        0.000   3498  0  0  0          0.
 21  MARANHAO V     1    0        0.000   5519  0  0  0          0.
 24  J.LACERDA C    7    0        0.000   2277  0  0  0          0.
 25  J.LACERDA B    5    0        0.000    215  0  0  0          0.
 25  J.LACERDA B    6    0        0.000    239  0  0  0          0.
 26  J.LACERDA A1   1    0        0.000   5495  0  0  0          0.
 26  J.LACERDA A1   2    0        0.000   5581  1  0  0          0.
 27  J.LACERDA A2   3    0        0.000   2492  1  0  0          0.
 27  J.LACERDA A2   4    0        0.000   2830  1  0  0          0.
 28  FIGUEIRA       1    0        0.000  23492  0  0  0          0.
 28  FIGUEIRA       3    0        0.000  23492  0  0  0          0.
 35  URUGUAIANA     1    0        0.000  23492  0  0  0          0.
 35  URUGUAIANA     2    0        0.000  23492  0  0  0          0.
 35  URUGUAIANA     3    0        0.000  23492  0  0  0          0.
 36  MARANHAO IV    1    0        0.000   5519  1  0  0          0.
 42  FORTALEZA      1    0        0.000  21985  0  0  0          0.
 42  FORTALEZA      2    0        0.000  21985  0  0  0          0.
 42  FORTALEZA      3    0        0.000   8616  0  0  0          0.
 43  TERMOBAHIA     1    1      158.000    456  0  0  2        158.
 46  N.VENECIA 2    1    0        0.000   5519  1  0  0          0.
 47  TERMORIO       1    0        0.000   2232  0  0  0          0.
 47  TERMORIO       2    0        0.000   2918  1  0  0          0.
 47  TERMORIO       3    0        0.000   8256  0  0  0          0.
 47  TERMORIO       4    0        0.000   7378  0  0  0          0.
 47  TERMORIO       5    0        0.000  21214  0  0  0          0.
 47  TERMORIO       6    0        0.000   1550  0  0  0          0.
 47  TERMORIO       7    0        0.000   6606  1  0  0          0.
 47  TERMORIO       8    0        0.000   5784  0  0  0          0.
 47  TERMORIO       9    0        0.000   6504  0  0  0          0.
 47  TERMORIO      10    0        0.000  21214  0  0  0          0.
 47  TERMORIO      11    0        0.000   5880  1  0  0          0.
 47  TERMORIO      12    0        0.000   3422  0  0  0          0.
 47  TERMORIO      13    0        0.000   6504  0  0  0          0.
 47  TERMORIO      14    0        0.000   6240  0  0  0          0.
 47  TERMORIO      15    0        0.000   3505  0  0  0          0.
 47  TERMORIO      16    0        0.000   5520  0  0  0          0.
 47  TERMORIO      17    0        0.000    958  1  0  0          0.
 47  TERMORIO      18    0        0.000   1632  0  0  0          0.
 47  TERMORIO      19    0        0.000   1680  0  0  0          0.
 47  TERMORIO      20    0        0.000   1822  1  0  0          0.
 47  TERMORIO      21    0        0.000   8352  0  0  0          0.
 47  TERMORIO      22    0        0.000  11321  1  0  0          0.
 47  TERMORIO      23    0        0.000  18216  1  0  0          0.
 47  TERMORIO      24    0        0.000  21214  0  0  0          0.
 47  TERMORIO      25    0        0.000  21214  0  0  0          0.
 47  TERMORIO      26    0        0.000  21214  0  0  0          0.
 47  TERMORIO      27    0        0.000   6000  0  0  0          0.
 47  TERMORIO      28    0        0.000  21214  0  0  0          0.
 47  TERMORIO      29    0        0.000  21214  0  0  0          0.
 47  TERMORIO      30    0        0.000  21214  0  0  0          0.
 47  TERMORIO      31    0        0.000  10495  0  0  0          0.
 48  ARAUCARIA      1    0        0.000  18910  1  0  0          0.
 48  ARAUCARIA      2    0        0.000   6184  1  0  0          0.
 48  ARAUCARIA      3    0        0.000   7082  1  0  0          0.
 49  VIANA          3    0        0.000   4632  1  0  0          0.
 49  VIANA          4    0        0.000   4631  0  0  0          0.
 49  VIANA          1    0        0.000   6137  0  0  0          0.
 49  VIANA          2    0        0.000   4618  1  0  0          0.
 50  PIRAT.12 G     1    0        0.000  23492  0  0  0          0.
 50  PIRAT.12 G     2    0        0.000  23492  0  0  0          0.
 52  CAMPINA GDE    1    0        0.000   6192  0  0  0          0.
 52  CAMPINA GDE    2    0        0.000   6192  0  0  0          0.
 52  CAMPINA GDE    3    0        0.000   6192  0  0  0          0.
 52  CAMPINA GDE    4    0        0.000   6191  1  0  0          0.
 53  GLOBAL I       1    0        0.000   7531  0  0  0          0.
 53  GLOBAL I       2    0        0.000   7566  0  0  0          0.
 53  GLOBAL I       3    0        0.000   6675  0  0  0          0.
 53  GLOBAL I       4    0        0.000  19584  0  0  0          0.
 53  GLOBAL I       5    0        0.000   6636  1  0  0          0.
 53  GLOBAL I       6    0        0.000   7560  1  0  0          0.
 53  GLOBAL I       7    0        0.000   6267  1  0  0          0.
 53  GLOBAL I       8    0        0.000   6240  0  0  0          0.
 53  GLOBAL I       9    0        0.000   6648  1  0  0          0.
 53  GLOBAL I      10    0        0.000   6290  0  0  0          0.
 53  GLOBAL I      11    0        0.000   6190  1  0  0          0.
 54  JUIZ DE FORA   1    0        0.000   5520  0  0  0          0.
 54  JUIZ DE FORA   2    0        0.000   5519  1  0  0          0.
 55  GLOBAL II      1    0        0.000   6352  0  0  0          0.
 55  GLOBAL II      2    0        0.000   6255  0  0  0          0.
 55  GLOBAL II      3    0        0.000   6357  0  0  0          0.
 55  GLOBAL II      4    0        0.000   6674  0  0  0          0.
 55  GLOBAL II      5    0        0.000  19584  0  0  0          0.
 55  GLOBAL II      6    0        0.000  19584  0  0  0          0.
 55  GLOBAL II      7    0        0.000   6272  1  0  0          0.
 55  GLOBAL II      8    0        0.000   6343  1  0  0          0.
 55  GLOBAL II      9    0        0.000   6410  1  0  0          0.
 55  GLOBAL II     10    0        0.000   6248  0  0  0          0.
 55  GLOBAL II     11    0        0.000   6190  1  0  0          0.
 57  MARACANAU I    1    0        0.000   6191  1  0  0          0.
 57  MARACANAU I    2    0        0.000   7485  1  0  0          0.
 57  MARACANAU I    3    0        0.000   6191  1  0  0          0.
