& CONDICOES INICIAIS DAS UNIDADES                
&
&Flags Ativos
UCTPAR 2
UCTERM 2
PINT
REGRANPTV     1
AVLCMO 1
&
&Flags Inativos
&UCTBUSLOC
&UCTHEURFP   1 100
&CONSTDADOS 0
&AJUSTEFCF
&TOLERILH 1
&CROSSOVER 1
&ENGOLIMENTO 0                
&                                               
INIT                                             
&us     nome       ug   st   GerInic     tempo MH A/D
&XX XXXXXXXXXXXX  XXX   XX   XXXXXXXXXX  XXXXX  X  X 
  1  ANGRA 1        1    1       640.00    480  0  0
  4  ST.CRUZ 34     3    0         0.00  15092  0  0
  4  ST.CRUZ 34     4    0         0.00  15092  0  0
  9  R.SILVEIRA     1    0         0.00  15092  0  0
  9  R.SILVEIRA     2    0         0.00  15092  0  0
 12  CUIABA G CC    1    0         0.00   4176  1  0
 12  CUIABA G CC    2    0         0.00   4176  1  0
 12  CUIABA G CC    3    0         0.00   4176  1  0
 13  ANGRA 2        1    0         0.00    121  0  0
 15  LINHARES       1    1        43.00   1618  0  0
 15  LINHARES       2    1        51.00   1618  0  0
 15  LINHARES       3    1        51.00   1618  0  0
 15  LINHARES       4    1        51.00   1618  0  0
 21  MARANHAO V     1    1       337.60    576  1  0
 24  J.LACERDA C    7    0         0.00   1394  0  0
 25  J.LACERDA B    5    1       131.00    408  0  0
 25  J.LACERDA B    6    1       131.00    608  1  0
 26  J.LACERDA A1   1    0         0.00     24  1  0
 26  J.LACERDA A1   2    0         0.00    162  0  0
 27  J.LACERDA A2   3    1        66.00    713  1  0
 27  J.LACERDA A2   4    1        66.00    716  1  0
 28  FIGUEIRA       1    0         0.00  15092  0  0
 28  FIGUEIRA       3    0         0.00  15092  0  0
 35  URUGUAIANA     1    0         0.00  15092  0  0
 35  URUGUAIANA     2    0         0.00  15092  0  0
 35  URUGUAIANA     3    0         0.00  15092  0  0
 36  MARANHAO IV    1    1       337.60    744  0  0
 42  FORTALEZA      1    0         0.00  13585  0  0
 42  FORTALEZA      2    0         0.00  13585  0  0
 42  FORTALEZA      3    0         0.00    216  0  0
 43  TERMOBAHIA     1    0         0.00   4545  0  0
 46  N.VENECIA 2    1    1       178.00    429  0  0
 47  TERMORIO       1    0         0.00   4006  1  0
 47  TERMORIO       2    0         0.00   5230  1  0
 47  TERMORIO       3    0         0.00  12814  0  0
 47  TERMORIO       4    0         0.00  12814  0  0
 47  TERMORIO       5    0         0.00  12814  0  0
 47  TERMORIO       6    0         0.00   3624  0  0
 47  TERMORIO       7    0         0.00   3504  0  0
 47  TERMORIO       8    0         0.00  12814  0  0
 47  TERMORIO       9    0         0.00   4510  0  0
 47  TERMORIO      10    0         0.00  12814  0  0
 47  TERMORIO      11    0         0.00   3552  0  0
 47  TERMORIO      12    0         0.00   4091  1  0
 47  TERMORIO      13    0         0.00   3508  0  0
 47  TERMORIO      14    0         0.00   4680  0  0
 47  TERMORIO      15    0         0.00   4682  0  0
 47  TERMORIO      16    0         0.00  11244  0  0
 47  TERMORIO      17    0         0.00   3478  1  0
 47  TERMORIO      18    0         0.00    323  1  0
 47  TERMORIO      19    0         0.00   7584  0  0
 47  TERMORIO      20    0         0.00   7008  0  0
 47  TERMORIO      21    1       310.00    323  1  0
 47  TERMORIO      22    0         0.00   2921  1  0
 47  TERMORIO      23    0         0.00   9816  1  0
 47  TERMORIO      24    0         0.00  12814  0  0
 47  TERMORIO      25    0         0.00  12814  0  0
 47  TERMORIO      26    0         0.00  12814  0  0
 47  TERMORIO      27    0         0.00   3086  1  0
 47  TERMORIO      28    0         0.00  12814  0  0
 47  TERMORIO      29    0         0.00  12814  0  0
 47  TERMORIO      30    0         0.00  12814  0  0
 47  TERMORIO      31    0         0.00   2095  0  0
 48  ARAUCARIA      1    0         0.00  10510  1  0
 48  ARAUCARIA      2    0         0.00  10510  1  0
 48  ARAUCARIA      3    0         0.00   4510  1  0
 49  VIANA          3    0         0.00   1003  1  0
 49  VIANA          4    0         0.00   1003  1  0
 49  VIANA          1    0         0.00   1003  1  0
 49  VIANA          2    0         0.00    311  0  0
 50  PIRAT.12 G     1    0         0.00  15092  0  0
