& CONDICOES INICIAIS DAS UNIDADES                
&
UCTPAR 2
UCTERM 2
PINT
REGRANPTV     1
AVLCMO 1
CPLEXLOG
&
&Flags Inativos
&UCTBUSLOC
&UCTHEURFP   1 100
&CONSTDADOS 0
&AJUSTEFCF
&TOLERILH 1
&CROSSOVER 1
&ENGOLIMENTO 0
&                                                 
INIT                                             
&us     nome       ug   st   GerInic     tempo MH A/D T  TITULINFLX
&XX XXXXXXXXXXXX  XXX   XX   XXXXXXXXXX  XXXXX  X  X  X  XXXXXXXXXX
  1  ANGRA 1        1    1      640.000     96  0  0  1        640.
  4  ST.CRUZ 34     3    0        0.000  23828  0  0  0          0.
  4  ST.CRUZ 34     4    0        0.000  23828  0  0  0          0.
  9  R.SILVEIRA     1    0        0.000  23828  0  0  0          0.
  9  R.SILVEIRA     2    0        0.000  23828  0  0  0          0.
 12  CUIABA G CC    1    0        0.000   7176  0  0  0          0.
 12  CUIABA G CC    2    0        0.000   7680  0  0  0          0.
 12  CUIABA G CC    3    0        0.000    144  0  0  0          0.
 13  ANGRA 2        1    1     1340.000   2681  1  0  1       1340.
 15  LINHARES       1    0        0.000   2386  1  0  0          0.
 15  LINHARES       2    0        0.000   2386  1  0  0          0.
 15  LINHARES       3    0        0.000   2386  1  0  0          0.
 15  LINHARES       4    0        0.000   3834  0  0  0          0.
 21  MARANHAO V     1    0        0.000   5855  0  0  0          0.
 24  J.LACERDA C    7    0        0.000   2613  0  0  0          0.
 25  J.LACERDA B    5    0        0.000    551  0  0  0          0.
 25  J.LACERDA B    6    0        0.000    575  0  0  0          0.
 26  J.LACERDA A1   1    0        0.000   5831  0  0  0          0.
 26  J.LACERDA A1   2    0        0.000   5917  1  0  0          0.
 27  J.LACERDA A2   3    0        0.000   2828  1  0  0          0.
 27  J.LACERDA A2   4    0        0.000   3166  1  0  0          0.
 28  FIGUEIRA       1    0        0.000  23828  0  0  0          0.
 28  FIGUEIRA       3    0        0.000  23828  0  0  0          0.
 35  URUGUAIANA     1    0        0.000  23828  0  0  0          0.
 35  URUGUAIANA     2    0        0.000  23828  0  0  0          0.
 35  URUGUAIANA     3    0        0.000  23828  0  0  0          0.
 36  MARANHAO IV    1    0        0.000   5855  1  0  0          0.
 42  FORTALEZA      1    0        0.000  22321  0  0  0          0.
 42  FORTALEZA      2    0        0.000  22321  0  0  0          0.
 42  FORTALEZA      3    0        0.000   8952  0  0  0          0.
 43  TERMOBAHIA     1    1      158.000    792  0  0  2        158.
 46  N.VENECIA 2    1    0        0.000   5855  1  0  0          0.
 47  TERMORIO       1    0        0.000   2568  0  0  0          0.
 47  TERMORIO       2    0        0.000   3254  1  0  0          0.
 47  TERMORIO       3    0        0.000   8592  0  0  0          0.
 47  TERMORIO       4    0        0.000   7714  0  0  0          0.
 47  TERMORIO       5    0        0.000  21550  0  0  0          0.
 47  TERMORIO       6    0        0.000   1886  0  0  0          0.
 47  TERMORIO       7    0        0.000   6942  1  0  0          0.
 47  TERMORIO       8    0        0.000   6120  0  0  0          0.
