&   DEFLUENCIAS ANTERIORES AO INICIO DO ESTUDO
&
&
&        Mont Jus TpJ   di hi m df hf m     defluencia
&X       XXX  XXX  X    XX XX X XX XX X     XXXXXXXXXX
DEFANT     2    4  H    01 00 0  F                  71
DEFANT     4    6  H    01 00 0  F                 119
DEFANT     6    7  H    01 00 0  F                 795
DEFANT     7    8  H    01 00 0  F                 751
DEFANT     8    9  H    01 00 0  F                 850
DEFANT     9   10  H    01 00 0  F                 800
DEFANT    10   11  H    01 00 0  F                 818
DEFANT    11   12  H    01 00 0  F                 783
DEFANT    12   17  H    01 00 0  F                 952
DEFANT    14   15  H    01 00 0  F                  15
DEFANT    15   16  H    01 00 0  F                  21
DEFANT    16   17  H    29 00 0  F                  19
DEFANT    16   17  H    01 00 0  F                  31
DEFANT    17   18  H    01 00 0  F                 932
DEFANT    18   34  H    01 00 0  F                 583
DEFANT    20   21  H    01 00 0  F                 114
DEFANT    21   24  H    01 00 0  F                  78
DEFANT    24   31  H    01 00 0  F                 516
DEFANT    25   26  H    01 00 0  F                 165
DEFANT    26   27  H    01 00 0  F                 140
DEFANT    27   28  H    01 00 0  F                 147
DEFANT    28   31  H    01 00 0  F                 148
DEFANT    29  203  H    01 00 0  F                  62
DEFANT    30   31  H    01 00 0  F                 200
DEFANT    31   32  H    01 00 0  F                 837
DEFANT    32   33  H    01 00 0  F                 946
DEFANT    33   34  H    01 00 0  F                 701
DEFANT    34   45  H    01 00 0  F                1808
DEFANT    37   38  H    01 00 0  F                 105
DEFANT    38   39  H    01 00 0  F                 122
DEFANT    39   40  H    01 00 0  F                 144
DEFANT    40   42  H    01 00 0  F                 160
DEFANT    42   43  H    01 00 0  F                 156
DEFANT    43   45  H    01 00 0  F                 175
DEFANT    45   46  H    01 00 0  F                2300
DEFANT    46   66  H    30 00 0  F                2910
DEFANT    46   66  H    01 00 0  F                2900
DEFANT    47   48  H    01 00 0  F                 105
DEFANT    48   49  H    01 00 0  F                 102
DEFANT    49  249  H    01 00 0  F                 100
DEFANT    50   51  H    01 00 0  F                 161
DEFANT    51   52  H    01 00 0  F                 137
DEFANT    52   61  H    01 00 0  F                 148
DEFANT    57   61  H    01 00 0  F                 289
DEFANT    61   62  H    01 00 0  F                 458
DEFANT    62   63  H    01 00 0  F                 473
DEFANT    63   66  H    30 00 0  F                 555
DEFANT    63   66  H    01 00 0  F                 533
DEFANT    71   72  H    01 00 0  F                  96
DEFANT    72   73  H    01 00 0  F                  96
DEFANT    73   77  H    01 00 0  F                  15
DEFANT    74   76  H    01 00 0  F                 538
DEFANT    76   77  H    01 00 0  F                 660
DEFANT    77   78  H    01 00 0  F                 896
DEFANT    78   82  H    01 00 0  F                1102
DEFANT    82   83  H    01 00 0  F                 834
DEFANT    86   91  H    01 00 0  F                 323
DEFANT    89   90  H    01 00 0  F                 355
DEFANT    90   91  H    01 00 0  F                 283
DEFANT    91   92  H    01 00 0  F                 762
DEFANT    92  103  H    01 00 0  F                1128
DEFANT    93   94  H    01 00 0  F                  25
DEFANT    94  103  H    01 00 0  F                 133
DEFANT    97   98  H    01 00 0  F                 292
DEFANT    98   99  H    01 00 0  F                 477
DEFANT   101  102  H    01 00 0  F                 433
DEFANT   107   37  H    30 00 0  F                  75
DEFANT   110  111  H    01 00 0  F                  13
DEFANT   111  112  H    01 00 0  F                  63
DEFANT   112  113  H    01 00 0  F                  46
DEFANT   113  114  H    01 00 0  F                 148
DEFANT   120  123  H    29 00 0  F                  11
DEFANT   120  123  H    30 00 0  F                  10
DEFANT   120  123  H    01 00 0  F                  17
DEFANT   121  122  H    01 00 0  F                 104
DEFANT   122  123  H    28 00 0  F                 119
DEFANT   122  123  H    29 00 0  F                 120
DEFANT   122  123  H    30 00 0  F                 119
DEFANT   122  123  H    01 00 0  F                  76
DEFANT   123  125  H    01 00 0  F                 192
DEFANT   125  129  H    30 00 0  F                  73
DEFANT   125  129  H    01 00 0  F                 215
DEFANT   126  127  H    01 00 0  F                  14
DEFANT   127  129  H    01 00 0  F                  37
DEFANT   129  130  H    01 00 0  F                  76
DEFANT   134  135  H    01 00 0  F                  25
DEFANT   135  141  H    01 00 0  F                  37
DEFANT   139  141  H    30 00 0  F                  61
DEFANT   141  143  H    01 00 0  F                 182
DEFANT   143  144  H    01 00 0  F                 193
DEFANT   148  154  H    27 00 0  F                  50
DEFANT   148  154  H    28 00 0  F                  51
DEFANT   148  154  H    01 00 0  F                  47
DEFANT   153   46  H    01 00 0  F                  85
DEFANT   155  156  H    01 00 0  F                  49
DEFANT   156  169  H    17 00 0  F                 406
DEFANT   156  169  H    19 00 0  F                 409
DEFANT   156  169  H    22 00 0  F                 408
