& CONDICOES INICIAIS DAS UNIDADES                
&
&Flags Ativos
UCTPAR 2
UCTERM 2
PINT
REGRANPTV     1
AVLCMO 1
&
&Flags Inativos
&UCTBUSLOC
&UCTHEURFP   1 100
&CONSTDADOS 0
&AJUSTEFCF
&TOLERILH 1
&CROSSOVER 1
&ENGOLIMENTO 0              
&                                                
& CONDICOES INICIAIS DAS UNIDADES                
&                                                
INIT                                             
&us     nome       ug   st   GerInic     tempo MH A/D
&XX XXXXXXXXXXXX  XXX   XX   XXXXXXXXXX  XXXXX  X  X 
  1  ANGRA 1        1    1       640.00    984  0  0
  4  ST.CRUZ 34     3    0         0.00  15596  0  0
  4  ST.CRUZ 34     4    0         0.00  15596  0  0
  9  R.SILVEIRA     1    0         0.00  15596  0  0
  9  R.SILVEIRA     2    0         0.00  15596  0  0
 12  CUIABA G CC    1    0         0.00   4680  1  0
 12  CUIABA G CC    2    0         0.00    192  0  0
 12  CUIABA G CC    3    0         0.00   4680  1  0
 13  ANGRA 2        1    0         0.00    625  0  0
 15  LINHARES       1    0         0.00    192  0  0
 15  LINHARES       2    0         0.00    192  0  0
 15  LINHARES       3    0         0.00    192  0  0
 15  LINHARES       4    0         0.00    192  0  0
 21  MARANHAO V     1    1       337.60   1080  1  0
 24  J.LACERDA C    7    0         0.00   1898  0  0
 25  J.LACERDA B    5    1       131.00    912  0  0
 25  J.LACERDA B    6    1       131.00   1112  1  0
 26  J.LACERDA A1   1    1        50.00     42  0  0
 26  J.LACERDA A1   2    1        50.00    432  0  0
 27  J.LACERDA A2   3    1        66.00   1217  1  0
 27  J.LACERDA A2   4    1        66.00   1220  1  0
 28  FIGUEIRA       1    0         0.00  15596  0  0
 28  FIGUEIRA       3    0         0.00  15596  0  0
 35  URUGUAIANA     1    0         0.00  15596  0  0
 35  URUGUAIANA     2    0         0.00  15596  0  0
 35  URUGUAIANA     3    0         0.00  15596  0  0
 36  MARANHAO IV    1    1       337.60   1248  0  0
 42  FORTALEZA      1    0         0.00  14089  0  0
 42  FORTALEZA      2    0         0.00  14089  0  0
 42  FORTALEZA      3    0         0.00    720  0  0
 43  TERMOBAHIA     1    1       174.00    144  0  0
 46  N.VENECIA 2    1    1       178.00    402  0  0
 47  TERMORIO       1    0         0.00    202  0  0
 47  TERMORIO       2    0         0.00   5734  1  0
 47  TERMORIO       3    0         0.00    360  0  0
 47  TERMORIO       4    0         0.00  13318  0  0
 47  TERMORIO       5    0         0.00  13318  0  0
 47  TERMORIO       6    0         0.00      7  0  0
 47  TERMORIO       7    0         0.00   4008  0  0
 47  TERMORIO       8    0         0.00  13318  0  0
 47  TERMORIO       9    0         0.00   5014  0  0
 47  TERMORIO      10    0         0.00  13318  0  0
 47  TERMORIO      11    0         0.00   4056  0  0
 47  TERMORIO      12    1       795.00      7  0  0
 47  TERMORIO      13    0         0.00   4012  0  0
 47  TERMORIO      14    0         0.00   5184  0  0
 47  TERMORIO      15    0         0.00   5186  0  0
 47  TERMORIO      16    0         0.00  11748  0  0
 47  TERMORIO      17    0         0.00   3982  1  0
 47  TERMORIO      18    0         0.00    827  1  0
 47  TERMORIO      19    0         0.00   8088  0  0
 47  TERMORIO      20    0         0.00   7512  0  0
 47  TERMORIO      21    0         0.00    456  0  0
 47  TERMORIO      22    0         0.00   3425  1  0
 47  TERMORIO      23    0         0.00  10320  1  0
 47  TERMORIO      24    0         0.00  13318  0  0
 47  TERMORIO      25    0         0.00  13318  0  0
 47  TERMORIO      26    0         0.00  13318  0  0
 47  TERMORIO      27    0         0.00   3590  1  0
 47  TERMORIO      28    0         0.00  13318  0  0
 47  TERMORIO      29    0         0.00  13318  0  0
 47  TERMORIO      30    0         0.00  13318  0  0
 47  TERMORIO      31    0         0.00   2599  0  0
 48  ARAUCARIA      1    0         0.00  11014  1  0
 48  ARAUCARIA      2    0         0.00  11014  1  0
 48  ARAUCARIA      3    0         0.00   5014  1  0
 49  VIANA          3    0         0.00   1507  1  0
 49  VIANA          4    0         0.00     70  1  0
 49  VIANA          1    0         0.00     77  0  0
 49  VIANA          2    0         0.00     26  0  0
 50  PIRAT.12 G     1    0         0.00  15596  0  0
 50  PIRAT.12 G     2    0         0.00  15596  0  0
 52  CAMPINA GDE    1    1        31.00    104  0  0
 52  CAMPINA GDE    2    1        31.00    104  1  0
 52  CAMPINA GDE    3    0         0.00   5017  1  0
 52  CAMPINA GDE    4    1        31.00    104  0  0
 53  GLOBAL I       1    0         0.00  11688  0  0
 53  GLOBAL I       2    0         0.00   4099  0  0
 53  GLOBAL I       3    0         0.00  11688  0  0
 53  GLOBAL I       4    0         0.00  11688  0  0
 53  GLOBAL I       5    0         0.00  11688  0  0
 53  GLOBAL I       6    0         0.00  11688  0  0
 53  GLOBAL I       7    0         0.00   5305  0  0
 53  GLOBAL I       8    0         0.00  11688  0  0
 53  GLOBAL I       9    0         0.00  11688  0  0
