& CONDICOES INICIAIS DAS UNIDADES                
& 
&Flags Ativos
UCTPAR 2
UCTERM 2
PINT
REGRANPTV     1
AVLCMO 1
&
&Flags Inativos
&UCTBUSLOC
&UCTHEURFP   1 100
&CONSTDADOS 0
&AJUSTEFCF
&TOLERILH 1
&CROSSOVER 1
&ENGOLIMENTO 0                         
&                                                
INIT                                             
&us     nome       ug   st   GerInic     tempo MH A/D
&XX XXXXXXXXXXXX  XXX   XX   XXXXXXXXXX  XXXXX  X  X 
  1  ANGRA 1        1    1       640.00   1152  0  0
  4  ST.CRUZ 34     3    0         0.00  15764  0  0
  4  ST.CRUZ 34     4    0         0.00  15764  0  0
  9  R.SILVEIRA     1    0         0.00  15764  0  0
  9  R.SILVEIRA     2    0         0.00  15764  0  0
 12  CUIABA G CC    1    0         0.00   4848  1  0
 12  CUIABA G CC    2    0         0.00     48  0  0
 12  CUIABA G CC    3    0         0.00   4848  1  0
 13  ANGRA 2        1    0         0.00    793  0  0
 15  LINHARES       1    1        51.00    144  0  0
 15  LINHARES       2    1        51.00    144  0  0
 15  LINHARES       3    1        51.00    144  0  0
 15  LINHARES       4    1        51.00    144  0  0
 21  MARANHAO V     1    1       337.60   1248  1  0
 24  J.LACERDA C    7    0         0.00   2066  0  0
 25  J.LACERDA B    5    1       131.00   1080  0  0
 25  J.LACERDA B    6    1       131.00   1280  1  0
 26  J.LACERDA A1   1    1        50.00    108  0  0
 26  J.LACERDA A1   2    1        50.00    108  0  0
 27  J.LACERDA A2   3    1        66.00   1385  1  0
 27  J.LACERDA A2   4    1        66.00   1388  1  0
 28  FIGUEIRA       1    0         0.00  15764  0  0
 28  FIGUEIRA       3    0         0.00  15764  0  0
 35  URUGUAIANA     1    0         0.00  15764  0  0
 35  URUGUAIANA     2    0         0.00  15764  0  0
 35  URUGUAIANA     3    0         0.00  15764  0  0
 36  MARANHAO IV    1    1       337.60   1416  0  0
 42  FORTALEZA      1    0         0.00  14257  0  0
 42  FORTALEZA      2    0         0.00  14257  0  0
 42  FORTALEZA      3    0         0.00    888  0  0
 43  TERMOBAHIA     1    1       174.00    312  0  0
 46  N.VENECIA 2    1    1       178.00    570  0  0
 47  TERMORIO       1    0         0.00    370  0  0
 47  TERMORIO       2    0         0.00   5902  1  0
 47  TERMORIO       3    0         0.00    528  0  0
 47  TERMORIO       4    0         0.00  13486  0  0
 47  TERMORIO       5    0         0.00  13486  0  0
 47  TERMORIO       6    1       640.00     63  1  0
 47  TERMORIO       7    0         0.00   4176  0  0
 47  TERMORIO       8    0         0.00  13486  0  0
 47  TERMORIO       9    0         0.00   5182  0  0
 47  TERMORIO      10    0         0.00  13486  0  0
 47  TERMORIO      11    0         0.00   4224  0  0
 47  TERMORIO      12    0         0.00     63  0  0
 47  TERMORIO      13    0         0.00   4180  0  0
 47  TERMORIO      14    0         0.00   5352  0  0
 47  TERMORIO      15    0         0.00   5354  0  0
 47  TERMORIO      16    0         0.00     63  0  0
 47  TERMORIO      17    0         0.00   4150  1  0
 47  TERMORIO      18    0         0.00    995  1  0
 47  TERMORIO      19    0         0.00   8256  0  0
 47  TERMORIO      20    0         0.00   7680  0  0
 47  TERMORIO      21    0         0.00    624  0  0
 47  TERMORIO      22    0         0.00   3593  1  0
 47  TERMORIO      23    0         0.00  10488  1  0
 47  TERMORIO      24    0         0.00  13486  0  0
 47  TERMORIO      25    0         0.00  13486  0  0
 47  TERMORIO      26    0         0.00  13486  0  0
 47  TERMORIO      27    0         0.00   3758  1  0
 47  TERMORIO      28    0         0.00  13486  0  0
 47  TERMORIO      29    0         0.00  13486  0  0
 47  TERMORIO      30    0         0.00  13486  0  0
 47  TERMORIO      31    0         0.00   2767  0  0
 48  ARAUCARIA      1    0         0.00  11182  1  0
 48  ARAUCARIA      2    0         0.00  11182  1  0
 48  ARAUCARIA      3    0         0.00   5182  1  0
 49  VIANA          3    0         0.00    146  1  0
 49  VIANA          4    0         0.00    238  1  0
