& CONDICOES INICIAIS DAS UNIDADES                
&
&Flags Ativos
UCTPAR 2
UCTERM 2
PINT
REGRANPTV     1
AVLCMO 1
&
&Flags Inativos
&UCTBUSLOC
&UCTHEURFP   1 100
&CONSTDADOS 0
&AJUSTEFCF
&TOLERILH 1
&CROSSOVER 1
&ENGOLIMENTO 0
&                                                
INIT                                             
&us     nome       ug   st   GerInic     tempo MH A/D
&XX XXXXXXXXXXXX  XXX   XX   XXXXXXXXXX  XXXXX  X  X 
  1  ANGRA 1        1    1       640.00   1320  0  0
  4  ST.CRUZ 34     3    0         0.00  15932  0  0
  4  ST.CRUZ 34     4    0         0.00  15932  0  0
  9  R.SILVEIRA     1    0         0.00  15932  0  0
  9  R.SILVEIRA     2    0         0.00  15932  0  0
 12  CUIABA G CC    1    0         0.00   5016  1  0
 12  CUIABA G CC    2    0         0.00     48  0  0
 12  CUIABA G CC    3    0         0.00   5016  1  0
 13  ANGRA 2        1    0         0.00    961  0  0
 15  LINHARES       1    1        51.00    312  0  0
 15  LINHARES       2    1        51.00    312  0  0
 15  LINHARES       3    1        51.00    312  0  0
 15  LINHARES       4    1        51.00    312  0  0
 21  MARANHAO V     1    1       337.60   1416  1  0
 24  J.LACERDA C    7    0         0.00   2234  0  0
 25  J.LACERDA B    5    1        89.00   1248  0  0
 25  J.LACERDA B    6    1       131.00   1448  1  0
 26  J.LACERDA A1   1    0         0.00     60  0  0
 26  J.LACERDA A1   2    1        40.00    276  0  0
 27  J.LACERDA A2   3    1        44.00   1553  1  0
 27  J.LACERDA A2   4    1        66.00   1556  1  0
 28  FIGUEIRA       1    0         0.00  15932  0  0
 28  FIGUEIRA       3    0         0.00  15932  0  0
 34  W ARJONA       1    0         0.00    144  0  0
 34  W ARJONA       2    0         0.00    144  0  0
 34  W ARJONA       3    0         0.00    144  0  0
 34  W ARJONA       4    0         0.00    144  0  0
 34  W ARJONA       5    0         0.00    144  0  0
 35  URUGUAIANA     1    0         0.00  15932  0  0
 35  URUGUAIANA     2    0         0.00  15932  0  0
 35  URUGUAIANA     3    0         0.00  15932  0  0
 36  MARANHAO IV    1    1       337.60   1584  0  0
 42  FORTALEZA      1    0         0.00  14425  0  0
 42  FORTALEZA      2    0         0.00  14425  0  0
 42  FORTALEZA      3    0         0.00   1056  0  0
 43  TERMOBAHIA     1    1       174.00    480  0  0
 46  N.VENECIA 2    1    1       178.00    738  0  0
 47  TERMORIO       1    0         0.00    538  0  0
 47  TERMORIO       2    0         0.00   6070  1  0
 47  TERMORIO       3    0         0.00    696  0  0
 47  TERMORIO       4    0         0.00  13654  0  0
 47  TERMORIO       5    0         0.00  13654  0  0
 47  TERMORIO       6    0         0.00     24  0  0
 47  TERMORIO       7    0         0.00   4344  0  0
 47  TERMORIO       8    0         0.00  13654  0  0
 47  TERMORIO       9    0         0.00   5350  0  0
 47  TERMORIO      10    0         0.00  13654  0  0
 47  TERMORIO      11    0         0.00   4392  0  0
 47  TERMORIO      12    0         0.00    231  0  0
 47  TERMORIO      13    0         0.00    113  0  0
 47  TERMORIO      14    0         0.00   5520  0  0
 47  TERMORIO      15    0         0.00   5522  0  0
 47  TERMORIO      16    1       930.00     24  0  0
 47  TERMORIO      17    0         0.00   4318  1  0
 47  TERMORIO      18    0         0.00   1163  1  0
 47  TERMORIO      19    0         0.00   8424  0  0
 47  TERMORIO      20    0         0.00   7848  0  0
 47  TERMORIO      21    0         0.00    792  0  0
 47  TERMORIO      22    0         0.00   3761  1  0
 47  TERMORIO      23    0         0.00  10656  1  0
 47  TERMORIO      24    0         0.00  13654  0  0
 47  TERMORIO      25    0         0.00  13654  0  0
 47  TERMORIO      26    0         0.00  13654  0  0
 47  TERMORIO      27    0         0.00   3926  1  0
 47  TERMORIO      28    0         0.00  13654  0  0
 47  TERMORIO      29    0         0.00  13654  0  0
 47  TERMORIO      30    0         0.00  13654  0  0
 47  TERMORIO      31    0         0.00   2935  0  0
 48  ARAUCARIA      1    0         0.00  11350  1  0
 48  ARAUCARIA      2    0         0.00  11350  1  0
 48  ARAUCARIA      3    0         0.00   5350  1  0
 49  VIANA          3    0         0.00    110  0  0
 49  VIANA          4    0         0.00    406  1  0
 49  VIANA          1    0         0.00     23  0  0
 49  VIANA          2    1       174.60      4  0  0
 50  PIRAT.12 G     1    0         0.00  15932  0  0
 50  PIRAT.12 G     2    0         0.00  15932  0  0
