& CONDICOES INICIAIS DAS UNIDADES                
&
&Flags Ativos
UCTPAR 2
UCTERM 2
PINT
REGRANPTV     1
AVLCMO 1
&
&Flags Inativos
&UCTBUSLOC
&UCTHEURFP   1 100
&CONSTDADOS 0
&AJUSTEFCF
&TOLERILH 1
&CROSSOVER 1
&ENGOLIMENTO 0
&                                                
INIT                                             
&us     nome       ug   st   GerInic     tempo MH A/D
&XX XXXXXXXXXXXX  XXX   XX   XXXXXXXXXX  XXXXX  X  X 
  1  ANGRA 1        1    1       640.00   1656  0  0
  4  ST.CRUZ 34     3    0         0.00  16268  0  0
  4  ST.CRUZ 34     4    0         0.00  16268  0  0
  9  R.SILVEIRA     1    0         0.00  16268  0  0
  9  R.SILVEIRA     2    0         0.00  16268  0  0
 12  CUIABA G CC    1    0         0.00   5352  1  0
 12  CUIABA G CC    2    0         0.00    120  0  0
 12  CUIABA G CC    3    0         0.00    144  0  0
 13  ANGRA 2        1    1      1350.00    186  0  0
 15  LINHARES       1    1        51.00    648  0  0
 15  LINHARES       2    1        51.00    648  0  0
 15  LINHARES       3    1        51.00    648  0  0
 15  LINHARES       4    1        51.00    648  0  0
 21  MARANHAO V     1    1       337.60   1752  1  0
 24  J.LACERDA C    7    0         0.00   2570  0  0
 25  J.LACERDA B    5    1       131.00   1584  0  0
 25  J.LACERDA B    6    1        89.00   1784  1  0
 26  J.LACERDA A1   1    1        50.00    312  0  0
 26  J.LACERDA A1   2    0         0.00     22  0  0
 27  J.LACERDA A2   3    0         0.00    146  0  0
 27  J.LACERDA A2   4    1        55.00   1892  1  0
 28  FIGUEIRA       1    0         0.00  16268  0  0
 28  FIGUEIRA       3    0         0.00  16268  0  0
 35  URUGUAIANA     1    0         0.00  16268  0  0
 35  URUGUAIANA     2    0         0.00  16268  0  0
 35  URUGUAIANA     3    0         0.00  16268  0  0
 36  MARANHAO IV    1    1       337.60   1920  0  0
 42  FORTALEZA      1    0         0.00  14761  0  0
 42  FORTALEZA      2    0         0.00  14761  0  0
 42  FORTALEZA      3    0         0.00   1392  0  0
 43  TERMOBAHIA     1    1       174.00    816  0  0
 46  N.VENECIA 2    1    1       178.00   1074  0  0
 47  TERMORIO       1    1       330.00    154  0  0
 47  TERMORIO       2    0         0.00    165  1  0
 47  TERMORIO       3    0         0.00   1032  0  0
 47  TERMORIO       4    0         0.00    154  0  0
 47  TERMORIO       5    0         0.00  13990  0  0
 47  TERMORIO       6    0         0.00    360  0  0
 47  TERMORIO       7    0         0.00   4680  0  0
 47  TERMORIO       8    0         0.00  13990  0  0
 47  TERMORIO       9    0         0.00   5686  0  0
 47  TERMORIO      10    0         0.00  13990  0  0
 47  TERMORIO      11    0         0.00   4728  0  0
 47  TERMORIO      12    0         0.00    567  0  0
 47  TERMORIO      13    0         0.00    449  0  0
 47  TERMORIO      14    0         0.00   5856  0  0
 47  TERMORIO      15    0         0.00   5858  0  0
 47  TERMORIO      16    0         0.00    360  0  0
 47  TERMORIO      17    0         0.00   4654  1  0
 47  TERMORIO      18    0         0.00   1499  1  0
 47  TERMORIO      19    0         0.00   8760  0  0
 47  TERMORIO      20    0         0.00   8184  0  0
 47  TERMORIO      21    0         0.00   1128  0  0
 47  TERMORIO      22    0         0.00   4097  1  0
 47  TERMORIO      23    0         0.00  10992  1  0
 47  TERMORIO      24    0         0.00  13990  0  0
 47  TERMORIO      25    0         0.00  13990  0  0
 47  TERMORIO      26    0         0.00  13990  0  0
 47  TERMORIO      27    0         0.00   4262  1  0
 47  TERMORIO      28    0         0.00  13990  0  0
