& CONDICOES INICIAIS DAS UNIDADES                
&
UCTPAR 2
UCTERM 2
PINT
REGRANPTV     1
AVLCMO 1
CPLEXLOG
&
&Flags Inativos
&UCTBUSLOC
&UCTHEURFP   1 100
&CONSTDADOS 0
&AJUSTEFCF
&TOLERILH 1
&CROSSOVER 1
&ENGOLIMENTO 0
&                                                                                               
INIT                                             
&us     nome       ug   st   GerInic     tempo MH A/D T  TITULINFLX
&XX XXXXXXXXXXXX  XXX   XX   XXXXXXXXXX  XXXXX  X  X  X  XXXXXXXXXX
  1  ANGRA 1        1    1      640.000    600  0  0  1        640.
  4  ST.CRUZ 34     3    0        0.000  24332  0  0  0          0.
  4  ST.CRUZ 34     4    0        0.000  24332  0  0  0          0.
  9  R.SILVEIRA     1    0        0.000  24332  0  0  0          0.
  9  R.SILVEIRA     2    0        0.000  24332  0  0  0          0.
 12  CUIABA G CC    1    0        0.000   7680  0  0  0          0.
 12  CUIABA G CC    2    0        0.000   8184  0  0  0          0.
 12  CUIABA G CC    3    0        0.000    648  0  0  0          0.
 13  ANGRA 2        1    0        0.000    457  0  0  0          0.
 15  LINHARES       1    0        0.000   2890  1  0  0          0.
 15  LINHARES       2    0        0.000   2890  1  0  0          0.
 15  LINHARES       3    0        0.000   2890  1  0  0          0.
 15  LINHARES       4    0        0.000   4338  0  0  0          0.
 21  MARANHAO V     1    0        0.000   6359  0  0  0          0.
 24  J.LACERDA C    7    0        0.000   3117  0  0  0          0.
 25  J.LACERDA B    5    0        0.000   1055  0  0  0          0.
 25  J.LACERDA B    6    0        0.000   1079  0  0  0          0.
 26  J.LACERDA A1   1    0        0.000   6335  0  0  0          0.
 26  J.LACERDA A1   2    0        0.000   6421  1  0  0          0.
 27  J.LACERDA A2   3    0        0.000   3332  1  0  0          0.
 27  J.LACERDA A2   4    0        0.000   3670  1  0  0          0.
 28  FIGUEIRA       1    0        0.000  24332  0  0  0          0.
 28  FIGUEIRA       3    0        0.000  24332  0  0  0          0.
 35  URUGUAIANA     1    0        0.000  24332  0  0  0          0.
 35  URUGUAIANA     2    0        0.000  24332  0  0  0          0.
 35  URUGUAIANA     3    0        0.000  24332  0  0  0          0.
 36  MARANHAO IV    1    0        0.000   6359  1  0  0          0.
 42  FORTALEZA      1    0        0.000  22825  0  0  0          0.
 42  FORTALEZA      2    0        0.000  22825  0  0  0          0.
 42  FORTALEZA      3    0        0.000   9456  0  0  0          0.
 43  TERMOBAHIA     1    0        0.000    335  0  0  0          0.
 46  N.VENECIA 2    1    0        0.000   6359  1  0  0          0.
 47  TERMORIO       1    0        0.000   3072  0  0  0          0.
 47  TERMORIO       2    0        0.000   3758  1  0  0          0.
 47  TERMORIO       3    0        0.000   9096  0  0  0          0.
 47  TERMORIO       4    0        0.000   8218  0  0  0          0.
 47  TERMORIO       5    0        0.000  22054  0  0  0          0.
 47  TERMORIO       6    0        0.000   2390  0  0  0          0.
 47  TERMORIO       7    0        0.000   7446  1  0  0          0.
 47  TERMORIO       8    0        0.000   6624  0  0  0          0.
 47  TERMORIO       9    0        0.000   7344  0  0  0          0.
 47  TERMORIO      10    0        0.000  22054  0  0  0          0.
 47  TERMORIO      11    0        0.000   6720  1  0  0          0.
 47  TERMORIO      12    0        0.000   4262  0  0  0          0.
 47  TERMORIO      13    0        0.000   7344  0  0  0          0.
 47  TERMORIO      14    0        0.000   7080  0  0  0          0.
 47  TERMORIO      15    0        0.000   4345  0  0  0          0.
 47  TERMORIO      16    0        0.000   6360  0  0  0          0.
 47  TERMORIO      17    0        0.000   1798  1  0  0          0.
 47  TERMORIO      18    0        0.000   2472  0  0  0          0.
 47  TERMORIO      19    0        0.000    552  1  0  0          0.
 47  TERMORIO      20    0        0.000   2662  1  0  0          0.
 47  TERMORIO      21    0        0.000   9192  0  0  0          0.
 47  TERMORIO      22    0        0.000  12161  1  0  0          0.
 47  TERMORIO      23    0        0.000  19056  1  0  0          0.
 47  TERMORIO      24    0        0.000  22054  0  0  0          0.
 47  TERMORIO      25    0        0.000  22054  0  0  0          0.
 47  TERMORIO      26    0        0.000  22054  0  0  0          0.
 47  TERMORIO      27    0        0.000   6840  0  0  0          0.
 47  TERMORIO      28    0        0.000  22054  0  0  0          0.
 47  TERMORIO      29    0        0.000  22054  0  0  0          0.
 47  TERMORIO      30    0        0.000  22054  0  0  0          0.
 47  TERMORIO      31    0        0.000  11335  0  0  0          0.
 48  ARAUCARIA      1    0        0.000  19750  1  0  0          0.
 48  ARAUCARIA      2    0        0.000   7024  1  0  0          0.
 48  ARAUCARIA      3    0        0.000   7922  1  0  0          0.
 49  VIANA          3    0        0.000   5472  1  0  0          0.
 49  VIANA          4    0        0.000   5471  0  0  0          0.
 49  VIANA          1    0        0.000   6977  0  0  0          0.
 49  VIANA          2    0        0.000   5458  1  0  0          0.
 50  PIRAT.12 G     1    0        0.000  24332  0  0  0          0.
 50  PIRAT.12 G     2    0        0.000  24332  0  0  0          0.
 52  CAMPINA GDE    1    0        0.000   7032  0  0  0          0.
 52  CAMPINA GDE    2    0        0.000   7032  0  0  0          0.
 52  CAMPINA GDE    3    0        0.000   7032  0  0  0          0.
 52  CAMPINA GDE    4    0        0.000   7031  1  0  0          0.
 53  GLOBAL I       1    0        0.000   8371  0  0  0          0.
 53  GLOBAL I       2    0        0.000   8406  0  0  0          0.
 53  GLOBAL I       3    0        0.000   7515  0  0  0          0.
 53  GLOBAL I       4    0        0.000  20424  0  0  0          0.
 53  GLOBAL I       5    0        0.000   7476  1  0  0          0.
 53  GLOBAL I       6    0        0.000   8400  1  0  0          0.
 53  GLOBAL I       7    0        0.000   7107  1  0  0          0.
 53  GLOBAL I       8    0        0.000   7080  0  0  0          0.
 53  GLOBAL I       9    0        0.000   7488  1  0  0          0.
 53  GLOBAL I      10    0        0.000   7130  0  0  0          0.
 53  GLOBAL I      11    0        0.000   7030  1  0  0          0.
 54  JUIZ DE FORA   1    0        0.000   6360  0  0  0          0.
 54  JUIZ DE FORA   2    0        0.000   6359  1  0  0          0.
 55  GLOBAL II      1    0        0.000   7192  0  0  0          0.
 55  GLOBAL II      2    0        0.000   7095  0  0  0          0.
 55  GLOBAL II      3    0        0.000   7197  0  0  0          0.
 55  GLOBAL II      4    0        0.000   7514  0  0  0          0.
 55  GLOBAL II      5    0        0.000  20424  0  0  0          0.
 55  GLOBAL II      6    0        0.000  20424  0  0  0          0.
 55  GLOBAL II      7    0        0.000   7112  1  0  0          0.
 55  GLOBAL II      8    0        0.000   7183  1  0  0          0.
 55  GLOBAL II      9    0        0.000   7250  1  0  0          0.
 55  GLOBAL II     10    0        0.000   7088  0  0  0          0.
 55  GLOBAL II     11    0        0.000   7030  1  0  0          0.
 57  MARACANAU I    1    0        0.000   7031  1  0  0          0.
 57  MARACANAU I    2    0        0.000   8325  1  0  0          0.
 57  MARACANAU I    3    0        0.000   7031  1  0  0          0.
 57  MARACANAU I    4    0        0.000   7031  1  0  0          0.
 57  MARACANAU I    5    0        0.000  10679  1  0  0          0.
 57  MARACANAU I    6    0        0.000   7214  0  0  0          0.
 57  MARACANAU I    7    0        0.000   7324  0  0  0          0.
 57  MARACANAU I    8    0        0.000   7071  0  0  0          0.
 58  TERMOCEARA     1    0        0.000  12810  0  0  0          0.
 58  TERMOCEARA     2    0        0.000  12767  0  0  0          0.
 58  TERMOCEARA     3    0        0.000  12774  1  0  0          0.
 58  TERMOCEARA     4    0        0.000  21336  1  0  0          0.
 58  TERMOCEARA     5    0        0.000   5112  0  0  0          0.
 58  TERMOCEARA     6    0        0.000   5112  0  0  0          0.
 58  TERMOCEARA     7    0        0.000   5112  0  0  0          0.
 58  TERMOCEARA     8    0        0.000   5112  0  0  0          0.
 58  TERMOCEARA     9    0        0.000   5112  0  0  0          0.
 58  TERMOCEARA    10    0        0.000   5112  0  0  0          0.
 58  TERMOCEARA    11    0        0.000   5112  0  0  0          0.
 58  TERMOCEARA    12    0        0.000   5112  0  0  0          0.
 58  TERMOCEARA    13    0        0.000   5112  0  0  0          0.
 58  TERMOCEARA    14    0        0.000   5112  0  0  0          0.
 58  TERMOCEARA    15    0        0.000   5112  0  0  0          0.
 60  NORTEFLU       1    0        0.000  27591  0  0  0          0.
 60  NORTEFLU       2    0        0.000  27591  0  0  0          0.
 60  NORTEFLU       3    0        0.000  27591  0  0  0          0.
 60  NORTEFLU       4    0        0.000   4241  0  0  0          0.
 60  NORTEFLU       5    0        0.000   4409  0  0  0          0.
 60  NORTEFLU       6    0        0.000   5304  0  0  0          0.
 60  NORTEFLU       7    0        0.000   5014  0  0  0          0.
 62  SEROPEDICA     1    0        0.000   5883  0  0  0          0.
 62  SEROPEDICA     2    0        0.000   4344  0  0  0          0.
 62  SEROPEDICA     3    0        0.000   3799  0  0  0          0.
 62  SEROPEDICA     4    0        0.000   3805  1  0  0          0.
 62  SEROPEDICA     5    0        0.000   4337  1  0  0          0.
 62  SEROPEDICA     6    0        0.000   6312  1  0  0          0.
 62  SEROPEDICA     7    0        0.000   2454  1  0  0          0.
 62  SEROPEDICA     8    0        0.000   2466  0  0  0          0.
 63  IBIRITE        1    0        0.000   7320  0  0  0          0.
 64  CANOAS         1    0        0.000   6694  1  0  0          0.
 67  TERMONE        1    0        0.000   4333  1  0  0          0.
 67  TERMONE        2    0        0.000   1303  1  0  0          0.
 67  TERMONE        3    0        0.000   1286  1  0  0          0.
 68  TRES LAGOAS    1    0        0.000   7143  0  0  0          0.
 68  TRES LAGOAS    2    0        0.000  19295  0  0  0          0.
 68  TRES LAGOAS    3    0        0.000  24000  0  0  0          0.
 68  TRES LAGOAS    4    0        0.000   8988  0  0  0          0.
 68  TRES LAGOAS    5    0        0.000  21960  1  0  0          0.
 68  TRES LAGOAS    6    0        0.000  13123  1  0  0          0.
 68  TRES LAGOAS    7    0        0.000   6376  1  0  0          0.
 68  TRES LAGOAS    8    0        0.000  14976  0  0  0          0.
 68  TRES LAGOAS    9    0        0.000   6291  1  0  0          0.
 68  TRES LAGOAS   10    0        0.000  14838  0  0  0          0.
 68  TRES LAGOAS   11    0        0.000  14928  0  0  0          0.
 68  TRES LAGOAS   12    0        0.000  21936  0  0  0          0.
 68  TRES LAGOAS   13    0        0.000   6696  0  0  0          0.
 68  TRES LAGOAS   14    0        0.000  14616  0  0  0          0.
 68  TRES LAGOAS   15    0        0.000  13414  1  0  0          0.
 69  TERMOPB        1    0        0.000   6163  1  0  0          0.
 69  TERMOPB        2    0        0.000   4507  0  0  0          0.
 69  TERMOPB        3    0        0.000   5056  0  0  0          0.
 70  GERAMAR II     1    0        0.000   3876  0  0  0          0.
 70  GERAMAR II     2    0        0.000   3876  0  0  0          0.
 70  GERAMAR II     3    0        0.000   7031  0  0  0          0.
 70  GERAMAR II     4    0        0.000   7031  0  0  0          0.
