& CONDICOES INICIAIS DAS UNIDADES                
&
&Flags Ativos
UCTPAR 2
&UCTERM 2
PINT
REGRANPTV     1
AVLCMO 1
&
&Flags Inativos
&UCTBUSLOC
&UCTHEURFP   1 100
&CONSTDADOS 0
&AJUSTEFCF
&TOLERILH 1
&CROSSOVER 1
&ENGOLIMENTO 0
&                                                
INIT                                             
&us     nome       ug   st   GerInic     tempo MH A/D
&XX XXXXXXXXXXXX  XXX   XX   XXXXXXXXXX  XXXXX  X  X 
  1  ANGRA 1        1    1       640.00   1824  0  0
  4  ST.CRUZ 34     3    0         0.00  16436  0  0
  4  ST.CRUZ 34     4    0         0.00  16436  0  0
  9  R.SILVEIRA     1    0         0.00  16436  0  0
  9  R.SILVEIRA     2    0         0.00  16436  0  0
 12  CUIABA G CC    1    0         0.00   5520  1  0
 12  CUIABA G CC    2    0         0.00    288  0  0
 12  CUIABA G CC    3    0         0.00    312  0  0
 13  ANGRA 2        1    1      1350.00    354  0  0
 15  LINHARES       1    1        51.00    816  0  0
 15  LINHARES       2    1        51.00    816  0  0
 15  LINHARES       3    1        51.00    816  0  0
 15  LINHARES       4    1        51.00    816  0  0
 21  MARANHAO V     1    1       337.60   1920  1  0
 24  J.LACERDA C    7    0         0.00   2738  1  0
 25  J.LACERDA B    5    1       131.00   1752  0  0
 25  J.LACERDA B    6    1        89.00   1952  1  0
 26  J.LACERDA A1   1    1        45.00     36  0  0
 26  J.LACERDA A1   2    1        35.00    107  1  0
 27  J.LACERDA A2   3    1        66.00    144  0  0
 27  J.LACERDA A2   4    1        44.00   2060  1  0
 28  FIGUEIRA       1    0         0.00  16436  0  0
 28  FIGUEIRA       3    0         0.00  16436  0  0
 35  URUGUAIANA     1    0         0.00  16436  0  0
 35  URUGUAIANA     2    0         0.00  16436  0  0
 35  URUGUAIANA     3    0         0.00  16436  0  0
 36  MARANHAO IV    1    1       337.60   2088  0  0
 42  FORTALEZA      1    0         0.00  14929  0  0
 42  FORTALEZA      2    0         0.00  14929  0  0
 42  FORTALEZA      3    0         0.00   1560  0  0
 43  TERMOBAHIA     1    1       174.00    984  0  0
 46  N.VENECIA 2    1    0         0.00     78  0  0
 47  TERMORIO       1    1       330.00    322  0  0
 47  TERMORIO       2    0         0.00    333  1  0
 47  TERMORIO       3    0         0.00   1200  0  0
 47  TERMORIO       4    0         0.00    322  0  0
 47  TERMORIO       5    0         0.00  14158  0  0
 47  TERMORIO       6    0         0.00    528  0  0
 47  TERMORIO       7    0         0.00   4848  0  0
 47  TERMORIO       8    0         0.00  14158  0  0
 47  TERMORIO       9    0         0.00   5854  0  0
 47  TERMORIO      10    0         0.00  14158  0  0
 47  TERMORIO      11    0         0.00   4896  0  0
 47  TERMORIO      12    0         0.00    735  0  0
 47  TERMORIO      13    0         0.00    617  0  0
 47  TERMORIO      14    0         0.00   6024  0  0
 47  TERMORIO      15    0         0.00   6026  0  0
 47  TERMORIO      16    0         0.00    528  0  0
 47  TERMORIO      17    0         0.00   4822  1  0
 47  TERMORIO      18    0         0.00   1667  1  0
 47  TERMORIO      19    0         0.00   8928  0  0
 47  TERMORIO      20    0         0.00   8352  0  0
 47  TERMORIO      21    0         0.00   1296  0  0
 47  TERMORIO      22    0         0.00   4265  1  0
 47  TERMORIO      23    0         0.00  11160  1  0
 47  TERMORIO      24    0         0.00  14158  0  0
 47  TERMORIO      25    0         0.00  14158  0  0
 47  TERMORIO      26    0         0.00  14158  0  0
 47  TERMORIO      27    0         0.00   4430  1  0
 47  TERMORIO      28    0         0.00  14158  0  0
 47  TERMORIO      29    0         0.00  14158  0  0
 47  TERMORIO      30    0         0.00  14158  0  0
 47  TERMORIO      31    0         0.00   3439  0  0
 48  ARAUCARIA      1    0         0.00  11854  1  0
 48  ARAUCARIA      2    1       235.00     26  1  0
 48  ARAUCARIA      3    0         0.00     26  1  0
 49  VIANA          3    0         0.00    614  0  0
 49  VIANA          4    0         0.00    910  1  0
 49  VIANA          1    0         0.00    275  0  0
 49  VIANA          2    1       174.60    111  1  0
 50  PIRAT.12 G     1    0         0.00  16436  0  0
 50  PIRAT.12 G     2    0         0.00  16436  0  0
 52  CAMPINA GDE    1    1        31.00    105  1  0
 52  CAMPINA GDE    2    1        31.00     74  0  0
 52  CAMPINA GDE    3    1        42.00     87  1  0
 52  CAMPINA GDE    4    1        31.00     80  1  0
 53  GLOBAL I       1    0         0.00    475  0  0
 53  GLOBAL I       2    0         0.00    510  0  0
 53  GLOBAL I       3    0         0.00  12528  0  0
 53  GLOBAL I       4    0         0.00  12528  0  0
 53  GLOBAL I       5    0         0.00    369  0  0
 53  GLOBAL I       6    0         0.00    504  1  0
 53  GLOBAL I       7    0         0.00   6145  0  0
 53  GLOBAL I       8    0         0.00    257  0  0
 53  GLOBAL I       9    0         0.00    288  1  0
 53  GLOBAL I      10    0         0.00    329  0  0
 53  GLOBAL I      11    1       132.00    104  0  0
 54  JUIZ DE FORA   1    1        43.94    120  0  0
 54  JUIZ DE FORA   2    1        40.06     96  0  0
 55  GLOBAL II      1    0         0.00    369  0  0
 55  GLOBAL II      2    0         0.00    250  1  0
 55  GLOBAL II      3    0         0.00    502  0  0
 55  GLOBAL II      4    0         0.00    626  0  0
 55  GLOBAL II      5    0         0.00  12528  0  0
 55  GLOBAL II      6    0         0.00  12528  0  0
 55  GLOBAL II      7    0         0.00     99  1  0
 55  GLOBAL II      8    0         0.00    256  0  0
 55  GLOBAL II      9    0         0.00    304  0  0
 55  GLOBAL II     10    0         0.00    124  0  0
 55  GLOBAL II     11    1       132.00     99  1  0
 57  MARACANAU I    1    0         0.00     52  0  0
 57  MARACANAU I    2    0         0.00    429  1  0
 57  MARACANAU I    3    1        20.50    107  0  0
 57  MARACANAU I    4    0         0.00     28  0  0
 57  MARACANAU I    5    0         0.00   2783  1  0
 57  MARACANAU I    6    0         0.00    310  1  0
 57  MARACANAU I    7    1        20.50     49  1  0
 57  MARACANAU I    8    1        20.50    107  0  0
 58  TERMOCEARA     1    0         0.00   4914  0  0
 58  TERMOCEARA     2    0         0.00   4871  0  0
 58  TERMOCEARA     3    0         0.00   4878  1  0
 58  TERMOCEARA     4    0         0.00  13440  1  0
 60  NORTEFLU       1    0         0.00  19695  0  0
 60  NORTEFLU       2    0         0.00  19695  0  0
 60  NORTEFLU       3    0         0.00  19695  0  0
 60  NORTEFLU       4    0         0.00   2040  0  0
 60  NORTEFLU       5    0         0.00   3552  0  0
 60  NORTEFLU       6    0         0.00   4137  1  0
 60  NORTEFLU       7    1       826.00   2040  0  0
 62  SEROPEDICA     1    0         0.00   1169  1  0
 62  SEROPEDICA     2    0         0.00   4878  0  0
 62  SEROPEDICA     3    0         0.00   4510  1  0
 62  SEROPEDICA     4    0         0.00   1382  1  0
 62  SEROPEDICA     5    0         0.00   1192  0  0
 62  SEROPEDICA     6    0         0.00    840  0  0
 62  SEROPEDICA     7    0         0.00    858  0  0
 62  SEROPEDICA     8    1       353.00    840  0  0
 63  IBIRITE        1    1       226.00   1152  0  0
 64  CANOAS         1    1      248.573    240  0  0
 67  TERMONE        1    1        49.95    106  0  0
 67  TERMONE        2    1        50.97    106  0  0
 67  TERMONE        3    1        54.09    106  0  0
 68  TRES LAGOAS    1    0         0.00    399  0  0
 68  TRES LAGOAS    2    0         0.00  11399  0  0
 68  TRES LAGOAS    3    0         0.00  16104  0  0
 68  TRES LAGOAS    4    0         0.00   1092  0  0
 68  TRES LAGOAS    5    0         0.00  14064  1  0
 68  TRES LAGOAS    6    0         0.00   5227  1  0
 68  TRES LAGOAS    7    0         0.00  14064  0  0
 68  TRES LAGOAS    8    0         0.00   7080  0  0
 68  TRES LAGOAS    9    0         0.00   1007  0  0
 68  TRES LAGOAS   10    0         0.00   6942  0  0
 68  TRES LAGOAS   11    0         0.00   7032  0  0
 68  TRES LAGOAS   12    0         0.00  14040  0  0
 68  TRES LAGOAS   13    1       270.00    399  0  0
 68  TRES LAGOAS   14    0         0.00   6720  0  0
 68  TRES LAGOAS   15    0         0.00   5518  1  0
 69  TERMOPB        1    1        41.00     77  0  0
 69  TERMOPB        2    1        58.27    106  0  0
 69  TERMOPB        3    1        51.73    106  0  0
 70  GERAMAR II     1    1        43.60    106  0  0
 70  GERAMAR II     2    1        34.90    106  0  0
 70  GERAMAR II     3    1        43.60    106  0  0
 70  GERAMAR II     4    1        36.90    106  0  0
 73  GERAMAR I      1    1        43.60    106  0  0
 73  GERAMAR I      2    1        43.65    106  1  0
 73  GERAMAR I      3    1        36.85    106  1  0
 73  GERAMAR I      4    1        34.90    106  0  0
 83  VALE DO ACU    1    1       110.00    984  0  0
 83  VALE DO ACU    2    0         0.00   9917  0  0
 86  ST.CRUZ NOVA  11    0         0.00    671  0  0
 86  ST.CRUZ NOVA  21    1       175.00    648  0  0
 90  TERMOMACAE     1    0         0.00    950  0  0
