& CONDICOES INICIAIS DAS UNIDADES  
&
&Flags Ativos
UCTPAR 2
UCTERM 2
PINT
REGRANPTV     1
AVLCMO 1
&
&Flags Inativos
&UCTBUSLOC
&UCTHEURFP   1 100
&CONSTDADOS 0
&AJUSTEFCF
&TOLERILH 1
&CROSSOVER 1
&ENGOLIMENTO 0              
&                                                
INIT                                             
&us     nome       ug   st   GerInic     tempo MH A/D
&XX XXXXXXXXXXXX  XXX   XX   XXXXXXXXXX  XXXXX  X  X 
  1  ANGRA 1        1    1       640.00   1992  0  0
  4  ST.CRUZ 34     3    0         0.00  16604  0  0
  4  ST.CRUZ 34     4    0         0.00  16604  0  0
  9  R.SILVEIRA     1    0         0.00  16604  0  0
  9  R.SILVEIRA     2    0         0.00  16604  0  0
 12  CUIABA G CC    1    0         0.00   5688  1  0
 12  CUIABA G CC    2    0         0.00    456  0  0
 12  CUIABA G CC    3    0         0.00    480  0  0
 13  ANGRA 2        1    1      1350.00    522  0  0
 15  LINHARES       1    1        51.00    984  0  0
 15  LINHARES       2    1        51.00    984  0  0
 15  LINHARES       3    1        51.00    984  0  0
 15  LINHARES       4    1        51.00    984  0  0
 21  MARANHAO V     1    1       337.60     96  0  0
 24  J.LACERDA C    7    1       330.00    144  0  0
 25  J.LACERDA B    5    1       131.00   1920  0  0
 25  J.LACERDA B    6    1        89.00   2120  1  0
 26  J.LACERDA A1   1    1        35.00    204  0  0
 26  J.LACERDA A1   2    1        45.00    275  1  0
 27  J.LACERDA A2   3    1        55.00    312  0  0
 27  J.LACERDA A2   4    0         0.00    153  0  0
 28  FIGUEIRA       1    0         0.00  16604  0  0
 28  FIGUEIRA       3    0         0.00  16604  0  0
 35  URUGUAIANA     1    0         0.00  16604  0  0
 35  URUGUAIANA     2    0         0.00  16604  0  0
 35  URUGUAIANA     3    0         0.00  16604  0  0
 36  MARANHAO IV    1    1       337.60   2256  0  0
 42  FORTALEZA      1    0         0.00  15097  0  0
 42  FORTALEZA      2    0         0.00  15097  0  0
