& CONDICOES INICIAIS DAS UNIDADES                
&
UCTPAR 2
UCTERM 2
PINT
REGRANPTV     1
AVLCMO 1
&
&Flags Inativos
&UCTBUSLOC
&UCTHEURFP   1 100
&CONSTDADOS 0
&AJUSTEFCF
&TOLERILH 1
&CROSSOVER 1
&ENGOLIMENTO 0
&                                                
INIT                                             
&us     nome       ug   st   GerInic     tempo MH A/D
&XX XXXXXXXXXXXX  XXX   XX   XXXXXXXXXX  XXXXX  X  X 
  1  ANGRA 1        1    1       640.00   2328  0  0
  4  ST.CRUZ 34     3    0         0.00  16940  0  0
  4  ST.CRUZ 34     4    0         0.00  16940  0  0
  9  R.SILVEIRA     1    0         0.00  16940  0  0
  9  R.SILVEIRA     2    0         0.00  16940  0  0
 12  CUIABA G CC    1    0         0.00    288  0  0
 12  CUIABA G CC    2    0         0.00    792  0  0
 12  CUIABA G CC    3    0         0.00    816  0  0
 13  ANGRA 2        1    1      1350.00    858  0  0
 15  LINHARES       1    1        51.00   1320  0  0
 15  LINHARES       2    1        51.00   1320  0  0
 15  LINHARES       3    1        43.00   1320  0  0
 15  LINHARES       4    1        51.00   1320  0  0
 21  MARANHAO V     1    1       337.60    432  0  0
 24  J.LACERDA C    7    1       330.00    480  0  0
 25  J.LACERDA B    5    1       131.00   2256  0  0
 25  J.LACERDA B    6    1        89.00   2456  1  0
 26  J.LACERDA A1   1    1        40.00     38  1  0
 26  J.LACERDA A1   2    0         0.00     47  0  0
 27  J.LACERDA A2   3    1        66.00    648  0  0
 27  J.LACERDA A2   4    1        44.00    312  0  0
 28  FIGUEIRA       1    0         0.00  16940  0  0
 28  FIGUEIRA       3    0         0.00  16940  0  0
 35  URUGUAIANA     1    0         0.00  16940  0  0
 35  URUGUAIANA     2    0         0.00  16940  0  0
 35  URUGUAIANA     3    0         0.00  16940  0  0
 36  MARANHAO IV    1    1       337.60   2592  0  0
 42  FORTALEZA      1    0         0.00  15433  0  0
 42  FORTALEZA      2    0         0.00  15433  0  0
 42  FORTALEZA      3    0         0.00   2064  0  0
 43  TERMOBAHIA     1    1       139.21     78  0  0
 46  N.VENECIA 2    1    1       178.00    456  0  0
 47  TERMORIO       1    0         0.00    148  0  0
 47  TERMORIO       2    0         0.00    837  1  0
 47  TERMORIO       3    0         0.00   1704  0  0
 47  TERMORIO       4    0         0.00    826  0  0
 47  TERMORIO       5    0         0.00  14662  0  0
 47  TERMORIO       6    0         0.00   1032  0  0
 47  TERMORIO       7    0         0.00     54  1  0
 47  TERMORIO       8    0         0.00  14662  0  0
 47  TERMORIO       9    1       600.00     54  1  0
