& CONDICOES INICIAIS DAS UNIDADES                
&
UCTPAR 2
UCTERM 2
PINT
REGRANPTV     1
AVLCMO 1
CPLEXLOG
&
&Flags Inativos
&UCTBUSLOC
&UCTHEURFP   1 100
CONSTDADOS 0
&AJUSTEFCF
&TOLERILH 1
&CROSSOVER 1
&ENGOLIMENTO 0                
&                                                
INIT                                             
&us     nome       ug   st   GerInic     tempo MH A/D T  TITULINFLX
&XX XXXXXXXXXXXX  XXX   XX   XXXXXXXXXX  XXXXX  X  X  X  XXXXXXXXXX
  1  ANGRA 1        1    1      640.000   2664  0  0  1        640.
  4  ST.CRUZ 34     3    0        0.000  17276  0  0  0          0.
  4  ST.CRUZ 34     4    0        0.000  17276  0  0  0          0.
  9  R.SILVEIRA     1    0        0.000  17276  0  0  0          0.
  9  R.SILVEIRA     2    0        0.000  17276  0  0  0          0.
 12  CUIABA G CC    1    0        0.000    624  0  0  0          0.
 12  CUIABA G CC    2    0        0.000   1128  0  0  0          0.
 12  CUIABA G CC    3    0        0.000   1152  0  0  0          0.
 13  ANGRA 2        1    1     1350.000   1194  0  0  1       1350.
 15  LINHARES       1    0        0.000   1656  0  0  0          0.
 15  LINHARES       2    0        0.000   1656  0  0  0          0.
 15  LINHARES       3    0        0.000   1656  0  0  0          0.
 15  LINHARES       4    0        0.000   1656  0  0  0          0.
 21  MARANHAO V     1    1      337.600    768  0  0  0          0.
 24  J.LACERDA C    7    1      330.000    816  0  0  1        330.
 25  J.LACERDA B    5    1      131.000    168  0  0  1        220.
 25  J.LACERDA B    6    1       89.000   2792  1  0  1        220.
 26  J.LACERDA A1   1    1       45.000    120  0  0  1         80.
 26  J.LACERDA A1   2    1       35.000    288  0  0  1         80.
 27  J.LACERDA A2   3    1       66.000    984  0  0  3        110.
 27  J.LACERDA A2   4    1       44.000    648  0  0  3        110.
 28  FIGUEIRA       1    0        0.000  17276  0  0  0          0.
 28  FIGUEIRA       3    0        0.000  17276  0  0  0          0.
 35  URUGUAIANA     1    0        0.000  17276  0  0  0          0.
 35  URUGUAIANA     2    0        0.000  17276  0  0  0          0.
 35  URUGUAIANA     3    0        0.000  17276  0  0  0          0.
 36  MARANHAO IV    1    1      337.600    264  0  0  0          0.
 42  FORTALEZA      1    0        0.000  15769  0  0  0          0.
 42  FORTALEZA      2    0        0.000  15769  0  0  0          0.
 42  FORTALEZA      3    0        0.000   2400  0  0  0          0.
 43  TERMOBAHIA     1    1      174.000    414  0  0  1          0.
 46  N.VENECIA 2    1    1      178.000     96  0  0  0          0.
 47  TERMORIO       1    1      300.000     24  0  0  1        100.
 47  TERMORIO       2    0        0.000   1173  1  0  0        100.
 47  TERMORIO       3    0        0.000   2040  0  0  0        100.
 47  TERMORIO       4    0        0.000   1162  0  0  0        100.
 47  TERMORIO       5    0        0.000  14998  0  0  0        100.
 47  TERMORIO       6    0        0.000    192  0  0  0        100.
 47  TERMORIO       7    0        0.000    390  1  0  0        100.
 47  TERMORIO       8    0        0.000  14998  0  0  0        100.
 47  TERMORIO       9    0        0.000    288  0  0  0        100.
 47  TERMORIO      10    0        0.000  14998  0  0  0        100.
 47  TERMORIO      11    0        0.000   5736  0  0  0        100.
 47  TERMORIO      12    0        0.000    102  0  0  0        100.
 47  TERMORIO      13    0        0.000    288  0  0  0        100.
 47  TERMORIO      14    0        0.000     24  0  0  0        100.
 47  TERMORIO      15    0        0.000   6866  0  0  0        100.
 47  TERMORIO      16    0        0.000     84  0  0  0        100.
 47  TERMORIO      17    0        0.000   5662  1  0  0        100.
 47  TERMORIO      18    0        0.000   2507  1  0  0        100.
 47  TERMORIO      19    0        0.000   9768  0  0  0        100.
 47  TERMORIO      20    0        0.000   9192  0  0  0        100.
 47  TERMORIO      21    0        0.000   2136  0  0  0        100.
 47  TERMORIO      22    0        0.000   5105  1  0  0        100.
 47  TERMORIO      23    0        0.000  12000  1  0  0        100.
 47  TERMORIO      24    0        0.000  14998  0  0  0        100.
 47  TERMORIO      25    0        0.000  14998  0  0  0        100.
 47  TERMORIO      26    0        0.000  14998  0  0  0        100.
 47  TERMORIO      27    0        0.000   5270  1  0  0        100.
 47  TERMORIO      28    0        0.000  14998  0  0  0        100.
 47  TERMORIO      29    0        0.000  14998  0  0  0        100.
 47  TERMORIO      30    0        0.000  14998  0  0  0        100.
 47  TERMORIO      31    0        0.000   4279  0  0  0        100.
 48  ARAUCARIA      1    0        0.000  12694  1  0  0          0.
 48  ARAUCARIA      2    1      233.000     40  1  0  1          0.
 48  ARAUCARIA      3    0        0.000    866  1  0  0          0.
 49  VIANA          3    0        0.000   1454  0  0  0          0.
 49  VIANA          4    0        0.000   1750  1  0  0          0.
 49  VIANA          1    0        0.000   1115  0  0  0          0.
 49  VIANA          2    1      174.600    951  1  0  1          0.
 50  PIRAT.12 G     1    0        0.000  17276  0  0  0          0.
 50  PIRAT.12 G     2    0        0.000  17276  0  0  0          0.
 52  CAMPINA GDE    1    1       31.000      6  0  0  1          0.
 52  CAMPINA GDE    2    1       31.000     35  0  0  1          0.
 52  CAMPINA GDE    3    1       42.000      4  1  0  1          0.
 52  CAMPINA GDE    4    1       31.000     27  1  0  1          0.
 53  GLOBAL I       1    0        0.000   1315  0  0  0          0.
 53  GLOBAL I       2    0        0.000   1350  0  0  0          0.
 53  GLOBAL I       3    0        0.000    459  0  0  0          0.
 53  GLOBAL I       4    0        0.000  13368  0  0  0          0.
 53  GLOBAL I       5    0        0.000    420  1  0  0          0.
 53  GLOBAL I       6    0        0.000   1344  1  0  0          0.
 53  GLOBAL I       7    0        0.000     51  1  0  0          0.
 53  GLOBAL I       8    0        0.000     24  0  0  0          0.
 53  GLOBAL I       9    0        0.000    432  1  0  0          0.
 53  GLOBAL I      10    0        0.000     74  0  0  0          0.
 53  GLOBAL I      11    1      125.000     24  0  0  1          0.
 54  JUIZ DE FORA   1    1       35.000     59  0  0  1          0.
 54  JUIZ DE FORA   2    1       40.000     53  0  0  1          0.
 55  GLOBAL II      1    0        0.000    136  0  0  0          0.
 55  GLOBAL II      2    0        0.000     39  0  0  0          0.
 55  GLOBAL II      3    0        0.000    141  0  0  0          0.
 55  GLOBAL II      4    0        0.000    458  0  0  0          0.
 55  GLOBAL II      5    0        0.000  13368  0  0  0          0.
 55  GLOBAL II      6    0        0.000  13368  0  0  0          0.
 55  GLOBAL II      7    0        0.000     56  1  0  0          0.
 55  GLOBAL II      8    0        0.000    127  1  0  0          0.
 55  GLOBAL II      9    0        0.000    194  1  0  0          0.
 55  GLOBAL II     10    0        0.000     32  0  0  0          0.
 55  GLOBAL II     11    1      125.000     32  0  0  1          0.
 57  MARACANAU I    1    1       17.000    131  0  0  1          0.
 57  MARACANAU I    2    0        0.000   1269  1  0  0          0.
 57  MARACANAU I    3    1       20.500    158  0  0  1          0.
 57  MARACANAU I    4    1       20.500    152  1  0  1          0.
 57  MARACANAU I    5    0        0.000   3623  1  0  0          0.
 57  MARACANAU I    6    0        0.000    158  0  0  0          0.
 57  MARACANAU I    7    0        0.000    268  0  0  0          0.
 57  MARACANAU I    8    0        0.000     15  0  0  1          0.
 58  TERMOCEARA     1    0        0.000   5754  0  0  0          0.
 58  TERMOCEARA     2    0        0.000   5711  0  0  0          0.
 58  TERMOCEARA     3    0        0.000   5718  1  0  0          0.
 58  TERMOCEARA     4    0        0.000  14280  1  0  0          0.
 60  NORTEFLU       1    0        0.000  20535  0  0  0          0.
 60  NORTEFLU       2    0        0.000  20535  0  0  0          0.
 60  NORTEFLU       3    0        0.000  20535  0  0  0          0.
 60  NORTEFLU       4    0        0.000   2880  0  0  0          0.
 60  NORTEFLU       5    0        0.000   4392  0  0  0          0.
 60  NORTEFLU       6    0        0.000   4977  1  0  0          0.
 60  NORTEFLU       7    0        0.000   2880  0  0  0          0.
 62  SEROPEDICA     1    0        0.000   2009  1  0  0          0.
 62  SEROPEDICA     2    0        0.000   5718  0  0  0          0.
 62  SEROPEDICA     3    0        0.000   5350  1  0  0          0.
 62  SEROPEDICA     4    0        0.000   2222  1  0  0          0.
 62  SEROPEDICA     5    0        0.000   2032  0  0  0          0.
 62  SEROPEDICA     6    0        0.000   1680  0  0  0          0.
 62  SEROPEDICA     7    1      310.000     48  0  0  1          0.
 62  SEROPEDICA     8    0        0.000     98  0  0  0          0.
 63  IBIRITE        1    0        0.000    264  0  0  0          0.
 64  CANOAS         1    1      230.000    618  0  0  1          0.
 67  TERMONE        1    1       49.949    243  1  0  1          0.
 67  TERMONE        2    1       54.965    230  0  0  1          0.
 67  TERMONE        3    1       54.086    230  1  0  1          0.
 68  TRES LAGOAS    1    0        0.000     87  0  0  0          0.
 68  TRES LAGOAS    2    0        0.000  12239  0  0  0          0.
 68  TRES LAGOAS    3    0        0.000  16944  0  0  0          0.
 68  TRES LAGOAS    4    0        0.000   1932  0  0  0          0.
 68  TRES LAGOAS    5    0        0.000  14904  1  0  0          0.
 68  TRES LAGOAS    6    0        0.000   6067  1  0  0          0.
 68  TRES LAGOAS    7    0        0.000  14904  0  0  0          0.
 68  TRES LAGOAS    8    0        0.000   7920  0  0  0          0.
 68  TRES LAGOAS    9    0        0.000      2  0  0  0          0.
 68  TRES LAGOAS   10    0        0.000   7782  0  0  0          0.
 68  TRES LAGOAS   11    0        0.000   7872  0  0  0          0.
 68  TRES LAGOAS   12    0        0.000  14880  0  0  0          0.
 68  TRES LAGOAS   13    1      270.000      2  0  0  1          0.
 68  TRES LAGOAS   14    0        0.000   7560  0  0  0          0.
 68  TRES LAGOAS   15    0        0.000   6358  1  0  0          0.
 69  TERMOPB        1    1       49.949    216  0  0  1          0.
 69  TERMOPB        2    1       46.965    111  0  0  1          0.
 69  TERMOPB        3    1       54.086    228  1  0  1          0.
 70  GERAMAR II     1    1       43.600    258  1  0  1          0.
 70  GERAMAR II     2    1       34.900    258  0  0  1          0.
 70  GERAMAR II     3    1       43.600    258  1  0  1          0.
 70  GERAMAR II     4    1       36.900    258  1  0  1          0.
 73  GERAMAR I      1    1       43.600    258  1  0  1          0.
 73  GERAMAR I      2    1       43.650    258  1  0  1          0.
 73  GERAMAR I      3    1       36.850    258  1  0  1          0.
 73  GERAMAR I      4    1       34.900    258  0  0  1          0.
 83  VALE DO ACU    1    1      110.000   1814  0  0  1          0.
 83  VALE DO ACU    2    0        0.000  10757  0  0  0          0.
