& CONDICOES INICIAIS DAS UNIDADES                
&
UCTPAR 2
UCTERM 2
PINT
REGRANPTV     1
AVLCMO 1
CPLEXLOG
&
&Flags Inativos
&UCTBUSLOC
&UCTHEURFP   1 100
&CONSTDADOS 0
&AJUSTEFCF
&TOLERILH 1
&CROSSOVER 1
&ENGOLIMENTO 0
&                                                 
INIT                                              
&us     nome       ug   st   GerInic     tempo MH A/D T  TITULINFLX
&XX XXXXXXXXXXXX  XXX   XX   XXXXXXXXXX  XXXXX  X  X  X  XXXXXXXXXX
  1  ANGRA 1        1    1      640.000   3672  0  0  1        640.
  4  ST.CRUZ 34     3    0        0.000  18284  0  0  0          0.
  4  ST.CRUZ 34     4    0        0.000  18284  0  0  0          0.
  9  R.SILVEIRA     1    0        0.000  18284  0  0  0          0.
  9  R.SILVEIRA     2    0        0.000  18284  0  0  0          0.
 12  CUIABA G CC    1    0        0.000   1632  0  0  0          0.
 12  CUIABA G CC    2    0        0.000   2136  0  0  0          0.
 12  CUIABA G CC    3    0        0.000   2160  0  0  0          0.
 13  ANGRA 2        1    1     1350.000   2202  0  0  1       1350.
 15  LINHARES       1    1       43.000    912  0  0  0          0.
 15  LINHARES       2    1       51.000    912  0  0  0          0.
 15  LINHARES       3    1       51.000    912  0  0  0          0.
 15  LINHARES       4    1       51.000    912  0  0  0          0.
 21  MARANHAO V     1    0        0.000    311  0  0  0          0.
 24  J.LACERDA C    7    0        0.000    286  1  0  0          0.
 25  J.LACERDA B    5    0        0.000    287  0  0  0          0.
 25  J.LACERDA B    6    0        0.000    287  0  0  0          0.
 26  J.LACERDA A1   1    0        0.000    287  0  0  0          0.
 26  J.LACERDA A1   2    0        0.000    373  1  0  0          0.
 27  J.LACERDA A2   3    0        0.000    172  1  0  0          0.
 27  J.LACERDA A2   4    1       35.010    140  1  0  3          0.
 28  FIGUEIRA       1    0        0.000  18284  0  0  0          0.
 28  FIGUEIRA       3    0        0.000  18284  0  0  0          0.
 35  URUGUAIANA     1    0        0.000  18284  0  0  0          0.
 35  URUGUAIANA     2    0        0.000  18284  0  0  0          0.
 35  URUGUAIANA     3    0        0.000  18284  0  0  0          0.
 36  MARANHAO IV    1    0        0.000    311  1  0  0          0.
 42  FORTALEZA      1    0        0.000  16777  0  0  0          0.
 42  FORTALEZA      2    0        0.000  16777  0  0  0          0.
 42  FORTALEZA      3    0        0.000   3408  0  0  0          0.
 43  TERMOBAHIA     1    0        0.000    983  0  0  0          0.
 46  N.VENECIA 2    1    0        0.000    311  1  0  0          0.
 47  TERMORIO       1    0        0.000     46  1  0  0          0.
 47  TERMORIO       2    0        0.000    901  0  0  0          0.
 47  TERMORIO       3    0        0.000   3048  0  0  0          0.
 47  TERMORIO       4    0        0.000   2170  0  0  0          0.
 47  TERMORIO       5    0        0.000  16006  0  0  0          0.
 47  TERMORIO       6    0        0.000    230  0  0  0          0.
 47  TERMORIO       7    0        0.000   1398  1  0  0          0.
 47  TERMORIO       8    0        0.000    576  0  0  0          0.
 47  TERMORIO       9    0        0.000   1296  0  0  0          0.
 47  TERMORIO      10    0        0.000  16006  0  0  0          0.
 47  TERMORIO      11    0        0.000    672  1  0  0          0.
 47  TERMORIO      12    0        0.000    365  0  0  0          0.
 47  TERMORIO      13    0        0.000   1296  0  0  0          0.
 47  TERMORIO      14    0        0.000   1032  0  0  0          0.
 47  TERMORIO      15    0        0.000   7874  0  0  0          0.
 47  TERMORIO      16    0        0.000    312  0  0  0          0.
 47  TERMORIO      17    0        0.000   6670  1  0  0          0.
 47  TERMORIO      18    0        0.000   3515  1  0  0          0.
 47  TERMORIO      19    0        0.000  10776  0  0  0          0.
 47  TERMORIO      20    0        0.000  10200  0  0  0          0.
 47  TERMORIO      21    0        0.000   3144  0  0  0          0.
 47  TERMORIO      22    0        0.000   6113  1  0  0          0.
 47  TERMORIO      23    0        0.000  13008  1  0  0          0.
 47  TERMORIO      24    0        0.000  16006  0  0  0          0.
 47  TERMORIO      25    0        0.000  16006  0  0  0          0.
 47  TERMORIO      26    0        0.000  16006  0  0  0          0.
 47  TERMORIO      27    0        0.000    792  0  0  0          0.
 47  TERMORIO      28    0        0.000  16006  0  0  0          0.
 47  TERMORIO      29    0        0.000  16006  0  0  0          0.
 47  TERMORIO      30    0        0.000  16006  0  0  0          0.
 47  TERMORIO      31    0        0.000   5287  0  0  0          0.
 48  ARAUCARIA      1    0        0.000  13702  1  0  0          0.
 48  ARAUCARIA      2    0        0.000    976  1  0  0          0.
 48  ARAUCARIA      3    0        0.000   1874  1  0  0          0.
 49  VIANA          3    0        0.000   2462  0  0  0          0.
 49  VIANA          4    0        0.000   2758  1  0  0          0.
 49  VIANA          1    0        0.000    929  0  0  0          0.
 49  VIANA          2    0        0.000    229  1  0  0          0.
 50  PIRAT.12 G     1    0        0.000  18284  0  0  0          0.
 50  PIRAT.12 G     2    0        0.000  18284  0  0  0          0.
 52  CAMPINA GDE    1    0        0.000    984  0  0  0          0.
 52  CAMPINA GDE    2    0        0.000    984  0  0  0          0.
 52  CAMPINA GDE    3    0        0.000    984  0  0  0          0.
 52  CAMPINA GDE    4    0        0.000    983  1  0  0          0.
 53  GLOBAL I       1    0        0.000   2323  0  0  0          0.
 53  GLOBAL I       2    0        0.000   2358  0  0  0          0.
 53  GLOBAL I       3    0        0.000   1467  0  0  0          0.
 53  GLOBAL I       4    0        0.000  14376  0  0  0          0.
 53  GLOBAL I       5    0        0.000   1428  1  0  0          0.
 53  GLOBAL I       6    0        0.000   2352  1  0  0          0.
 53  GLOBAL I       7    0        0.000   1059  1  0  0          0.
 53  GLOBAL I       8    0        0.000   1032  0  0  0          0.
 53  GLOBAL I       9    0        0.000   1440  1  0  0          0.
 53  GLOBAL I      10    0        0.000   1082  0  0  0          0.
 53  GLOBAL I      11    0        0.000    982  1  0  0          0.
 54  JUIZ DE FORA   1    0        0.000    312  0  0  0          0.
 54  JUIZ DE FORA   2    0        0.000    311  1  0  0          0.
 55  GLOBAL II      1    0        0.000   1144  0  0  0          0.
 55  GLOBAL II      2    0        0.000   1047  0  0  0          0.
 55  GLOBAL II      3    0        0.000   1149  0  0  0          0.
 55  GLOBAL II      4    0        0.000   1466  0  0  0          0.
 55  GLOBAL II      5    0        0.000  14376  0  0  0          0.
 55  GLOBAL II      6    0        0.000  14376  0  0  0          0.
 55  GLOBAL II      7    0        0.000   1064  1  0  0          0.
 55  GLOBAL II      8    0        0.000   1135  1  0  0          0.
 55  GLOBAL II      9    0        0.000   1202  1  0  0          0.
 55  GLOBAL II     10    0        0.000   1040  0  0  0          0.
 55  GLOBAL II     11    0        0.000    982  1  0  0          0.
 57  MARACANAU I    1    0        0.000    983  1  0  0          0.
 57  MARACANAU I    2    0        0.000   2277  1  0  0          0.
 57  MARACANAU I    3    0        0.000    983  1  0  0          0.
 57  MARACANAU I    4    0        0.000    983  1  0  0          0.
 57  MARACANAU I    5    0        0.000   4631  1  0  0          0.
 57  MARACANAU I    6    0        0.000   1166  0  0  0          0.
 57  MARACANAU I    7    0        0.000   1276  0  0  0          0.
 57  MARACANAU I    8    0        0.000   1023  0  0  0          0.
 58  TERMOCEARA     1    0        0.000   6762  0  0  0          0.
 58  TERMOCEARA     2    0        0.000   6719  0  0  0          0.
 58  TERMOCEARA     3    0        0.000   6726  1  0  0          0.
 58  TERMOCEARA     4    0        0.000  15288  1  0  0          0.
 60  NORTEFLU       1    0        0.000  21543  0  0  0        700.
 60  NORTEFLU       2    0        0.000  21543  0  0  0        700.
 60  NORTEFLU       3    0        0.000  21543  0  0  0        700.
 60  NORTEFLU       4    0        0.000    888  0  0  0        700.
 60  NORTEFLU       5    0        0.000    780  1  0  0        700.
 60  NORTEFLU       6    0        0.000   5985  1  0  0        700.
 60  NORTEFLU       7    1      700.000    780  1  0  0        700.
 62  SEROPEDICA     1    0        0.000   3017  1  0  0          0.
 62  SEROPEDICA     2    0        0.000    294  0  0  0          0.
 62  SEROPEDICA     3    0        0.000    283  1  0  0          0.
 62  SEROPEDICA     4    0        0.000    270  0  0  0          0.
 62  SEROPEDICA     5    0        0.000    299  0  0  0          0.
 62  SEROPEDICA     6    0        0.000    264  1  0  0          0.
 62  SEROPEDICA     7    0        0.000    434  0  0  0          0.
 62  SEROPEDICA     8    0        0.000    312  0  0  0          0.
 63  IBIRITE        1    0        0.000   1272  0  0  0          0.
 64  CANOAS         1    0        0.000    646  1  0  0          0.
 67  TERMONE        1    0        0.000     91  0  0  0          0.
 67  TERMONE        2    0        0.000     87  0  0  0          0.
 67  TERMONE        3    0        0.000     96  1  0  0          0.
 68  TRES LAGOAS    1    0        0.000   1095  0  0  0          0.
 68  TRES LAGOAS    2    0        0.000  13247  0  0  0          0.
 68  TRES LAGOAS    3    0        0.000  17952  0  0  0          0.
 68  TRES LAGOAS    4    0        0.000   2940  0  0  0          0.
 68  TRES LAGOAS    5    0        0.000  15912  1  0  0          0.
 68  TRES LAGOAS    6    0        0.000   7075  1  0  0          0.
 68  TRES LAGOAS    7    0        0.000    328  1  0  0          0.
 68  TRES LAGOAS    8    0        0.000   8928  0  0  0          0.
 68  TRES LAGOAS    9    0        0.000    243  1  0  0          0.
 68  TRES LAGOAS   10    0        0.000   8790  0  0  0          0.
 68  TRES LAGOAS   11    0        0.000   8880  0  0  0          0.
 68  TRES LAGOAS   12    0        0.000  15888  0  0  0          0.
 68  TRES LAGOAS   13    0        0.000    648  0  0  0          0.
 68  TRES LAGOAS   14    0        0.000   8568  0  0  0          0.
 68  TRES LAGOAS   15    0        0.000   7366  1  0  0          0.
 69  TERMOPB        1    0        0.000    115  1  0  0          0.
 69  TERMOPB        2    0        0.000    110  1  0  0          0.
 69  TERMOPB        3    0        0.000    119  0  0  0          0.
 70  GERAMAR II     1    0        0.000    983  0  0  0          0.
 70  GERAMAR II     2    0        0.000    983  1  0  0          0.
 70  GERAMAR II     3    0        0.000    983  0  0  0          0.
 70  GERAMAR II     4    0        0.000    983  0  0  0          0.
 73  GERAMAR I      1    0        0.000    983  0  0  0          0.
 73  GERAMAR I      2    0        0.000    983  0  0  0          0.
 73  GERAMAR I      3    0        0.000    983  0  0  0          0.
 73  GERAMAR I      4    0        0.000    983  1  0  0          0.
 83  VALE DO ACU    1    0        0.000    983  0  0  0          0.
 83  VALE DO ACU    2    0        0.000  11765  0  0  0          0.
 86  ST.CRUZ NOVA  11    1      175.000    384  1  0  0          0.
 86  ST.CRUZ NOVA  21    1      175.000    504  0  0  0          0.
 90  TERMOMACAE     1    0        0.000    648  0  0  0          0.
 90  TERMOMACAE     2    0        0.000    667  1  0  0          0.
 90  TERMOMACAE     3    0        0.000   8335  1  0  0          0.
 90  TERMOMACAE     4    0        0.000    928  1  0  0          0.
 90  TERMOMACAE     5    0        0.000    754  1  0  0          0.
 90  TERMOMACAE     6    0        0.000   6983  0  0  0          0.
 90  TERMOMACAE     7    0        0.000  17952  0  0  0          0.
