& CONDICOES INICIAIS DAS UNIDADES
&
UCTPAR 2
UCTERM 2
PINT
REGRANPTV     1
AVLCMO 1
CPLEXLOG
&
&Flags Inativos
&UCTBUSLOC
&UCTHEURFP   1 100
&CONSTDADOS 0
&AJUSTEFCF
&TOLERILH 1
&CROSSOVER 1
&ENGOLIMENTO 0                
&                                                
INIT                                             
&us     nome       ug   st   GerInic     tempo MH A/D T  TITULINFLX
&XX XXXXXXXXXXXX  XXX   XX   XXXXXXXXXX  XXXXX  X  X  X  XXXXXXXXXX
  1  ANGRA 1        1    1      640.000   3840  0  0  1        640.
  4  ST.CRUZ 34     3    0        0.000  18452  0  0  0          0.
  4  ST.CRUZ 34     4    0        0.000  18452  0  0  0          0.
  9  R.SILVEIRA     1    0        0.000  18452  0  0  0          0.
  9  R.SILVEIRA     2    0        0.000  18452  0  0  0          0.
 12  CUIABA G CC    1    0        0.000   1800  0  0  0          0.
 12  CUIABA G CC    2    0        0.000   2304  0  0  0          0.
 12  CUIABA G CC    3    0        0.000   2328  0  0  0          0.
 13  ANGRA 2        1    1     1350.000   2370  0  0  1       1350.
 15  LINHARES       1    1       43.000   1080  0  0  0          0.
 15  LINHARES       2    1       51.000   1080  0  0  0          0.
 15  LINHARES       3    1       51.000   1080  0  0  0          0.
 15  LINHARES       4    1       51.000   1080  0  0  0          0.
 21  MARANHAO V     1    0        0.000    479  0  0  0          0.
 24  J.LACERDA C    7    0        0.000    454  1  0  0          0.
 25  J.LACERDA B    5    0        0.000    455  0  0  0          0.
 25  J.LACERDA B    6    0        0.000    455  0  0  0          0.
 26  J.LACERDA A1   1    0        0.000    455  0  0  0          0.
 26  J.LACERDA A1   2    0        0.000    541  1  0  0          0.
 27  J.LACERDA A2   3    1       35.010     92  1  0  3          0.
 27  J.LACERDA A2   4    0        0.000     92  1  0  0          0.
 28  FIGUEIRA       1    0        0.000  18452  0  0  0          0.
 28  FIGUEIRA       3    0        0.000  18452  0  0  0          0.
 35  URUGUAIANA     1    0        0.000  18452  0  0  0          0.
 35  URUGUAIANA     2    0        0.000  18452  0  0  0          0.
 35  URUGUAIANA     3    0        0.000  18452  0  0  0          0.
 36  MARANHAO IV    1    0        0.000    479  1  0  0          0.
 42  FORTALEZA      1    0        0.000  16945  0  0  0          0.
 42  FORTALEZA      2    0        0.000  16945  0  0  0          0.
 42  FORTALEZA      3    0        0.000   3576  0  0  0          0.
 43  TERMOBAHIA     1    0        0.000   1151  0  0  0          0.
 46  N.VENECIA 2    1    0        0.000    479  1  0  0          0.
 47  TERMORIO       1    0        0.000    214  1  0  0          0.
 47  TERMORIO       2    0        0.000   1069  0  0  0          0.
 47  TERMORIO       3    0        0.000   3216  0  0  0          0.
 47  TERMORIO       4    0        0.000   2338  0  0  0          0.
 47  TERMORIO       5    0        0.000  16174  0  0  0          0.
 47  TERMORIO       6    0        0.000    398  0  0  0          0.
 47  TERMORIO       7    0        0.000   1566  1  0  0          0.
 47  TERMORIO       8    0        0.000    744  0  0  0          0.
 47  TERMORIO       9    0        0.000   1464  0  0  0          0.
 47  TERMORIO      10    0        0.000  16174  0  0  0          0.
 47  TERMORIO      11    0        0.000    840  1  0  0          0.
 47  TERMORIO      12    0        0.000    533  0  0  0          0.
 47  TERMORIO      13    0        0.000   1464  0  0  0          0.
 47  TERMORIO      14    0        0.000   1200  0  0  0          0.
 47  TERMORIO      15    0        0.000   8042  0  0  0          0.
 47  TERMORIO      16    0        0.000    480  0  0  0          0.
 47  TERMORIO      17    1      155.000     24  1  0  4          0.
 47  TERMORIO      18    0        0.000    120  0  0  0          0.
 47  TERMORIO      19    0        0.000  10944  0  0  0          0.
 47  TERMORIO      20    0        0.000  10368  0  0  0          0.
 47  TERMORIO      21    0        0.000   3312  0  0  0          0.
 47  TERMORIO      22    0        0.000   6281  1  0  0          0.
 47  TERMORIO      23    0        0.000  13176  1  0  0          0.
 47  TERMORIO      24    0        0.000  16174  0  0  0          0.
 47  TERMORIO      25    0        0.000  16174  0  0  0          0.
 47  TERMORIO      26    0        0.000  16174  0  0  0          0.
 47  TERMORIO      27    0        0.000    960  0  0  0          0.
 47  TERMORIO      28    0        0.000  16174  0  0  0          0.
 47  TERMORIO      29    0        0.000  16174  0  0  0          0.
 47  TERMORIO      30    0        0.000  16174  0  0  0          0.
 47  TERMORIO      31    0        0.000   5455  0  0  0          0.
 48  ARAUCARIA      1    0        0.000  13870  1  0  0          0.
 48  ARAUCARIA      2    0        0.000   1144  1  0  0          0.
 48  ARAUCARIA      3    0        0.000   2042  1  0  0          0.
 49  VIANA          3    0        0.000   2630  0  0  0          0.
 49  VIANA          4    0        0.000   2926  1  0  0          0.
 49  VIANA          1    0        0.000   1097  0  0  0          0.
 49  VIANA          2    0        0.000    397  1  0  0          0.
