& CONDICOES INICIAIS DAS UNIDADES                
&
UCTPAR 2
UCTERM 2
PINT
REGRANPTV     1
AVLCMO 1
CPLEXLOG
&
&Flags Inativos
&UCTBUSLOC
&UCTHEURFP   1 100
&CONSTDADOS 0
&AJUSTEFCF
&TOLERILH 1
&CROSSOVER 1
&ENGOLIMENTO 0                
&                                                
INIT                                             
&us     nome       ug   st   GerInic     tempo MH A/D T  TITULINFLX
&XX XXXXXXXXXXXX  XXX   XX   XXXXXXXXXX  XXXXX  X  X  X  XXXXXXXXXX
  1  ANGRA 1        1    1      640.000   4512  0  0  1        640.
  4  ST.CRUZ 34     3    0        0.000  19124  0  0  0          0.
  4  ST.CRUZ 34     4    0        0.000  19124  0  0  0          0.
  9  R.SILVEIRA     1    0        0.000  19124  0  0  0          0.
  9  R.SILVEIRA     2    0        0.000  19124  0  0  0          0.
 12  CUIABA G CC    1    0        0.000   2472  0  0  0          0.
 12  CUIABA G CC    2    0        0.000   2976  0  0  0          0.
 12  CUIABA G CC    3    0        0.000   3000  0  0  0          0.
 13  ANGRA 2        1    1     1350.000    509  0  0  1       1350.
 15  LINHARES       1    1       43.000   1752  0  0  0          0.
 15  LINHARES       2    1       51.000   1752  0  0  0          0.
 15  LINHARES       3    1       51.000   1752  0  0  0          0.
 15  LINHARES       4    1       51.000   1752  0  0  0          0.
 21  MARANHAO V     1    0        0.000   1151  0  0  0          0.
 24  J.LACERDA C    7    0        0.000   1126  1  0  0          0.
 25  J.LACERDA B    5    0        0.000   1127  0  0  0          0.
 25  J.LACERDA B    6    1       80.010    139  1  0  3          0.
 26  J.LACERDA A1   1    0        0.000   1127  0  0  0          0.
 26  J.LACERDA A1   2    0        0.000   1213  1  0  0          0.
 27  J.LACERDA A2   3    0        0.000     24  1  0  0          0.
 27  J.LACERDA A2   4    1       35.010    233  1  0  3          0.
 28  FIGUEIRA       1    0        0.000  19124  0  0  0          0.
 28  FIGUEIRA       3    0        0.000  19124  0  0  0          0.
 35  URUGUAIANA     1    0        0.000  19124  0  0  0          0.
 35  URUGUAIANA     2    0        0.000  19124  0  0  0          0.
 35  URUGUAIANA     3    0        0.000  19124  0  0  0          0.
 36  MARANHAO IV    1    0        0.000   1151  1  0  0          0.
 42  FORTALEZA      1    0        0.000  17617  0  0  0          0.
 42  FORTALEZA      2    0        0.000  17617  0  0  0          0.
 42  FORTALEZA      3    0        0.000   4248  0  0  0          0.
 43  TERMOBAHIA     1    0        0.000   1823  0  0  0          0.
 46  N.VENECIA 2    1    0        0.000   1151  1  0  0          0.
 47  TERMORIO       1    1      270.000    696  1  0  2        270.
 47  TERMORIO       2    0        0.000   1741  0  0  0        270.
 47  TERMORIO       3    0        0.000   3888  0  0  0        270.
 47  TERMORIO       4    0        0.000   3010  0  0  0        270.
 47  TERMORIO       5    0        0.000  16846  0  0  0        270.
 47  TERMORIO       6    0        0.000   1070  0  0  0        270.
 47  TERMORIO       7    0        0.000   2238  1  0  0        270.
 47  TERMORIO       8    0        0.000   1416  0  0  0        270.
 47  TERMORIO       9    0        0.000   2136  0  0  0        270.
 47  TERMORIO      10    0        0.000  16846  0  0  0        270.
 47  TERMORIO      11    0        0.000   1512  1  0  0        270.
 47  TERMORIO      12    0        0.000   1205  0  0  0        270.
 47  TERMORIO      13    0        0.000   2136  0  0  0        270.
 47  TERMORIO      14    0        0.000   1872  0  0  0        270.
 47  TERMORIO      15    0        0.000   8714  0  0  0        270.
 47  TERMORIO      16    0        0.000   1152  0  0  0        270.
 47  TERMORIO      17    0        0.000    886  1  0  0        270.
 47  TERMORIO      18    0        0.000    792  0  0  0        270.
 47  TERMORIO      19    0        0.000  11616  0  0  0        270.
 47  TERMORIO      20    0        0.000  11040  0  0  0        270.
 47  TERMORIO      21    0        0.000   3984  0  0  0        270.
 47  TERMORIO      22    0        0.000   6953  1  0  0        270.
 47  TERMORIO      23    0        0.000  13848  1  0  0        270.
 47  TERMORIO      24    0        0.000  16846  0  0  0        270.
 47  TERMORIO      25    0        0.000  16846  0  0  0        270.
 47  TERMORIO      26    0        0.000  16846  0  0  0        270.
 47  TERMORIO      27    0        0.000   1632  0  0  0        270.
 47  TERMORIO      28    0        0.000  16846  0  0  0        270.
 47  TERMORIO      29    0        0.000  16846  0  0  0        270.
 47  TERMORIO      30    0        0.000  16846  0  0  0        270.
 47  TERMORIO      31    0        0.000   6127  0  0  0        270.
 48  ARAUCARIA      1    0        0.000  14542  1  0  0          0.
 48  ARAUCARIA      2    0        0.000   1816  1  0  0          0.
 48  ARAUCARIA      3    0        0.000   2714  1  0  0          0.
 49  VIANA          3    0        0.000    264  1  0  0          0.
 49  VIANA          4    0        0.000    263  0  0  0          0.
 49  VIANA          1    0        0.000   1769  0  0  0          0.
 49  VIANA          2    0        0.000    250  1  0  0          0.
 50  PIRAT.12 G     1    0        0.000  19124  0  0  0          0.
 50  PIRAT.12 G     2    0        0.000  19124  0  0  0          0.
 52  CAMPINA GDE    1    0        0.000   1824  0  0  0          0.
 52  CAMPINA GDE    2    0        0.000   1824  0  0  0          0.
 52  CAMPINA GDE    3    0        0.000   1824  0  0  0          0.
 52  CAMPINA GDE    4    0        0.000   1823  1  0  0          0.
 53  GLOBAL I       1    0        0.000   3163  0  0  0          0.
 53  GLOBAL I       2    0        0.000   3198  0  0  0          0.
 53  GLOBAL I       3    0        0.000   2307  0  0  0          0.
 53  GLOBAL I       4    0        0.000  15216  0  0  0          0.
 53  GLOBAL I       5    0        0.000   2268  1  0  0          0.
 53  GLOBAL I       6    0        0.000   3192  1  0  0          0.
 53  GLOBAL I       7    0        0.000   1899  1  0  0          0.
 53  GLOBAL I       8    0        0.000   1872  0  0  0          0.
 53  GLOBAL I       9    0        0.000   2280  1  0  0          0.
 53  GLOBAL I      10    0        0.000   1922  0  0  0          0.
 53  GLOBAL I      11    0        0.000   1822  1  0  0          0.
 54  JUIZ DE FORA   1    0        0.000   1152  0  0  0          0.
 54  JUIZ DE FORA   2    0        0.000   1151  1  0  0          0.
 55  GLOBAL II      1    0        0.000   1984  0  0  0          0.
 55  GLOBAL II      2    0        0.000   1887  0  0  0          0.
 55  GLOBAL II      3    0        0.000   1989  0  0  0          0.
 55  GLOBAL II      4    0        0.000   2306  0  0  0          0.
 55  GLOBAL II      5    0        0.000  15216  0  0  0          0.
 55  GLOBAL II      6    0        0.000  15216  0  0  0          0.
 55  GLOBAL II      7    0        0.000   1904  1  0  0          0.
 55  GLOBAL II      8    0        0.000   1975  1  0  0          0.
 55  GLOBAL II      9    0        0.000   2042  1  0  0          0.
 55  GLOBAL II     10    0        0.000   1880  0  0  0          0.
 55  GLOBAL II     11    0        0.000   1822  1  0  0          0.
 57  MARACANAU I    1    0        0.000   1823  1  0  0          0.
 57  MARACANAU I    2    0        0.000   3117  1  0  0          0.
 57  MARACANAU I    3    0        0.000   1823  1  0  0          0.
 57  MARACANAU I    4    0        0.000   1823  1  0  0          0.
 57  MARACANAU I    5    0        0.000   5471  1  0  0          0.
 57  MARACANAU I    6    0        0.000   2006  0  0  0          0.
 57  MARACANAU I    7    0        0.000   2116  0  0  0          0.
 57  MARACANAU I    8    0        0.000   1863  0  0  0          0.
 58  TERMOCEARA     1    0        0.000   7602  0  0  0          0.
 58  TERMOCEARA     2    0        0.000   7559  0  0  0          0.
 58  TERMOCEARA     3    0        0.000   7566  1  0  0          0.
 58  TERMOCEARA     4    0        0.000  16128  1  0  0          0.
 60  NORTEFLU       1    0        0.000  22383  0  0  0        630.
 60  NORTEFLU       2    0        0.000  22383  0  0  0        630.
 60  NORTEFLU       3    0        0.000  22383  0  0  0        630.
 60  NORTEFLU       4    0        0.000   1728  0  0  0        630.
 60  NORTEFLU       5    0        0.000   1620  1  0  0        630.
 60  NORTEFLU       6    0        0.000     96  0  0  0        630.
 60  NORTEFLU       7    1      630.000     96  0  0  0        630.
 62  SEROPEDICA     1    0        0.000    675  0  0  0          0.
 62  SEROPEDICA     2    0        0.000    680  0  0  0          0.
 62  SEROPEDICA     3    0        0.000   1123  1  0  0          0.
 62  SEROPEDICA     4    0        0.000   1110  0  0  0          0.
 62  SEROPEDICA     5    0        0.000   1139  0  0  0          0.
 62  SEROPEDICA     6    0        0.000   1104  1  0  0          0.
 62  SEROPEDICA     7    0        0.000   1274  0  0  0          0.
 62  SEROPEDICA     8    0        0.000   1152  0  0  0          0.
 63  IBIRITE        1    0        0.000   2112  0  0  0          0.
 64  CANOAS         1    0        0.000   1486  1  0  0          0.
 67  TERMONE        1    0        0.000    931  0  0  0          0.
 67  TERMONE        2    0        0.000    927  0  0  0          0.
 67  TERMONE        3    0        0.000     52  1  0  0          0.
 68  TRES LAGOAS    1    0        0.000   1935  0  0  0          0.
 68  TRES LAGOAS    2    0        0.000  14087  0  0  0          0.
 68  TRES LAGOAS    3    0        0.000  18792  0  0  0          0.
 68  TRES LAGOAS    4    0        0.000   3780  0  0  0          0.
 68  TRES LAGOAS    5    0        0.000  16752  1  0  0          0.
 68  TRES LAGOAS    6    0        0.000   7915  1  0  0          0.
 68  TRES LAGOAS    7    0        0.000   1168  1  0  0          0.
 68  TRES LAGOAS    8    0        0.000   9768  0  0  0          0.
 68  TRES LAGOAS    9    0        0.000   1083  1  0  0          0.
 68  TRES LAGOAS   10    0        0.000   9630  0  0  0          0.
 68  TRES LAGOAS   11    0        0.000   9720  0  0  0          0.
 68  TRES LAGOAS   12    0        0.000  16728  0  0  0          0.
 68  TRES LAGOAS   13    0        0.000   1488  0  0  0          0.
 68  TRES LAGOAS   14    0        0.000   9408  0  0  0          0.
 68  TRES LAGOAS   15    0        0.000   8206  1  0  0          0.
 69  TERMOPB        1    0        0.000    955  1  0  0          0.
 69  TERMOPB        2    0        0.000     39  0  0  0          0.
 69  TERMOPB        3    0        0.000    360  1  0  0          0.
 70  GERAMAR II     1    0        0.000   1823  0  0  0          0.
 70  GERAMAR II     2    0        0.000   1823  1  0  0          0.
 70  GERAMAR II     3    0        0.000   1823  0  0  0          0.
 70  GERAMAR II     4    0        0.000   1823  0  0  0          0.
 73  GERAMAR I      1    0        0.000   1823  0  0  0          0.
 73  GERAMAR I      2    0        0.000   1823  0  0  0          0.
 73  GERAMAR I      3    0        0.000   1823  0  0  0          0.
 73  GERAMAR I      4    0        0.000   1823  1  0  0          0.
 83  VALE DO ACU    1    0        0.000   1823  0  0  0          0.
 83  VALE DO ACU    2    0        0.000  12605  0  0  0          0.
 86  ST.CRUZ NOVA  11    1      175.000   1224  1  0  0          0.
 86  ST.CRUZ NOVA  21    1      175.000   1344  0  0  0          0.
 90  TERMOMACAE     1    0        0.000   1488  0  0  0          0.
 90  TERMOMACAE     2    0        0.000   1507  1  0  0          0.
 90  TERMOMACAE     3    0        0.000   9175  1  0  0          0.
 90  TERMOMACAE     4    0        0.000   1768  1  0  0          0.
 90  TERMOMACAE     5    0        0.000   1594  1  0  0          0.
 90  TERMOMACAE     6    0        0.000   7823  0  0  0          0.
 90  TERMOMACAE     7    0        0.000  18792  0  0  0          0.
 90  TERMOMACAE     8    0        0.000  18792  0  0  0          0.
 90  TERMOMACAE     9    0        0.000   3816  1  0  0          0.
 90  TERMOMACAE    10    0        0.000  18792  0  0  0          0.
 90  TERMOMACAE    11    0        0.000   9047  0  0  0          0.
 90  TERMOMACAE    12    0        0.000   9053  1  0  0          0.
