& CONDICOES INICIAIS DAS UNIDADES 
&
UCTPAR 2
UCTERM 2
PINT
REGRANPTV     1
AVLCMO 1
CPLEXLOG
&
&Flags Inativos
&UCTBUSLOC
&UCTHEURFP   1 100
&CONSTDADOS 0
&AJUSTEFCF
&TOLERILH 1
&CROSSOVER 1
&ENGOLIMENTO 0                
&                                                
INIT                                             
&us     nome       ug   st   GerInic     tempo MH A/D T  TITULINFLX
&XX XXXXXXXXXXXX  XXX   XX   XXXXXXXXXX  XXXXX  X  X  X  XXXXXXXXXX
  1  ANGRA 1        1    1      640.000   5016  0  0  1        640.
  4  ST.CRUZ 34     3    0        0.000  19628  0  0  0          0.
  4  ST.CRUZ 34     4    0        0.000  19628  0  0  0          0.
  9  R.SILVEIRA     1    0        0.000  19628  0  0  0          0.
  9  R.SILVEIRA     2    0        0.000  19628  0  0  0          0.
 12  CUIABA G CC    1    0        0.000   2976  0  0  0          0.
 12  CUIABA G CC    2    0        0.000   3480  0  0  0          0.
 12  CUIABA G CC    3    0        0.000   3504  0  0  0          0.
 13  ANGRA 2        1    1     1350.000   1013  0  0  1       1350.
 15  LINHARES       1    0        0.000    480  0  0  0          0.
 15  LINHARES       2    0        0.000    480  0  0  0          0.
 15  LINHARES       3    0        0.000    480  0  0  0          0.
 15  LINHARES       4    0        0.000    480  0  0  0          0.
 21  MARANHAO V     1    0        0.000   1655  0  0  0          0.
 24  J.LACERDA C    7    0        0.000   1630  1  0  0          0.
 25  J.LACERDA B    5    1       80.010    162  0  0  3          0.
 25  J.LACERDA B    6    0        0.000    158  1  0  0          0.
 26  J.LACERDA A1   1    0        0.000   1631  0  0  0          0.
 26  J.LACERDA A1   2    0        0.000   1717  1  0  0          0.
 27  J.LACERDA A2   3    1       35.010     92  1  0  3          0.
 27  J.LACERDA A2   4    1       35.000     89  1  0  3          0.
 28  FIGUEIRA       1    0        0.000  19628  0  0  0          0.
 28  FIGUEIRA       3    0        0.000  19628  0  0  0          0.
 35  URUGUAIANA     1    0        0.000  19628  0  0  0          0.
 35  URUGUAIANA     2    0        0.000  19628  0  0  0          0.
 35  URUGUAIANA     3    0        0.000  19628  0  0  0          0.
 36  MARANHAO IV    1    0        0.000   1655  1  0  0          0.
 42  FORTALEZA      1    0        0.000  18121  0  0  0          0.
 42  FORTALEZA      2    0        0.000  18121  0  0  0          0.
 42  FORTALEZA      3    0        0.000   4752  0  0  0          0.
 43  TERMOBAHIA     1    0        0.000   2327  0  0  0          0.
 46  N.VENECIA 2    1    0        0.000   1655  1  0  0          0.
 47  TERMORIO       1    0        0.000    312  0  0  0        155.
 47  TERMORIO       2    0        0.000   2245  0  0  0        155.
 47  TERMORIO       3    0        0.000   4392  0  0  0        155.
 47  TERMORIO       4    0        0.000   3514  0  0  0        155.
 47  TERMORIO       5    0        0.000  17350  0  0  0        155.
 47  TERMORIO       6    0        0.000   1574  0  0  0        155.
 47  TERMORIO       7    0        0.000   2742  1  0  0        155.
 47  TERMORIO       8    0        0.000   1920  0  0  0        155.
 47  TERMORIO       9    0        0.000   2640  0  0  0        155.
 47  TERMORIO      10    0        0.000  17350  0  0  0        155.
 47  TERMORIO      11    0        0.000   2016  1  0  0        155.
 47  TERMORIO      12    0        0.000   1709  0  0  0        155.
 47  TERMORIO      13    0        0.000   2640  0  0  0        155.
 47  TERMORIO      14    0        0.000   2376  0  0  0        155.
 47  TERMORIO      15    0        0.000   9218  0  0  0        155.
 47  TERMORIO      16    0        0.000   1656  0  0  0        155.
 47  TERMORIO      17    0        0.000   1390  1  0  0        155.
 47  TERMORIO      18    0        0.000    216  0  0  0        155.
 47  TERMORIO      19    1      155.000     48  0  0  2        155.
 47  TERMORIO      20    0        0.000     48  0  0  0        155.
 47  TERMORIO      21    0        0.000   4488  0  0  0        155.
 47  TERMORIO      22    0        0.000   7457  1  0  0        155.
 47  TERMORIO      23    0        0.000  14352  1  0  0        155.
 47  TERMORIO      24    0        0.000  17350  0  0  0        155.
 47  TERMORIO      25    0        0.000  17350  0  0  0        155.
 47  TERMORIO      26    0        0.000  17350  0  0  0        155.
