& CONDICOES INICIAIS DAS UNIDADES                
&
UCTPAR 2
UCTERM 2
PINT
REGRANPTV     1
AVLCMO 1
CPLEXLOG
&
&Flags Inativos
&UCTBUSLOC
&UCTHEURFP   1 100
&CONSTDADOS 0
&AJUSTEFCF
&TOLERILH 1
&CROSSOVER 1
&ENGOLIMENTO 0                
& 
&                                                
INIT                                             
&us     nome       ug   st   GerInic     tempo MH A/D T  TITULINFLX
&XX XXXXXXXXXXXX  XXX   XX   XXXXXXXXXX  XXXXX  X  X  X  XXXXXXXXXX
  1  ANGRA 1        1    1      640.000   5184  0  0  1        640.
  4  ST.CRUZ 34     3    0        0.000  19796  0  0  0          0.
  4  ST.CRUZ 34     4    0        0.000  19796  0  0  0          0.
  9  R.SILVEIRA     1    0        0.000  19796  0  0  0          0.
  9  R.SILVEIRA     2    0        0.000  19796  0  0  0          0.
 12  CUIABA G CC    1    0        0.000   3144  0  0  0          0.
 12  CUIABA G CC    2    0        0.000   3648  0  0  0          0.
 12  CUIABA G CC    3    0        0.000   3672  0  0  0          0.
 13  ANGRA 2        1    1     1350.000   1181  0  0  1       1350.
 15  LINHARES       1    0        0.000    648  0  0  0          0.
 15  LINHARES       2    0        0.000    648  0  0  0          0.
 15  LINHARES       3    0        0.000    648  0  0  0          0.
 15  LINHARES       4    0        0.000    648  0  0  0          0.
 21  MARANHAO V     1    0        0.000   1823  0  0  0          0.
 24  J.LACERDA C    7    0        0.000   1798  1  0  0          0.
 25  J.LACERDA B    5    0        0.000    114  0  0  0          0.
 25  J.LACERDA B    6    1       80.010    104  1  0  3          0.
 26  J.LACERDA A1   1    0        0.000   1799  0  0  0          0.
 26  J.LACERDA A1   2    0        0.000   1885  1  0  0          0.
 27  J.LACERDA A2   3    0        0.000     44  1  0  0          0.
 27  J.LACERDA A2   4    1       35.010    257  1  0  3          0.
 28  FIGUEIRA       1    0        0.000  19796  0  0  0          0.
 28  FIGUEIRA       3    0        0.000  19796  0  0  0          0.
 35  URUGUAIANA     1    0        0.000  19796  0  0  0          0.
 35  URUGUAIANA     2    0        0.000  19796  0  0  0          0.
 35  URUGUAIANA     3    0        0.000  19796  0  0  0          0.
 36  MARANHAO IV    1    0        0.000   1823  1  0  0          0.
 42  FORTALEZA      1    0        0.000  18289  0  0  0          0.
 42  FORTALEZA      2    0        0.000  18289  0  0  0          0.
 42  FORTALEZA      3    0        0.000   4920  0  0  0          0.
 43  TERMOBAHIA     1    0        0.000   2495  0  0  0          0.
 46  N.VENECIA 2    1    0        0.000   1823  1  0  0          0.
 47  TERMORIO       1    0        0.000    480  0  0  0        155.
 47  TERMORIO       2    0        0.000   2413  0  0  0        155.
 47  TERMORIO       3    0        0.000   4560  0  0  0        155.
 47  TERMORIO       4    0        0.000   3682  0  0  0        155.
 47  TERMORIO       5    0        0.000  17518  0  0  0        155.
 47  TERMORIO       6    0        0.000   1742  0  0  0        155.
 47  TERMORIO       7    0        0.000   2910  1  0  0        155.
 47  TERMORIO       8    0        0.000   2088  0  0  0        155.
 47  TERMORIO       9    0        0.000   2808  0  0  0        155.
 47  TERMORIO      10    0        0.000  17518  0  0  0        155.
 47  TERMORIO      11    0        0.000   2184  1  0  0        155.
 47  TERMORIO      12    0        0.000   1877  0  0  0        155.
 47  TERMORIO      13    0        0.000   2808  0  0  0        155.
 47  TERMORIO      14    0        0.000   2544  0  0  0        155.
 47  TERMORIO      15    0        0.000   9386  0  0  0        155.
 47  TERMORIO      16    0        0.000   1824  0  0  0        155.
 47  TERMORIO      17    0        0.000   1558  1  0  0        155.
 47  TERMORIO      18    1      155.000    118  0  0  2        155.
 47  TERMORIO      19    0        0.000    118  0  0  0        155.
 47  TERMORIO      20    0        0.000    216  0  0  0        155.
 47  TERMORIO      21    0        0.000   4656  0  0  0        155.
 47  TERMORIO      22    0        0.000   7625  1  0  0        155.
 47  TERMORIO      23    0        0.000  14520  1  0  0        155.
 47  TERMORIO      24    0        0.000  17518  0  0  0        155.
 47  TERMORIO      25    0        0.000  17518  0  0  0        155.
 47  TERMORIO      26    0        0.000  17518  0  0  0        155.
 47  TERMORIO      27    0        0.000   2304  0  0  0        155.
 47  TERMORIO      28    0        0.000  17518  0  0  0        155.
 47  TERMORIO      29    0        0.000  17518  0  0  0        155.
 47  TERMORIO      30    0        0.000  17518  0  0  0        155.
 47  TERMORIO      31    0        0.000   6799  0  0  0        155.
 48  ARAUCARIA      1    0        0.000  15214  1  0  0          0.
 48  ARAUCARIA      2    0        0.000   2488  1  0  0          0.
 48  ARAUCARIA      3    0        0.000   3386  1  0  0          0.
 49  VIANA          3    0        0.000    936  1  0  0          0.
 49  VIANA          4    0        0.000    935  0  0  0          0.
 49  VIANA          1    0        0.000   2441  0  0  0          0.
 49  VIANA          2    0        0.000    922  1  0  0          0.
 50  PIRAT.12 G     1    0        0.000  19796  0  0  0          0.
 50  PIRAT.12 G     2    0        0.000  19796  0  0  0          0.
 52  CAMPINA GDE    1    0        0.000   2496  0  0  0          0.
 52  CAMPINA GDE    2    0        0.000   2496  0  0  0          0.
 52  CAMPINA GDE    3    0        0.000   2496  0  0  0          0.
 52  CAMPINA GDE    4    0        0.000   2495  1  0  0          0.
 53  GLOBAL I       1    0        0.000   3835  0  0  0          0.
 53  GLOBAL I       2    0        0.000   3870  0  0  0          0.
 53  GLOBAL I       3    0        0.000   2979  0  0  0          0.
 53  GLOBAL I       4    0        0.000  15888  0  0  0          0.
 53  GLOBAL I       5    0        0.000   2940  1  0  0          0.
 53  GLOBAL I       6    0        0.000   3864  1  0  0          0.
 53  GLOBAL I       7    0        0.000   2571  1  0  0          0.
 53  GLOBAL I       8    0        0.000   2544  0  0  0          0.
 53  GLOBAL I       9    0        0.000   2952  1  0  0          0.
 53  GLOBAL I      10    0        0.000   2594  0  0  0          0.
 53  GLOBAL I      11    0        0.000   2494  1  0  0          0.
 54  JUIZ DE FORA   1    0        0.000   1824  0  0  0          0.
 54  JUIZ DE FORA   2    0        0.000   1823  1  0  0          0.
 55  GLOBAL II      1    0        0.000   2656  0  0  0          0.
 55  GLOBAL II      2    0        0.000   2559  0  0  0          0.
 55  GLOBAL II      3    0        0.000   2661  0  0  0          0.
 55  GLOBAL II      4    0        0.000   2978  0  0  0          0.
