&   DEFLUENCIAS ANTERIORES AO INICIO DO ESTUDO
&
&
&        Mont Jus TpJ   di hi m df hf m     defluencia
&X       XXX  XXX  X    XX XX X XX XX X     XXXXXXXXXX
DEFANT     2    4  H    30 00 0  F                  86
DEFANT     4    6  H    30 00 0  F                 206
DEFANT     6    7  H    30 00 0  F                 205
DEFANT     7    8  H    30 00 0  F                 322
DEFANT     8    9  H    30 00 0  F                 275
DEFANT     9   10  H    30 00 0  F                 298
DEFANT    10   11  H    30 00 0  F                 331
DEFANT    11   12  H    30 00 0  F                 373
DEFANT    12   17  H    30 00 0  F                 428
DEFANT    14   15  H    30 00 0  F                  17
DEFANT    15   16  H    30 00 0  F                  37
DEFANT    16   17  H    28 00 0  F                  27
DEFANT    16   17  H    29 00 0  F                  32
DEFANT    16   17  H    30 00 0  F                  27
DEFANT    17   18  H    30 00 0  F                 615
DEFANT    18   34  H    30 00 0  F                1115
DEFANT    20   21  H    30 00 0  F                  31
DEFANT    21   24  H    30 00 0  F                  95
DEFANT    24   31  H    30 00 0  F                 104
DEFANT    25   26  H    30 00 0  F                  93
DEFANT    26   27  H    30 00 0  F                 122
DEFANT    27   28  H    30 00 0  F                 120
DEFANT    28   31  H    30 00 0  F                 131
DEFANT    29  203  H    30 00 0  F                 162
DEFANT    30   31  H    30 00 0  F                 318
DEFANT    31   32  H    30 00 0  F                 415
DEFANT    32   33  H    30 00 0  F                 456
DEFANT    33   34  H    30 00 0  F                2039
DEFANT    34   45  H    30 00 0  F                2632
DEFANT    37   38  H    30 00 0  F                 183
DEFANT    38   39  H    30 00 0  F                 240
DEFANT    39   40  H    30 00 0  F                 317
DEFANT    40   42  H    30 00 0  F                 211
DEFANT    42   43  H    30 00 0  F                 245
DEFANT    43   45  H    30 00 0  F                 207
DEFANT    45   46  H    30 00 0  F                3366
DEFANT    46   66  H    29 00 0  F                3933
DEFANT    46   66  H    30 00 0  F                3932
DEFANT    47   48  H    30 00 0  F                  96
DEFANT    48   49  H    30 00 0  F                  94
DEFANT    49  249  H    30 00 0  F                 110
DEFANT    50   51  H    30 00 0  F                 157
DEFANT    51   52  H    30 00 0  F                 145
DEFANT    52   61  H    30 00 0  F                 184
DEFANT    57   61  H    30 00 0  F                  61
DEFANT    61   62  H    30 00 0  F                 567
DEFANT    62   63  H    30 00 0  F                 567
DEFANT    63   66  H    29 00 0  F                 654
DEFANT    71   72  H    30 00 0  F                   7
DEFANT    72   73  H    30 00 0  F                  11
DEFANT    73   77  H    30 00 0  F                  15
DEFANT    74   76  H    30 00 0  F                   0
DEFANT    76   77  H    30 00 0  F                   0
DEFANT    77   78  H    30 00 0  F                 296
DEFANT    78   82  H    30 00 0  F                 265
DEFANT    82   83  H    30 00 0  F                 215
DEFANT    86   91  H    30 00 0  F                  84
DEFANT    89   90  H    30 00 0  F                 104
DEFANT    90   91  H    30 00 0  F                 109
DEFANT    91   92  H    30 00 0  F                 310
DEFANT    92  103  H    30 00 0  F                 159
DEFANT    93   94  H    30 00 0  F                   0
DEFANT    94  103  H    30 00 0  F                   0
DEFANT    97   98  H    30 00 0  F                   4
DEFANT    98   99  H    30 00 0  F                  12
DEFANT   101  102  H    30 00 0  F                  45
DEFANT   107   37  H    29 00 0  F                 129
DEFANT   110  111  H    30 00 0  F                  13
DEFANT   111  112  H    30 00 0  F                 187
DEFANT   112  113  H    30 00 0  F                 144
DEFANT   113  114  H    30 00 0  F                 314
DEFANT   120  123  H    28 00 0  F                   4
DEFANT   120  123  H    30 00 0  F                  25
DEFANT   121  122  H    30 00 0  F                  32
DEFANT   122  123  H    27 00 0  F                  32
DEFANT   122  123  H    28 00 0  F                  33
DEFANT   122  123  H    29 00 0  F                  32
DEFANT   122  123  H    30 00 0  F                  36
DEFANT   123  125  H    30 00 0  F                 146
DEFANT   125  129  H    29 00 0  F                 110
DEFANT   125  129  H    30 00 0  F                 257
DEFANT   126  127  H    30 00 0  F                  57
DEFANT   127  129  H    30 00 0  F                 126
DEFANT   129  130  H    30 00 0  F                 208
DEFANT   134  135  H    30 00 0  F                 102
DEFANT   135  141  H    30 00 0  F                 118
DEFANT   139  141  H    29 00 0  F                 175
DEFANT   139  141  H    30 00 0  F                 106
DEFANT   141  143  H    30 00 0  F                 679
DEFANT   143  144  H    30 00 0  F                 800
DEFANT   148  154  H    26 00 0  F                  52
DEFANT   148  154  H    30 00 0  F                  50
DEFANT   153   46  H    30 00 0  F                 140
DEFANT   155  156  H    30 00 0  F                 168
DEFANT   156  169  H    16 00 0  F                 156
DEFANT   156  169  H    17 00 0  F                 164
DEFANT   156  169  H    18 00 0  F                 165
DEFANT   156  169  H    19 00 0  F                 155
DEFANT   156  169  H    20 00 0  F                 151
DEFANT   156  169  H    21 00 0  F                 154
DEFANT   156  169  H    22 00 0  F                 155
DEFANT   156  169  H    24 00 0  F                 154
DEFANT   156  169  H    29 00 0  F                 153
DEFANT   156  169  H    30 00 0  F                 154
DEFANT   162  169  H    16 00 0  F                  13
DEFANT   162  169  H    17 00 0  F                  16
