<BEGIN>;;;;;;;;;;;;
<Hydro turbines>;;;;;;;;;;;;
Name;Hydro reservoir ID;Hydro reservoir name;Group ID;Group name;Unit ID;Bus ID;Minimum generation (MW);Maximum generation (MW);Minimum turbine discharge (m3/s);Maximum turbine discharge (m3/s);Turbine type;Comments
G1-G.B. MUNHOZ;74;G.B. MUNHOZ;1;Group 1;1;800;240;418.5;290;360;Francis;
G2-G.B. MUNHOZ;74;G.B. MUNHOZ;1;Group 1;2;800;240;418.5;290;360;Francis;
G3-G.B. MUNHOZ;74;G.B. MUNHOZ;1;Group 1;3;800;240;418.5;300;372;Francis;
G4-G.B. MUNHOZ;74;G.B. MUNHOZ;1;Group 1;4;800;240;418.5;300;372;Francis;
G1-SALTO CAXIAS;82;SALTO CAXIAS;1;Group 1;1;808;235;310;415;525;Francis;
G2-SALTO CAXIAS;82;SALTO CAXIAS;1;Group 1;2;808;235;310;415;525;Francis;
G3-SALTO CAXIAS;82;SALTO CAXIAS;1;Group 1;3;808;235;310;415;525;Francis;
G4-SALTO CAXIAS;82;SALTO CAXIAS;1;Group 1;4;808;235;310;415;525;Francis;
G1-SLT.SANTIAGO;77;SLT.SANTIAGO;1;Group 1;1;925;270;355;360;382.27;Francis;
G2-SLT.SANTIAGO;77;SLT.SANTIAGO;1;Group 1;2;925;270;355;360;382.27;Francis;
G3-SLT.SANTIAGO;77;SLT.SANTIAGO;1;Group 1;3;926;270;355;360;382.27;Francis;
G4-SLT.SANTIAGO;77;SLT.SANTIAGO;1;Group 1;4;926;270;355;360;382.27;Francis;
G1-SEGREDO;76;SEGREDO;1;Group 1;1;810;165;315;209.7;349.5;Francis;
G2-SEGREDO;76;SEGREDO;1;Group 1;2;810;165;315;209.7;349.5;Francis;
G3-SEGREDO;76;SEGREDO;1;Group 1;3;810;165;315;209.7;349.5;Francis;
G4-SEGREDO;76;SEGREDO;1;Group 1;4;810;165;315;209.7;349.5;Francis;
G1-SALTO OSORIO;78;SALTO OSORIO;1;Group 1;1;919;130;182;173.4;289;Francis;
G2-SALTO OSORIO;78;SALTO OSORIO;1;Group 1;2;919;130;182;173.4;289;Francis;
G3-SALTO OSORIO;78;SALTO OSORIO;1;Group 1;3;919;130;182;173.4;289;Francis;
G4-SALTO OSORIO;78;SALTO OSORIO;1;Group 1;4;919;130;182;173.4;289;Francis;
G5-SALTO OSORIO;78;SALTO OSORIO;2;Group 2;5;919;130;177.5;173.4;289;Francis;
G6-SALTO OSORIO;78;SALTO OSORIO;2;Group 2;6;919;130;177.5;173.4;289;Francis;
G1-ITA;92;ITA;1;Group 1;1;904;200;290;215;313;Francis;
G2-ITA;92;ITA;1;Group 1;2;904;200;290;215;313;Francis;
G2-ITA;92;ITA;1;Group 1;3;904;200;290;215;313;Francis;
G4-ITA;92;ITA;1;Group 1;4;904;200;290;215;313;Francis;
G5-ITA;92;ITA;1;Group 1;5;904;200;290;215;313;Francis;
G1-MACHADINHO;91;MACHADINHO;1;Group 1;1;915;260;380;320;435;Francis;
G2-MACHADINHO;91;MACHADINHO;1;Group 1;2;915;260;380;320;435;Francis;
G3-MACHADINHO;91;MACHADINHO;1;Group 1;3;915;260;380;320;435;Francis;
G1-CAMPOS NOVOS;90;CAMPOS NOVOS;1;Group 1;1;1157;120;293.3;116.4;194;Francis;
G2-CAMPOS NOVOS;90;CAMPOS NOVOS;1;Group 1;2;1157;120;293.3;116.4;194;Francis;Group changed after network reduction
G3-CAMPOS NOVOS;90;CAMPOS NOVOS;1;Group 1;3;1157;120;293.3;116.4;194;Francis;Group changed after network reduction
G1-BARRA GRANDE;86;BARRA GRANDE;1;Group 1;1;1150;190;230;100;164.8;Francis;
G2-BARRA GRANDE;86;BARRA GRANDE;1;Group 1;2;1150;190;230;100;164.8;Francis;
G3-BARRA GRANDE;86;BARRA GRANDE;1;Group 1;3;1150;190;230;100;164.8;Francis;
