<BEGIN>;;;;;;;;;;;;;;
<Thermal generating units>;;;;;;;;;;;;;;
Plant's Name;Plant's ID;Unit's ID;Minimum power output (MW);Maximum power output (MW);Ramp-up limit (MW/h);Ramp-down limit (MW/h);Minimum up-time (h);Minimum down-time (h);Bus;Standard linear generation cost ($/MWh);Constant cost ($);Start-up cost ($);Shut-down cost ($);Comments
ANGRA 1;1;1;520;640;18;18;168;168;10;31.17;0;0;0;
ST.CRUZ 34;4;3;1;218;30;30;0;0;30;310.41;0;0;0;
ST.CRUZ 34;4;4;1;218;30;30;0;0;30;310.41;0;0;0;
R.SILVEIRA;9;1;8;13;20;20;4;6;201;978.1;0;0;0;
R.SILVEIRA;9;2;8;12;20;20;4;6;203;978.1;0;0;0;
CUIABA G CC;12;1;95;155;60;60;72;24;4596;570.07;0;0;0;
CUIABA G CC;12;2;95;155;60;60;72;24;4597;570.07;0;0;0;
CUIABA G CC;12;3;45;180;60;60;72;24;4596;570.07;0;0;0;
ANGRA 2;13;1;1080;1350;18;18;168;168;11;20.12;0;0;0;
LINHARES;15;1;25;51;35;35;168;168;9026;454.19;0;0;0;
LINHARES;15;2;25;51;35;35;168;168;9026;454.19;0;0;0;
LINHARES;15;3;25;51;35;35;168;168;9026;454.19;0;0;0;
LINHARES;15;4;25;51;35;35;168;168;9026;454.19;0;0;0;
MARANHAO V;21;1;110;168.872;240;240;120;48;5648;300;0;0;0;
MARANHAO V;21;2;110;168.872;240;240;120;48;5648;300;0;0;0;
J.LACERDA C;24;7;180;363;150;150;216;80;913;229.27;0;0;0;
J.LACERDA B;25;5;80;131;120;120;216;80;911;271.21;0;0;0;
J.LACERDA B;25;6;80;131;120;120;216;80;911;271.21;0;0;0;
J.LACERDA A1;26;1;35;50;60;60;216;80;907;304.61;0;0;0;
J.LACERDA A1;26;2;35;50;60;60;216;80;907;304.61;0;0;0;
J.LACERDA A2;27;3;35;66;60;60;216;80;909;278.38;0;0;0;
J.LACERDA A2;27;4;35;66;60;60;216;80;909;278.38;0;0;0;
FIGUEIRA;28;1;6;10;20;20;6;6;2481;475.68;0;0;0;
FIGUEIRA;28;3;6;10;20;20;6;6;2481;475.68;0;0;0;
URUGUAIANA;35;1;120;187.65;70;90;168;0;1164;200;0;0;0;
URUGUAIANA;35;2;120;187.65;70;90;168;0;1164;200;0;0;0;
URUGUAIANA;35;3;176;264.6;100;220;168;0;1165;200;0;0;0;
MARANHAO IV;36;1;110;168.872;240;240;120;48;5647;300;0;0;0;
MARANHAO IV;36;2;110;168.872;240;240;120;48;5647;300;0;0;0;
FORTALEZA;42;1;40;102.85;80;80;96;24;5654;254.96;0;0;0;
FORTALEZA;42;2;40;102.85;80;80;96;24;5654;254.96;0;0;0;
FORTALEZA;42;3;40;113.05;80;80;96;24;5655;254.96;0;0;0;
TERMOBAHIA;43;1;100;185.891;60;60;74;48;5827;374.87;0;0;0;
N.VENECIA 2;46;1;110;168.872;68;68;120;48;5650;150;0;0;0;
N.VENECIA 2;46;2;9.3;9.3;20;20;120;48;5650;150;0;0;0;
TERMORIO;47;1;90;123.25;20;20;82;48;4203;376.38;0;0;0;
TERMORIO;47;2;90;123.25;20;20;82;48;4203;376.38;0;0;0;
TERMORIO;47;3;90;123.25;20;20;82;48;4204;376.38;0;0;0;
TERMORIO;47;4;90;123.25;20;20;82;48;4206;376.38;0;0;0;
TERMORIO;47;5;90;123.25;20;20;82;48;4206;376.38;0;0;0;
TERMORIO;47;6;90;123.25;20;20;82;48;4205;376.38;0;0;0;
TERMORIO;47;7;155;176.8;50;50;82;48;4207;376.38;0;0;0;
TERMORIO;47;8;123.25;123.25;20;20;82;48;4207;376.38;0;0;0;
TERMORIO;47;9;123.25;123.25;20;20;82;48;4208;376.38;0;0;0;
ARAUCARIA;48;1;112;170;180;180;72;43;803;706.35;0;0;0;
ARAUCARIA;48;2;112;170;180;180;72;43;802;706.35;0;0;0;
ARAUCARIA;48;3;116;249.15;180;180;72;43;802;706.35;0;0;0;
VIANA;49;1;6.98;8.73;10;10;6;2;8910;1257.47;0;0;0;
VIANA;49;2;6.98;8.73;10;10;6;2;8910;1257.47;0;0;0;
VIANA;49;3;6.98;8.73;10;10;6;2;8910;1257.47;0;0;0;
VIANA;49;4;6.98;8.73;10;10;6;2;8910;1257.47;0;0;0;
VIANA;49;5;6.98;8.73;10;10;6;2;8910;1257.47;0;0;0;
VIANA;49;6;6.98;8.73;10;10;6;2;8910;1257.47;0;0;0;
VIANA;49;7;6.98;8.73;10;10;6;2;8910;1257.47;0;0;0;
VIANA;49;8;6.98;8.73;10;10;6;2;8910;1257.47;0;0;0;
VIANA;49;9;6.98;8.73;10;10;6;2;8910;1257.47;0;0;0;
VIANA;49;10;6.98;8.73;10;10;6;2;8910;1257.47;0;0;0;
VIANA;49;11;6.98;8.73;10;10;6;2;8911;1257.47;0;0;0;
VIANA;49;12;6.98;8.73;10;10;6;2;8911;1257.47;0;0;0;
VIANA;49;13;6.98;8.73;10;10;6;2;8911;1257.47;0;0;0;
VIANA;49;14;6.98;8.73;10;10;6;2;8911;1257.47;0;0;0;
VIANA;49;15;6.98;8.73;10;10;6;2;8911;1257.47;0;0;0;
VIANA;49;16;6.98;8.73;10;10;6;2;8911;1257.47;0;0;0;
VIANA;49;17;6.98;8.73;10;10;6;2;8911;1257.47;0;0;0;
VIANA;49;18;6.98;8.73;10;10;6;2;8911;1257.47;0;0;0;
VIANA;49;19;6.98;8.73;10;10;6;2;8911;1257.47;0;0;0;
VIANA;49;20;6.98;8.73;10;10;6;2;8911;1257.47;0;0;0;
PIRAT.12 G;50;1;1;100;50;50;0;0;403;470.34;0;0;0;
PIRAT.12 G;50;2;1;100;50;50;0;0;404;470.34;0;0;0;
CAMPINA GDE;52;1;31;42.27;22;22;6;3;5220;1257.49;0;0;0;
CAMPINA GDE;52;2;31;42.27;22;22;6;3;5220;1257.49;0;0;0;
CAMPINA GDE;52;3;31;42.27;22;22;6;3;5220;1257.49;0;0;0;
